Code du département,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp
33,Gironde,1,Andernos-les-Bains,44754,24891,"55,62",19863,"44,38",1377,"3,08","6,93",588,"1,31","2,96",17898,"39,99","90,11",REM,11067,"24,73","61,83",LR,6831,"15,26","38,17",,,,
33,Gironde,2,Bordeaux-1,23864,15584,"65,3",8280,"34,7",1045,"4,38","12,62",292,"1,22","3,53",6943,"29,09","83,85",REM,4666,"19,55","67,2",LR,2277,"9,54","32,8",,,,
33,Gironde,3,Bordeaux-2,31193,18167,"58,24",13026,"41,76",998,"3,2","7,66",357,"1,14","2,74",11671,"37,42","89,6",REM,7010,"22,47","60,06",LR,4661,"14,94","39,94",,,,
33,Gironde,4,Bordeaux-3,33758,18623,"55,17",15135,"44,83",897,"2,66","5,93",344,"1,02","2,27",13894,"41,16","91,8",REM,7945,"23,54","57,18",LR,5949,"17,62","42,82",,,,
33,Gironde,5,Bordeaux-4,31045,20653,"66,53",10392,"33,47",997,"3,21","9,59",337,"1,09","3,24",9058,"29,18","87,16",REM,5777,"18,61","63,78",LR,3281,"10,57","36,22",,,,
33,Gironde,6,Bordeaux-5,27795,16988,"61,12",10807,"38,88",818,"2,94","7,57",284,"1,02","2,63",9705,"34,92","89,8",FI,3428,"12,33","35,32",REM,5157,"18,55","53,14",LR,1120,"4,03","11,54"
33,Gironde,7,Le Bouscat,29379,16762,"57,05",12617,"42,95",969,"3,3","7,68",299,"1,02","2,37",11349,"38,63","89,95",REM,6762,"23,02","59,58",LR,4587,"15,61","40,42",,,,
33,Gironde,8,La Brède,32505,19209,"59,1",13296,"40,9",1339,"4,12","10,07",533,"1,64","4,01",11424,"35,15","85,92",SOC,5339,"16,43","46,73",MDM,6085,"18,72","53,27",,,,
33,Gironde,9,Cenon,28509,18116,"63,54",10393,"36,46",729,"2,56","7,01",369,"1,29","3,55",9295,"32,6","89,44",SOC,5207,"18,26","56,02",REM,4088,"14,34","43,98",,,,
33,Gironde,10,Les Coteaux de Dordogne,27130,14782,"54,49",12348,"45,51",866,"3,19","7,01",417,"1,54","3,38",11065,"40,79","89,61",REM,7460,"27,5","67,42",FN,3605,"13,29","32,58",,,,
33,Gironde,11,Créon,36072,19720,"54,67",16352,"45,33",957,"2,65","5,85",372,"1,03","2,27",15023,"41,65","91,87",FI,5470,"15,16","36,41",SOC,647,"1,79","4,31",REM,8906,"24,69","59,28"
33,Gironde,12,L'Entre-Deux-Mers,26879,14660,"54,54",12219,"45,46",792,"2,95","6,48",520,"1,93","4,26",10907,"40,58","89,26",FI,5131,"19,09","47,04",REM,5776,"21,49","52,96",,,,
33,Gironde,13,L'Estuaire,30540,16259,"53,24",14281,"46,76",996,"3,26","6,97",443,"1,45","3,1",12842,"42,05","89,92",REM,7394,"24,21","57,58",FN,5448,"17,84","42,42",,,,
33,Gironde,14,Gujan-Mestras,32709,18550,"56,71",14159,"43,29",1071,"3,27","7,56",409,"1,25","2,89",12679,"38,76","89,55",REM,8177,25,"64,49",LR,4502,"13,76","35,51",,,,
33,Gironde,15,Les Landes des Graves,32479,19462,"59,92",13017,"40,08",1453,"4,47","11,16",704,"2,17","5,41",10860,"33,44","83,43",SOC,5077,"15,63","46,75",MDM,5783,"17,81","53,25",,,,
33,Gironde,16,Le Libournais-Fronsadais,37724,21457,"56,88",16267,"43,12",1245,"3,3","7,65",584,"1,55","3,59",14438,"38,27","88,76",REM,10075,"26,71","69,78",FN,4363,"11,57","30,22",,,,
33,Gironde,17,Lormont,26321,16764,"63,69",9557,"36,31",849,"3,23","8,88",325,"1,23","3,4",8383,"31,85","87,72",SOC,4274,"16,24","50,98",REM,4109,"15,61","49,02",,,,
33,Gironde,18,Mérignac-1,33797,19926,"58,96",13871,"41,04",776,"2,3","5,59",430,"1,27","3,1",12665,"37,47","91,31",SOC,5607,"16,59","44,27",REM,7058,"20,88","55,73",,,,
33,Gironde,19,Mérignac-2,33752,19727,"58,45",14025,"41,55",855,"2,53","6,1",392,"1,16","2,8",12778,"37,86","91,11",SOC,5408,"16,02","42,32",REM,7370,"21,84","57,68",,,,
33,Gironde,20,Le Nord-Gironde,34715,20218,"58,24",14497,"41,76",794,"2,29","5,48",466,"1,34","3,21",13237,"38,13","91,31",REM,7550,"21,75","57,04",FN,5687,"16,38","42,96",,,,
33,Gironde,21,Le Nord-Libournais,35101,19808,"56,43",15293,"43,57",980,"2,79","6,41",484,"1,38","3,16",13829,"39,4","90,43",REM,8045,"22,92","58,17",FN,5784,"16,48","41,83",,,,
33,Gironde,22,Le Nord-Médoc,30960,18074,"58,38",12886,"41,62",1082,"3,49","8,4",685,"2,21","5,32",11119,"35,91","86,29",SOC,5674,"18,33","51,03",REM,5445,"17,59","48,97",,,,
33,Gironde,23,Pessac-1,41035,22295,"54,33",18740,"45,67",1137,"2,77","6,07",494,"1,2","2,64",17109,"41,69","91,3",SOC,8030,"19,57","46,93",REM,9079,"22,13","53,07",,,,
33,Gironde,24,Pessac-2,35899,20513,"57,14",15386,"42,86",972,"2,71","6,32",458,"1,28","2,98",13956,"38,88","90,71",SOC,5731,"15,96","41,06",REM,8225,"22,91","58,94",,,,
33,Gironde,25,Les Portes du Médoc,40571,23243,"57,29",17328,"42,71",1024,"2,52","5,91",523,"1,29","3,02",15781,"38,9","91,07",SOC,7372,"18,17","46,71",REM,8409,"20,73","53,29",,,,
33,Gironde,26,La Presqu'île,35289,21877,"61,99",13412,"38,01",1281,"3,63","9,55",677,"1,92","5,05",11454,"32,46","85,4",SOC,5422,"15,36","47,34",REM,6032,"17,09","52,66",,,,
33,Gironde,27,Le Réolais et Les Bastides,32432,16623,"51,25",15809,"48,75",1245,"3,84","7,88",764,"2,36","4,83",13800,"42,55","87,29",FI,4417,"13,62","32,01",REM,8084,"24,93","58,58",FN,1299,"4,01","9,41"
33,Gironde,28,Saint-Médard-en-Jalles,36179,19639,"54,28",16540,"45,72",1251,"3,46","7,56",452,"1,25","2,73",14837,"41,01","89,7",SOC,5575,"15,41","37,57",REM,9262,"25,6","62,43",,,,
33,Gironde,29,Le Sud-Gironde,28614,15154,"52,96",13460,"47,04",1239,"4,33","9,21",772,"2,7","5,74",11449,"40,01","85,06",SOC,5258,"18,38","45,93",MDM,6191,"21,64","54,07",,,,
33,Gironde,30,Le Sud-Médoc,38983,22489,"57,69",16494,"42,31",1167,"2,99","7,08",584,"1,5","3,54",14743,"37,82","89,38",SOC,7586,"19,46","51,45",REM,7157,"18,36","48,55",,,,
33,Gironde,31,Talence,28637,15764,"55,05",12873,"44,95",560,"1,96","4,35",258,"0,9",2,12055,"42,1","93,65",FI,5595,"19,54","46,41",REM,6460,"22,56","53,59",,,,
33,Gironde,32,La Teste-de-Buch,31597,16379,"51,84",15218,"48,16",697,"2,21","4,58",388,"1,23","2,55",14133,"44,73","92,87",REM,7469,"23,64","52,85",LR,6664,"21,09","47,15",,,,
33,Gironde,33,Villenave-d'Ornon,36336,21140,"58,18",15196,"41,82",739,"2,03","4,86",373,"1,03","2,45",14084,"38,76","92,68",FI,7225,"19,88","51,3",REM,6859,"18,88","48,7",,,,
