Date de l'export,Code du département,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp,N°Liste,Nuance Liste,Libellé Abrégé Liste,Libellé Etendu Liste,Nom Tête de Liste,Voix,% Voix/Ins,% Voix/Exp
08/12/2015 16:57,33,GIRONDE,1,Andernos-les-Bains,42612,20960,"49,19",21652,"50,81",375,"0,88","1,73",285,"0,67","1,32",20992,"49,26","96,95",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,181,"0,42","0,86",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,6142,"14,41","29,26",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,6823,"16,01","32,5",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,548,"1,29","2,61",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,182,"0,43","0,87",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,365,"0,86","1,74",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,846,"1,99","4,03",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,5107,"11,98","24,33",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,632,"1,48","3,01",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,166,"0,39","0,79",,,,,,,,,,,,,,,,,,,,,,,,
08/12/2015 16:57,33,GIRONDE,2,Bordeaux-1,23057,13018,"56,46",10039,"43,54",107,"0,46","1,07",67,"0,29","0,67",9865,"42,79","98,27",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,289,"1,25","2,93",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,3583,"15,54","36,32",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,3003,"13,02","30,44",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,606,"2,63","6,14",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,70,"0,3","0,71",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,328,"1,42","3,32",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,942,"4,09","9,55",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,799,"3,47","8,1",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,152,"0,66","1,54",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,93,"0,4","0,94",,,,,,,,,,,,,,,,,,,,,,,,
08/12/2015 16:57,33,GIRONDE,3,Bordeaux-2,30682,15714,"51,22",14968,"48,78",176,"0,57","1,18",98,"0,32","0,65",14694,"47,89","98,17",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,242,"0,79","1,65",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,4407,"14,36","29,99",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,6348,"20,69","43,2",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,456,"1,49","3,1",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,76,"0,25","0,52",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,288,"0,94","1,96",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,929,"3,03","6,32",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,1550,"5,05","10,55",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,330,"1,08","2,25",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,68,"0,22","0,46",,,,,,,,,,,,,,,,,,,,,,,,
08/12/2015 16:57,33,GIRONDE,4,Bordeaux-3,33017,15667,"47,45",17350,"52,55",186,"0,56","1,07",126,"0,38","0,73",17038,"51,6","98,2",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,165,"0,5","0,97",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,4510,"13,66","26,47",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,8017,"24,28","47,05",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,406,"1,23","2,38",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,101,"0,31","0,59",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,261,"0,79","1,53",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,817,"2,47","4,8",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,2251,"6,82","13,21",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,418,"1,27","2,45",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,92,"0,28","0,54",,,,,,,,,,,,,,,,,,,,,,,,
08/12/2015 16:57,33,GIRONDE,5,Bordeaux-4,28462,16296,"57,26",12166,"42,74",170,"0,6","1,4",135,"0,47","1,11",11861,"41,67","97,49",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,181,"0,64","1,53",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,4170,"14,65","35,16",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,3764,"13,22","31,73",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,586,"2,06","4,94",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,84,"0,3","0,71",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,250,"0,88","2,11",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,788,"2,77","6,64",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,1705,"5,99","14,37",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,203,"0,71","1,71",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,130,"0,46","1,1",,,,,,,,,,,,,,,,,,,,,,,,
08/12/2015 16:57,33,GIRONDE,6,Bordeaux-5,26498,14704,"55,49",11794,"44,51",173,"0,65","1,47",100,"0,38","0,85",11521,"43,48","97,69",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,244,"0,92","2,12",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,4381,"16,53","38,03",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,2806,"10,59","24,36",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,814,"3,07","7,07",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,92,"0,35","0,8",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,407,"1,54","3,53",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,1124,"4,24","9,76",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,1337,"5,05","11,6",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,192,"0,72","1,67",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,124,"0,47","1,08",,,,,,,,,,,,,,,,,,,,,,,,
08/12/2015 16:57,33,GIRONDE,7,Le Bouscat,28252,14225,"50,35",14027,"49,65",184,"0,65","1,31",103,"0,36","0,73",13740,"48,63","97,95",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,127,"0,45","0,92",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,4188,"14,82","30,48",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,5304,"18,77","38,6",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,429,"1,52","3,12",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,96,"0,34","0,7",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,208,"0,74","1,51",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,715,"2,53","5,2",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,2247,"7,95","16,35",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,327,"1,16","2,38",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,99,"0,35","0,72",,,,,,,,,,,,,,,,,,,,,,,,
08/12/2015 16:57,33,GIRONDE,8,La Brède,30939,14914,"48,2",16025,"51,8",315,"1,02","1,97",208,"0,67","1,3",15502,"50,11","96,74",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,179,"0,58","1,15",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,5367,"17,35","34,62",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,4196,"13,56","27,07",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,647,"2,09","4,17",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,111,"0,36","0,72",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,364,"1,18","2,35",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,977,"3,16","6,3",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,3124,"10,1","20,15",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,381,"1,23","2,46",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,156,"0,5","1,01",,,,,,,,,,,,,,,,,,,,,,,,
08/12/2015 16:57,33,GIRONDE,9,Cenon,27108,15927,"58,75",11181,"41,25",155,"0,57","1,39",148,"0,55","1,32",10878,"40,13","97,29",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,135,"0,5","1,24",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,4523,"16,69","41,58",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,2073,"7,65","19,06",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,673,"2,48","6,19",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,79,"0,29","0,73",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,148,"0,55","1,36",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,558,"2,06","5,13",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,2364,"8,72","21,73",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,196,"0,72","1,8",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,129,"0,48","1,19",,,,,,,,,,,,,,,,,,,,,,,,
08/12/2015 16:57,33,GIRONDE,10,Les Coteaux de Dordogne,26945,12611,"46,8",14334,"53,2",326,"1,21","2,27",278,"1,03","1,94",13730,"50,96","95,79",1,LDVG,NOUVELLE DONNE,NOUVELLE DONNE : REPRENEZ LA MAIN !,PEREIRA Nicolas,93,"0,35","0,68",2,LUG,"PLUS FORTS, PLUS SOLIDAIR","PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",ROUSSET Alain,3933,"14,6","28,65",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,3710,"13,77","27,02",4,LFG,L'HUMAIN D'ABORD !,L'HUMAIN D'ABORD !,DARTIGOLLES Olivier,510,"1,89","3,71",5,LDIV,L'UPR,L'UPR AVEC FRANCOIS ASSELINEAU - LE PARTI QUI MONTE MALGRE LE SILENCE DES MEDIAS,DOUET William,110,"0,41","0,8",6,LDVG,FAISONS ENSEMBLE,FAISONS ENSEMBLE,BOUSSION Joseph,211,"0,78","1,54",7,LVEC,OSONS MIEUX,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,COUTANT Françoise,558,"2,07","4,06",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,4113,"15,26","29,96",9,LDLF,DEBOUT LA FRANCE,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,SETZE Yvon,355,"1,32","2,59",10,LEXG,LUTTE OUVRIERE,LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,PERCHET Guillaume,137,"0,51",1,,,,,,,,,,,,,,,,,,,,,,,,
