identifiant,type_de_structure,libelle_type_de_structure,libelle_court,libelle_long,siege_administratif,geolocalisation,latitude,longitude,adresse,complement_adresse,code_postal,localite,site_internet,compte_twitter,siret,element_wikidata,compte_facebook,compte_linkedin,compte_viadeo,compte_dailymotion,compte_youtube,code_commune,commune,code_unite_urbaine,unite_urbaine,code_departement,departement,code_academie,academie,code_region,region
CRT_30,CRT,Centre de ressources technologiques,ITERG,Institut des corps gras,oui,"44.7774302, -0.6584952",44.7774302,-0.6584952,11 RUE MONGE,PARC INDUSTRIEL BERSOL II,33600,PESSAC,http://www.iterg.com/,,77566488100049,,,,,,,33318,Pessac,UU33701,Bordeaux,D033,Gironde,A04,Bordeaux,R72,Aquitaine
CRT_31,CRT,Centre de ressources technologiques,RESCOLL,"RESCOLL, Centre de Ressources Technologiques des Matériaux",oui,"44.8007315, -0.610884",44.8007315, -0.610884,ENSCPB - PLATEAU TECHNIQUE,16 AVE PEY-BERLAND,33607,PESSAC CEDEX,http://www.rescoll.fr/,,43795017300041,,,,,,,33318,Pessac,UU33701,Bordeaux,D033,Gironde,A04,Bordeaux,R72,Aquitaine
SATT_7_2,SATT,Société d'accélération du transfert de technologies,AST,Aquitaine science transfert,,"44.8257716, -0.5774421",44.8257716,-0.5774421,"162, AVENUE ALBERT SCHWEITZER",,33600,PESSAC,http://ast-innovations.com,@SATTaquitaine,75302766300032,,,,,,,33318,Pessac,UU33701,Bordeaux,D033,Gironde,A04,Bordeaux,R72,Aquitaine
SATT_7_3,SATT,Société d'accélération du transfert de technologies,AST,Aquitaine science transfert,,"44.8257716, -0.5774421",44.8257716,-0.5774421,AVENUE DE L'UNIVERSITE,,64012,PAU CEDEX,http://ast-innovations.com,@SATTaquitaine,75302766300024,,,,,,,64445,Pau,UU64601,Pau,D064,Pyrénées-Atlantiques,A04,Bordeaux,R72,Aquitaine
CARNOT_21,CARNOT,Institut Carnot,ISIFoR,Institute for the sustainable engineering of fossil resources,oui,"43.31141, -0.3644233",43.31141,-0.3644233,AVENUE DE L'UNIVERSITÉ - BP 576,,64012,PAU,http://www.instituts-carnot.eu/fr/institut-carnot/isifor,,,,,,,,,64445,Pau,UU64601,Pau,D064,Pyrénées-Atlantiques,A04,Bordeaux,R72,Aquitaine
CRT_49,CRT,Centre de ressources technologiques,APESA Innovation,APESA Innovation,oui,"43.319209, -0.3674954",43.319209,-0.3674954,"HÉLIOPARC, 2 , AVENUE DU PRÉSIDENT PIERRE ANGOT",,64053,PAU CEDEX 9,http://www.apesa.fr/,,40491092900011,,,,,,,64445,Pau,UU64601,Pau,D064,Pyrénées-Atlantiques,A04,Bordeaux,R72,Aquitaine
SATT_7,SATT,Société d'accélération du transfert de technologies,AST,Aquitaine science transfert,oui,"44.8257716, -0.5774421",44.8257716,-0.5774421,166 COURS DE L'ARGONNE,,33000,BORDEAUX,http://ast-innovations.com,@SATTaquitaine,75302766300016,,,,,,,33063,Bordeaux,UU33701,Bordeaux,D033,Gironde,A04,Bordeaux,R72,Aquitaine
IRT_10_2,IRT,Institut de recherche technologique,IRT Saint Exupéry,,,"44.8163136, -0.6066641",44.8163136,-0.6066641,,,33063,BORDEAUX,http://www.irt-saintexupery.com/,@irtSaintEx,,,,,,,,33063,Bordeaux,UU33701,Bordeaux,D033,Gironde,A04,Bordeaux,R72,Aquitaine
INCUB_19,INCUB,Incubateur,IRA,Incubateur régional d'Aquitaine,oui,"44.8088489, -0.5914614",44.8088489,-0.5914614,351 COURS DE LA LIBÉRATION,,33400,TALENCE,http://www.incubateur-aquitaine.com/,,43142003300018,,,,,,,33522,Talence,UU33701,Bordeaux,D033,Gironde,A04,Bordeaux,R72,Aquitaine
CRT_2,CRT,Centre de ressources technologiques,NOBATEK,NOBATEK,oui,"43.4733568, -1.5105049",43.4733568,-1.5105049,67 AVENUE DE MIRAMBEAU,,64600,ANGLET,http://www.nobatek.com/,,45193120800040,,,,,,,64024,Anglet,UU00751,Bayonne,D064,Pyrénées-Atlantiques,A04,Bordeaux,R72,Aquitaine
