Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C454421,,,A454421,R01     ,Recettes - Opération aménagement foncier (1),E,-1500000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C27,,,A27634,R01     ,Créances sur les communes et structures intercommunales,E,14883.75,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C27,,,A2748,R01     ,Autres prêts,E,24000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C23,,,A23151,R621    ,Réseaux de voirie en cours,E,75433.4,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C23,,,A231312,R221    ,Immobilisations corporelles en cours - bâtiments scolaires,E,57867.1,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C204,,,A2042 ,R72     ,Subventions d équipement versées aux personnes de droit privé,E,3261,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C204,,,A20418 ,R68     ,Subventions d équipement versées aux organismes publics divers,E,81300,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C204,,,A20415 ,R731    ,Subventions d équipement versées aux autres groupements de collectivités,E,8000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C204,,,A20414 ,R93     ,Subventions d équipement versées aux communes et structures intercommunales,E,94350,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C204,,,A20414 ,R738    ,Subventions d équipement versées aux communes et structures intercommunales,E,2997,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C204,,,A20414 ,R731    ,Subventions d équipement versées aux communes et structures intercommunales,E,19462.9,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C204,,,A20414 ,R61     ,Subventions d équipement versées aux communes et structures intercommunales,E,772.1,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C20,,,A2031,R0202   ,Frais d études,E,1224.7,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C16,,,A1676,R01     ,Dettes envers locataires-acquéreurs,E,-15869.01,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C16,,,A16441,R01     ,Opérations afférentes à l emprunt,E,20000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C16,,,A1641,R01     ,Emprunts en euros,E,-20000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C13,,,A1332,R221    ,DDEC transférable affectée à l équipement,E,-190128,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C13,,,A1328,R621    ,Autres subventions d équipement non transférables,E,473245,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C13,,,A1324,R621    ,Subventions d équipement non transférables - Communes et structures intercommunales,E,206100,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2009,D2,23/10/2009,R,I,OR,C13,,,A1324,R621    ,Subventions d équipement non transférables - Communes et structures intercommunales,E,1188340,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
