"Id","period","value"
"cg33_dgac_det_odd_RES-ENC-I",2006,54312.00
"cg33_dgac_det_odd_RES-ENC-I",2007,52430.00
"cg33_dgac_det_odd_RES-ENC-I",2009,32366.00
"cg33_dgac_det_odd_RES-ENC-I",2010,28984.00
"cg33_dgac_det_odd_RES-ENC-I",2011,29289.00
"cg33_dgac_det_odd_RES-ENC-I",2012,33668.00
"cg33_dgac_det_odd_TRT-AUT",2006,1101.00
"cg33_dgac_det_odd_TRT-AUT",2007,1293.00
"cg33_dgac_det_odd_TRT-AUT",2009,1985.00
"cg33_dgac_det_odd_TRT-AUT",2010,2485.00
"cg33_dgac_det_odd_TRT-AUT",2011,1810.00
"cg33_dgac_det_odd_TRT-AUT",2012,2706.00
"cg33_dgac_det_odd_TRT-BIO",2006,124858.00
"cg33_dgac_det_odd_TRT-BIO",2007,146033.00
"cg33_dgac_det_odd_TRT-BIO",2009,159811.00
"cg33_dgac_det_odd_TRT-BIO",2010,142542.00
"cg33_dgac_det_odd_TRT-BIO",2011,149123.00
"cg33_dgac_det_odd_TRT-BIO",2012,154728.00
"cg33_dgac_det_odd_TRT-BTP",2006,54312.00
"cg33_dgac_det_odd_TRT-BTP",2007,52430.00
"cg33_dgac_det_odd_TRT-BTP",2009,32366.00
"cg33_dgac_det_odd_TRT-BTP",2010,28984.00
"cg33_dgac_det_odd_TRT-BTP",2011,29289.00
"cg33_dgac_det_odd_TRT-BTP",2012,33668.00
"cg33_dgac_det_odd_TRT-INC",2006,284472.00
"cg33_dgac_det_odd_TRT-INC",2007,305716.00
"cg33_dgac_det_odd_TRT-INC",2009,319888.00
"cg33_dgac_det_odd_TRT-INC",2010,302471.00
"cg33_dgac_det_odd_TRT-INC",2011,293180.00
"cg33_dgac_det_odd_TRT-INC",2012,303083.00
"cg33_dgac_det_odd_TRT-MAT",2006,131601.00
"cg33_dgac_det_odd_TRT-MAT",2007,146508.00
"cg33_dgac_det_odd_TRT-MAT",2009,195105.00
"cg33_dgac_det_odd_TRT-MAT",2010,205109.00
"cg33_dgac_det_odd_TRT-MAT",2011,219027.00
"cg33_dgac_det_odd_TRT-MAT",2012,212744.00
"cg33_dgac_det_odd_TRT-STO",2006,294219.00
"cg33_dgac_det_odd_TRT-STO",2007,267197.00
"cg33_dgac_det_odd_TRT-STO",2009,225954.00
"cg33_dgac_det_odd_TRT-STO",2010,218985.00
"cg33_dgac_det_odd_TRT-STO",2011,228095.00
"cg33_dgac_det_odd_TRT-STO",2012,216739.00
