X,Y,objectid,ident,flux,operateur,commune,code_postale,adresse,complement_d_information,date,nb_pav,num,pav_proxi,emplacement_pav,arret_minute,etat,rouille,tag,sale,ecriture,etat_trappe,facile_ouvrir,depot_sauvage,obs,globalid
2.16715579688382,48.7754991644507,121,JOU_003,Textile,Le Point Relais Eure et Loir,Jouy-en-Josas,78350,3 rue Raoul Allavoine,Al'angle de la rue Albert calmette et rue Raoul Allavoine (parking commerces),2011/11/30 00:00:00+00,1,8885,verre,Bien placé,oui,bon,,non,non,non,bon,oui,non,,{CEC443F3-5164-4735-9816-F0A8EC15B229}
2.15298273797152,48.7688473383975,124,,Textile,Le Point Relais Eure et Loir,Jouy-en-Josas,78350,67 rue Charles de Gaulle,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{80478C3A-C210-408A-B802-8CF75196C2A1}
2.11718351050344,48.7693354057971,125,BUC_002,Textile,Le Relais Eure et Loir,Buc,78530,2 place Albert Camlette,A coté de l’école maternelle,2011/11/09 00:00:00+00,1,55??,non,parking,oui,moyen,,non,oui,non,moyen,non,non,,{75393EEB-6971-4DC0-903B-D5BED48A3DD9}
2.11983989157568,48.7674516499861,126,BUC_001,Textile,Le Relais Eure et Loir,Buc,78530,avenue Morane Saulnier,Magasin Intermarché ZI  Le Haut Buc au fond du parking intermarché,2011/11/09 00:00:00+00,1,7330,non,parking,oui,bon,,non,non,non,bon,oui,non,,{DEF46442-9F1E-4DA7-B600-FE2653D1EBED}
2.01968972995953,48.7997878446556,128,BOI_002,Textile,Le Point Relais Val de Seine,Bois d'Arcy,78390,3 square calmette et guerin,crèche et LIDL,2011/12/08 00:00:00+00,1,pas de numero,non,trottoir,oui,mauvais,,oui,oui,oui,bon,oui,non,,{5F929419-E615-48EE-944E-AFE5A7974724}
2.01710429502986,48.8075440556093,129,BOI_001,Textile,Le Point Relais Val de Seine,Bois d'Arcy,78390,16 rue Voltaire,résidence les lilas,2011/12/08 00:00:00+00,1,10449,verre,parking,oui,neuf,,oui,oui,non,bon,oui,non,,{AECA4581-8DF4-4DCF-80C8-009BF10C64B9}
2.04115249558691,48.7991865555539,130,BOI_003,Textile,Le Relais Val de Seine,Bois d'Arcy,78390,Avenue Jean Jaurès ,ctre Leclerc derrière le contrôle technique auto,2011/12/08 00:00:00+00,6,10438,verre,parking,oui,neuf,,non,non,non,bon,oui,non,,{A5573D23-10C3-4C47-B7AB-C389CD1D3830}
2.00441705560376,48.7998227539125,134,VGP_01,Textile,Le Relais Val-de-Seine,Bois d'Arcy,78390,Rue Abel Gance,Déchèterie Intercommunale de Bois d'Arcy,1970/01/01 00:00:00+00,3,,,,,,,,,,,,,,{422B0014-B653-4B2F-B596-B5661EF7B3F5}
2.0674147461895,48.7960440847681,136,CYR_002,Textile,Le Relais Eure et Loir,Saint-Cyr-l'Ecole,78210,13 Rue de l'Epi d'or,Résidence de l'épi d'or,2011/12/12 00:00:00+00,1,2117,non,trottoir,oui,mauvais,,oui,oui,non,bon,oui,non,,{DBADC586-5D5F-4794-8405-5614CDB129EA}
2.0535635557211,48.8051925991307,139,CYR_006,Textile,Le Relais Eure et Loir,Saint-Cyr-l'Ecole,78210,2 rue Gérard Philippe,cabine téléphonique,2011/12/12 00:00:00+00,1,3730,non,Bien placé,oui,moyen,,oui,oui,oui,bon,oui,non,,{EC54685A-8364-4B88-A8D0-DA02B3F0F1CA}
2.05716599950991,48.8030389989834,140,CYR_003,Textile,Le Relais Eure et Loir,Saint-Cyr-l'Ecole,78210,9 rue Alfred Dreyfus,Angle de la rue Dreyfus et de la rue Daniel Casanova (A côté du foyer Résidence Laroche),2011/12/12 00:00:00+00,1,6763,non,trottoir,non,bon,,non,oui,non,bon,oui,non,,{1806896D-1DA2-4665-9B85-3066A0787A10}
2.056595006836,48.8017294192469,141,,Textile,Le Relais Eure et Loir,Saint-Cyr-l'Ecole,78210,29 rue Danielle Casanova,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{0342F0EC-0BCA-4C68-98D4-26363A868983}
2.15578846245546,48.806746320275,142,VER_006,Textile,Le Point Relais Eure et Loir,Versailles,78000,Angle rue de la Bonne Aventure - Rue Saint Nicolas,Face à la maternelle,2011/11/29 00:00:00+00,1,13180,verre,trottoir,oui,bon,,non,non,non,moyen,non,non,,{7D646E8D-81BD-482E-ABE9-0F47CC153515}
2.15527104006118,48.8117929650036,143,VER_002,Textile,Le Point Relais Eure et Loir,Versailles,78000,12 Allée Léo Delibes,Face au n°10,2011/11/29 00:00:00+00,1,3986,non,Bien placé,oui,bon,,non,oui,non,bon,oui,non,,{9AB771DD-5367-45F5-980A-0EC370D47602}
2.15602886962837,48.8112799890394,144,VER_010,Textile,Le Point Relais Eure et Loir,Versailles,78000,2 rue Charles Gounod,"Angle de la rue Lalo (terrain de foot), près du PAV verre",2011/11/29 00:00:00+00,1,2657,verre,trottoir,oui,moyen,,non,oui,non,bon,oui,non,,{997599F5-5F25-4C17-89E0-9F1F8CE90132}
2.15721698036266,48.8097628215909,145,VER_011,Textile,Le Point Relais Eure et Loir,Versailles,78000,6 rue Bernard de Jussieu,Près du PAV au bât. D (près de la maison de quartier ),2011/11/29 00:00:00+00,1,14693,verre,Bien placé,oui,bon,,non,non,non,bon,oui,non,,{CB24D8EB-08AE-4670-B970-36F30A08981F}
2.15426921637901,48.8088038893324,147,,Textile,Le Point Relais Eure et Loir,Versailles,78001,31 rue de la Ceinture,supermarché SITIS,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{27CF6E23-B0DB-43DC-8F3A-F5A59958E597}
2.15363184359812,48.8086704236416,148,VER_004,Textile,Le Point Relais Eure et Loir,Versailles,78000,29 rue de la Ceinture  BAT F,loge gardien résidence 3F,2011/11/29 00:00:00+00,1,5944,verre,Bien placé,non,bon,,non,oui,non,bon,oui,non,,{2C1A1F50-6328-444B-9388-BFE72DE54B81}
2.14502499031924,48.8110452493049,149,VER_007,Textile,Le Point Relais Eure et Loir,Versailles,78000,rue François Lemoyne,"Angle de la rue Louis Haussmann, près des PAV",2011/11/30 00:00:00+00,1,12541,verre,Bien placé,non,neuf,,non,non,non,bon,oui,non,,{4375059A-D6F5-4C39-975C-4690DF42C712}
2.14129166015706,48.8120980071625,150,VER_009,Textile,Le Point Relais Eure et Loir,Versailles,78000,rue de Solferino,Angle de la rue Tuby a coté d’un square,2011/11/30 00:00:00+00,1,16549,verre,Bien placé,oui,neuf,,non,non,non,bon,oui,non,,{7A28F8FC-81D0-49D4-9133-0A422722C724}
2.1432521760748,48.8124554709368,151,VER_005,Textile,Le Point Relais Eure et Loir,Versailles,78000,4 rue Richard Mique,petit parking face a l'école,2011/11/30 00:00:00+00,1,9923,verre,Bien placé,oui,bon,,non,non,non,bon,oui,non,,{8846EE51-897C-46C4-8693-6F167771D046}
2.14463581172772,48.8126364108827,152,VER_008,Textile,Le Point Relais Eure et Loir,Versailles,78000,31 rue Jean de La Bruyère,Grand parking,2011/11/30 00:00:00+00,1,5341,DR et verre,Bien placé,oui,bon,,non,non,non,bon,oui,2 sacs de vétements,,{C5AD9F3F-B518-49C7-B45C-155BAB4AC974}
2.15258334201878,48.8046074444472,153,VER_001,Textile,Le Point Relais Eure et Loir,Versailles,78000,60 boulevard de la république,a coté entrée lavage auto station BP,2011/11/30 00:00:00+00,1,13403,non,parking,non,bon,,non,non,non,bon,oui,non,entrée dans la station BP,{0CAC3FB9-17C4-4222-B10E-564E601009D3}
2.1401367807585,48.8201993748169,154,,Textile,Le Relais Eure et Loir,Versailles,78000,9 avenue du Maréchal Franchet d'Esperey,Les petites Sœurs des Pauvres - à l'intérieur au fond du parking ,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{E22F7C55-83D8-4BAB-ABFF-C7C4A26780C2}
2.120063921652,48.7950093376536,155,,Textile,Le Point Relais Eure et Loir,Versailles,78000,24 rue du Maréchal Joffre,Secours Catholique - Sous le porche,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{517D1451-BEBA-4715-811F-D930A1C4960F}
2.12590873400668,48.8118358700298,156,,Textile,Croix-Rouge Française,Versailles,78000,17 rue Berthier,Horaire d'ouverture du lundi au vendredi de 14h30 à 17h00 sauf le mercredi,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{DB587A1C-E2F3-42F9-BC48-4DE10E9D57DA}
2.04367645318754,48.8114477676132,158,FON_005,Textile,Le Relais Val de Seine,Fontenay-le-Fleury,78330,Avenue Voltaire,Au bout de l’impasse à côté de la Pharmacie et du tabac (Place du Huit Mai 1945: face à l'Hotel de Ville),2011/12/20 00:00:00+00,1,pas de numero,non,Bien placé,oui,bon,,non,non,non,bon,oui,non,,{33610E72-8EAC-468F-B5ED-096BB292FAEB}
2.04259578776665,48.8118795200314,159,FON_003,Textile,Le Relais Val de Seine,Fontenay-le-Fleury,78330,32 rue Victor Hugo,A l'entrée du parking de la résidence,2011/12/20 00:00:00+00,1,pas de numero,non,,oui,bon,,oui,non,non,bon,oui,non,,{0681DB80-AB5E-496F-B5A0-0280CB66E938}
2.03782611746006,48.8102517658716,160,FON_007,Textile,Le Relais Val de Seine,Fontenay-le-Fleury,78330,chemin du lavoir,A côté de La Halle aux chaussures,2011/12/20 00:00:00+00,1,pas de numero,non,Bien placé,oui,bon,,non,non,non,bon,oui,non,,{98FC381F-C742-4F61-A6EC-7660F5697B8E}
2.05142473380483,48.810387867433,161,FON_006,Textile,Le Relais Val de Seine,Fontenay-le-Fleury,78330,Avenue claude Debussy,parking privé,2011/12/20 00:00:00+00,1,pas de numero,non,trottoir,oui,bon,,non,non,non,moyen,oui,non,,{856668B8-8E66-4642-8443-69FBD1AAEA05}
2.0534423052286,48.8117839729412,162,FON_001,Textile,Le Relais Val de Seine,Fontenay-le-Fleury,78330,rue  Renée Descartes,Face au collège Descartes,2011/12/20 00:00:00+00,1,pas de numero,non,trottoir,oui,bon,,oui,?,?,bon,oui,non,,{7D37E025-0EC3-4FFE-9C01-00F8F02E65BF}
