Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
CESSOLE SAINT SYLVESTRE;22/02/2016;18H00;21H00;ACTIVITE BIEN ETRE;COURS;ENVIE D'ENERGIE
CESSOLE SAINT SYLVESTRE;23/02/2016;10H00;12H00;SENIORS;PERMANENCE;CLUB DU 3EME AGE DE LAS PLANAS
CESSOLE SAINT SYLVESTRE;23/02/2016;14H00;18H00;SENIORS;PERMANENCE;CLUB DU 3EME AGE DE LAS PLANAS
CESSOLE SAINT SYLVESTRE;23/02/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;LE BIEN ETRE PAR LE QI GONG
CESSOLE SAINT SYLVESTRE;24/02/2016;18H00;21H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
CESSOLE SAINT SYLVESTRE;25/02/2016;18H00;21H00;CHANT;COURS;AILN - ASSOCIATION DES INTERPRETES LYRIQUES DE NICE
COMTE DE FALICON;22/02/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;22/02/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;22/02/2016;14H00;17H00;ARTS PLASTIQUES;COURS;ETOILE D'AZUR
COMTE DE FALICON;22/02/2016;14H00;16H00;EMPLOI;FORMATION;ADS - AZUR DEVELOPPEMENT SERVICE
COMTE DE FALICON;22/02/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;22/02/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;23/02/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;23/02/2016;09H00;12H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
COMTE DE FALICON;23/02/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;23/02/2016;14H00;16H00;SOCIAL;COURS;A LA CROISEE DES BESOINS
COMTE DE FALICON;23/02/2016;16H00;18H00;SOCIAL;PERMANENCE;CHRYSALIDES
COMTE DE FALICON;23/02/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;23/02/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;DE L'ETOILE O SAMA
COMTE DE FALICON;24/02/2016;13H00;20H00;MUSIQUE;COURS;DIFART
COMTE DE FALICON;24/02/2016;14H00;17H00;COURS DE LANGUE;COURS;MINI SCHOOLS - RELAIS M.S. 
COMTE DE FALICON;24/02/2016;14H00;17H00;SENIORS;FORMATION;ACCOMPAGNIA'DOM
COMTE DE FALICON;24/02/2016;14H00;16H00;LOISIRS;COURS;SAVA - SPORT ACTION VOYAGES AMITIE 
COMTE DE FALICON;24/02/2016;14H00;16H00;EMPLOI;FORMATION;ADS - AZUR DEVELOPPEMENT SERVICE
COMTE DE FALICON;24/02/2016;17H00;19H00;HANDICAP;ATELIER;LRC - LES RENCONTRES CHANTANTES
COMTE DE FALICON;24/02/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
COMTE DE FALICON;25/02/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;25/02/2016;09H00;12H00;LOISIRS;PERMANENCE;REFLEXEPHOTO
COMTE DE FALICON;25/02/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;25/02/2016;09H00;12H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
COMTE DE FALICON;25/02/2016;10H00;12H00;LOISIRS;COURS;AJFS - JEUNESSE FRANCO-SLAVE
