Piscine;Jour;Heure Début;Heure Fin;Activités;Nb de lignes;
Piol;Mardi;12h;14h;Public;4;
Piol;Jeudi;12h;14h;Public;4;
Saint Roch;Lundi;7h30;9h;Public;4;
Saint Roch;Lundi;12h;14h;Public;3;
Saint Roch;Mardi;7h;8h;Public;3;
Saint Roch;Mardi;7h;8h;E.M.G;1;
Saint Roch;Mardi;12h;14h;Public;3;
Saint Roch;Mardi;12h;13h;Aquagym;1;
Saint Roch;Mardi;13h;14h;Aquagym;1;
Saint Roch;Mardi;17h;20h;Public;3;
Saint Roch;Mercredi;11h;12h;Aquagym;1;
Saint Roch;Mercredi;11h;12h;Public;3;
Saint Roch;Mercredi;12h;12h30;Public;1;
Saint Roch;Mercredi;12h30;13h30;Public;3;
Saint Roch;Mercredi;12h30;13h30;Aquagym;1;
Saint Roch;Mercredi;13h30;17h;Public;3;
Saint Roch;Mercredi;16h;17h;E.M.S;1;
Saint Roch;Jeudi;7h;8h;Public;3;
Saint Roch;Jeudi;7h;8h;E.M.G;1;
Saint Roch;Jeudi;12h;14h;Public;3;
Saint Roch;Jeudi;17h;20h;Public;2;
Saint Roch;Jeudi;17h;18h;Aquagym;1;
Saint Roch;Jeudi;18h;19h;Aquagym;1;
Saint Roch;Jeudi;19h;20h;Aquagym;1;
Saint Roch;Vendredi;12h;14h;Public;3;
Saint Roch;Vendredi;13h;14h;Aquagym;1;
Saint Roch;Vendredi;15h30;19h;Public;3;
Saint Roch;Vendredi;16h;17h;E.M.S;1;
Saint Roch;Samedi;8h;9h;Bébés Nageurs;4;
Saint Roch;Samedi;9h;10h;A.Prénatale;4;
Saint Roch;Samedi;16h;17h;E.M.S;1;
Saint Roch;Samedi;10h;12h;Public;3;
Saint Roch;Samedi;10h;11h;Nat.Adulte;1;
Saint Roch;Samedi;11h;12h;Aquagym;1;
Saint Roch;Samedi;12h;17h;Public;3;
Saint Roch;Dimanche;8h;13h;Public;3;
Saint Roch;Dimanche;8h;9h30;Nat.Adulte;1;
Saint Augustin;Lundi;12h;14h;Public;3;
Saint Augustin;Lundi;13h;14h;Aqua Palmes;1;
Saint Augustin;Mardi;12h;14h;Public;3;
Saint Augustin;Mardi;12h;14h;AquaStep + palmes;1;
Saint Augustin;Mardi;17h;19h;Public;3;
Saint Augustin;Mercredi;11h;12h;Aqua seniors;2;
Saint Augustin;Mercredi;11h;12h;Public;2;
Saint Augustin;Mercredi;12h;14h;Public;3;
Saint Augustin;Jeudi;12h;14h;Public;3;
Saint Augustin;Jeudi;13h;14h;Aqua training;1;
Saint Augustin;Jeudi;17h;20h;Public;3;
Saint Augustin;Vendredi;12h;14h;Public;3;
Saint Augustin;Vendredi;15h30;16h;Public;4;
Saint Augustin;Vendredi;16h;17h;Public;2;
Saint Augustin;Vendredi;16h;17h;O.N.P.A;2;
Saint Augustin;Vendredi;17h;18h;Public;3;
Saint Augustin;Vendredi;18h;19h;Public;2;
Saint Augustin;Vendredi;18h;19h;Masters;1;
Saint Augustin;Samedi;9h;10h;Public;2;
Saint Augustin;Samedi;9h;10h;Aqua Step;2;
Saint Augustin;Samedi;12h;13h;Aqua training;1;
Saint Augustin;Samedi;10h;14h;Public;3;
Saint Augustin;Samedi;14h;15h;A.P.A;2;
Saint Augustin;Samedi;15h;17h;Jardin Aquatique;2;
Saint Augustin;Samedi;14h;17h;Anniversaire;2;
Saint Augustin;Dimanche;8h;13h;Public;4;
Ariane;Lundi;8h;10h;Public;4;
Ariane;Lundi;12h;14h;Public;4;
