Musées et Galeries / Ville de Nice;;;;;;;;;;;;;;;
Type d'établissement;Identité;Descriptif;Adresse Physique;Longitude;Latitude;Adresse Postale;Téléphone Standard;Email;Site Web;Horaires;Jours de Fermeture;Tarifs;Accés Handicapés;INFO +;Mot-clef
"MUSEE
";MUSÉE D'ART MODERNE ET D'ART CONTEMPORAIN MAMAC;Situé en cœur de ville, le MAMAC offre une plongée dans l’aventure de l’art des années 1950 à nos jours. La collection, riche de plus de 1 300 œuvres de 300 artistes trouve son articulation essentielle dans le rapport entre le Nouveau Réalisme européen et l'expression américaine de l'art d'assemblage et du Pop Art. Elle déploie également des œuvres clé de l’art minimal ou de l’arte povera. Deux figures majeures de l’art du XXe siècle constituent le cœur des collections : Yves Klein et  Niki de Saint Phalle. Parallèlement à la présentation des collections, le MAMAC propose un programme d’expositions temporaires. Enfin, la galerie contemporaine et la galerie des Ponchettes incarnent la vocation prospective du musée. ;Place Yves Klein 06300 Nice;43° 42? 05? Nord;7° 16? 43? Est ;06364 Nice CEDEX 04; 04 97 13 42 01;mamac@ville-nice.fr;http://www.mamac-nice.org/;"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";Lundi toute la journée      Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12;"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Oui;Boutique, parking, Label Famille Plus Toit en terrasse avec vue panoramique sur Nice;"Musée
Art contemporain
Pop’Art
Ecole de Nice
Nouveau-Réalisme
Art Conceptuel  
Supports-Surfaces
Fluxus
Avant-garde
Yves Klein
Niki de Saint-Phalle
Andy Warhol
Tom Wesselmann

"
MUSEE;MUSÉE MATISSE;"Ce musée, inauguré en 1963, est installé dans l’une des grandes demeures patriciennes niçoises sur la célèbre colline de Cimiez. Il a fait l’objet en 1992 d’une vaste opération d’extension et de rénovation de ses espaces, ajoutant une aile contemporaine au bâtiment du XVIIIème siècle. Sa collection reflète l’ensemble du parcours artistique de Matisse, depuis sa première peinture «Nature mortes aux livres » (1890) jusqu’à l’une de ses dernières réalisations «Fleurs et fruits » (1952 -1953). Il comprend la quasi-totalité de l’œuvre sculptée de l’artiste (63 pièces). En 2013, les héritiers Matisse ont fait don à la Ville de Nice de l’œuvre monumentale « La Piscine », réalisée en pierre de lave et céramique.
";164 Avenue des Arènes de Cimiez, 06000 Nice;"43°43'11.2""N ";"7°16'31.4""E";06364 Nice CEDEX 04;04 93 81 08 08;musee.matisse@ville-nice.fr;"http://www.musee-matisse-nice.org
";"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";Mardi toute la journée    Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12;"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Oui;"Boutique, parking gratuit, parc arboré.
Visiter en famille 
Les ateliers d’initiation artistique
Les mercredis au musée (5-12 ans)
Stage de pratiques artistiques (5-12 ans)
L’université pour enfants (8 – 14 ans)
Ateliers pour adultes
";"Musée
Matisse
Fleurs et fruits
La Piscine"
MUSEE;PALAIS LASCARIS;Ancienne demeure de la noble famille des Lascaris-Vintimille, au cœur de la vieille ville, le Palais Lascaris, est le monument le plus remarquable de l’architecture baroque civile niçoise. Classé Monument Historique, il conserve un escalier monumental conduisant à l’étage d'apparat et des ornementations d’époque, fresques et décors plafonnants. Le musée qu’il abrite présente des tapisseries d’Aubusson et des Flandres, peintures, objets d’art et mobilier des XVIIe et XVIIIe siècles, ainsi qu’une précieuse collection d’instruments de musique anciens, deuxième collection publique française. ;15 rue Droite            06300 Nice;43° 41? 51.62? Nord;7° 16? 38.09? Est;06364 Nice CEDEX 04;04 93 62 72 40;;http://www.nice.fr/Culture/Musees-et-expositions/Le-palais-Lascaris;"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";mardi toute la journée    Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12;"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Non;Boutique;"Architecture
Palais
Baroque  
Collection 
Instruments 
Musiques
Vieux-Nice"
MUSEE;MUSEUM D'HISTOIRE NATURELLE;"Le Museum est un établissement scientifique qui participe, par ses études et ses recherches, à l'apport de nouveaux savoirs dans le domaine des sciences naturelles. Une de ses spécificités est d'avoir également des collections patrimoniales remarquables. En effet, il est profondément ancré dans l'histoire et la culture de Nice. Fondé en 1846, c'est le plus ancien de notre cité. L'exposition ""Par monts et par vaux"", biodiversité des Alpes Maritimes"" propose un parcours entre Alpes et Méditerranée. Une dizaine d'unités paysagères sont présentées et montrent la richesse de la flore, de la faune et de la géologie du département.";60 bd Risso           06300 Nice;43° 42? 05? Nord;7° 16? 45? Est;06364 Nice CEDEX 04;04 97 13 46 80;;http://www.nice.fr/Culture/Musees-et-expositions/Museum-d-Histoire-Naturelle;"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";lundi toute la journée      Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12;"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Non;Parking à proximité;"Muséum
biodiversité 
géologie
paléontologie
Patrimoine
Collection
spécimen
Vérany
Barla
"
MUSEE;MUSEE D'ARCHEOLOGIE DE NICE CIMIEZ;Le quartier de Cimiez conserve des vestiges archéologiques romains de la cité de Cemenelum. Ce site archéologique majeur présente, sur deux hectares et demi, les vestiges magnifiquement conservés de trois ensembles thermaux complets, un amphitéâtre, des rues et un quartier d'habitations ainsi qu'une cathédrale et un baptistère paléochrétiens (à partir du Vème siècle). Les superbes collections du musée, réparties sur deux niveaux, témoignent de la vie à Cemenelum à l'époque romaine pour faire découvrir à tous la richesse de cette civilisation méditerranéenne.;160, avenue des Arènes de Cimiez 06000 Nice;43° 43? 08? Nord;7° 16? 34? Est;06364 Nice CEDEX 04;04 93 81 59 57;;http://nice.fr/Culture/Musees-et-expositions/Musee-d-archeologie-de-nice;"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";mardi toute la journée      Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12;"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Oui;Boutique, parking gratuit, Label tourisme et handicap;"
Cemenelum
Romains
Moyen-Age 
Arènes
Thermes "
MUSEE;MUSEE D'ARCHEOLOGIE DE NICE TERRA AMATA;Le musée de Préhistoire de Terra Amata conserve, à l'emplacement même du site fouillé en 1966, les vestiges laissés par des Homo erectus niçois, il y a 400 000 ans. Ce gisement est connu dans le monde entier car il a livré les plus anciens foyers de l'histoire de l'humanité. Le musée présente le comportement et le mode de vie des premiers niçois qui avaient installé leurs cabanes sur une plage et chassaient l'éléphant, le rhinocéros ou le cerf. Le musée a été entièrement rénové pour le 50ème anniversaire de la fouille du site. Il propose maintenant une muséographie réactualisée intégrant les dernières découvertes et offrant aux visiteurs un nouveau parcours interactif et ludique.;"25 bd Carnot
06300 Nice";43° 41? 52? Nord ;7° 17? 22? Est;06364 Nice CEDEX 04;04 93 55 59 93;;http://nice.fr/Culture/Musees-et-expositions/Musee-d-archeologie-de-Nice;"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";"Lundi (sauf aux groupes ayant réservé) et Mardi
Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12";"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Partiel;Activités encadrées;"
Préhistoire
Terra Amata
"
MUSEE;MUSÉE DES BEAUX-ARTS JULES CHERET;Le musée est l'héritier du premier musée constitué à partir des dépôts de l'Etat souhaités par Napoléon III. Il a été installé en 1928 dans une somptueuse villa construite à la fin du XIXème siècle. Les collections de peinture et sculpture recouvrent plus de cinq siècles du XIVème au XXème siècle : Bronzino, Van Loo, Fragonard, Chéret, Marie Bashkirtseff, Gustav-Adolf Mossa, Dufy, Bonnard, Rodin, Carpeaux...;33 av des Baumettes    06000 Nice;43° 41? 40? Nord;7° 14? 56? Est;06364 Nice CEDEX 04;04 92 15 28 28;;http://www.musee-beaux-arts-nice.org/;"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";lundi toute la journée      Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12;"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Oui;Boutique, parking gratuit, parc.   ;"Musée
Beaux-Arts
Rodin
Dufy
Carpeaux
Van Loo
Fragonard
Chéret
Dufy 
Bronzino"
MUSEE;MUSÉE INTERNATIONAL D'ART NAÏF ANATOLE JAKOVSKY;Le musée International d’Art Naïf, grâce à la prestigieuse donation d’Anatole et Renée Jakovsky, propose un panorama unique du monde de l’histoire de la peinture naïve du XVIIIème à nos jours. Oeuvres de Rousseau, Bauchant, Bombois, Rimbert, Séraphine, peintres croates, haïtiens, brésiliens... Il renferme aussi une importante collection d'Art Brut et Singulier : Chaissac, Forestier, Barbiero, Danielle Jacqui... Ce musée a été installé dans l'ancienne résidence du parfumeur François Coty.;"Château Sainte-Hélène
23, avenue de Fabron
06200 NICE";43° 41? 10.3? Nord;7° 13? 58.29? Est;06364 Nice CEDEX 04;04 93 71 78 33;;http://www.nice.fr/Culture/Musees-et-expositions/Musee-d-Art-Naif;"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";mardi toute la journée    Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12;"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Oui;Boutique, parking gratuit, parc.   ;"Musée
Art Naïf
Art Brut et Singulier
Jakovsky
Rousseau
Bauchant
Bombois
Rimbert
Séraphine"
MUSEE;MUSÉE DE LA PHOTOGRAPHIE CHARLES NEGRE;Le Musée de la Photographie Charles Nègre, (anciennement Théâtre de la Photographie et de l'Image) poursuit la mission de développer son approche de la photographie en proposant des expositions temporaires monographiques des plus grands noms de la photographie ou thématiques présentant toutes les tendances, de la photographie ancienne à l’image numérique. Le musée se dote d'un nouvel outil, la galerie du musée, dédiée en priorité à la collection  (1700 images et  de 220 objets), mais aussi aux projets photographiques en partenariat avec le Rectorat de l'Académie de Nice  et de manière ponctuelle à de jeunes auteurs photographes.;1 Place Pierre Gautier 06300 Nice;"43°41'46.9""Nord";"7°16'30.1""Est";06364 Nice CEDEX 04;04 97 13 42 20;;http://museephotographie.nice.fr;"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";lundi toute la journée    Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12;"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Oui;Parking à proximité;"Photographie
Image numérique                              Reportage                                             Mode                                                       Portrait                                                   Paysage                                                 Photo plasticienne                           Tirage                                                 "
MUSEE;VILLA MASSÉNA;Le musée Masséna joyau architectural de la Promenade des anglais, évoque, lors de ses visites guidées au travers de ses collections, la grande époque de Nice, de l’arrivée des premiers hivernants de la fin du XVIIIe siècle aux premières décennies du XXe siècle. ;65 rue de France   06000 Nice;43° 41? 43? Nord;7° 15? 32? Est;06364 Nice CEDEX 04;04 93 91 19 10;musee.massena@ville-nice.fr;http://www.nice.fr/Culture/Musees-et-expositions/Villa-Massena;"du 23 juin au 15 octobre inclus ouverture de 10h à 18h
Hors saison ouverture de 11h à 18h
";mardi toute la journée    Fermetures exceptionnelles : 01/01, Pâques, 01/05, 25/12;"Entrée gratuite pour les résidents de la métropole (sur justificatifs)
Tarif individuel non résident : 10 € donnant accès à l'ensemble des  musées et galeries pendant 1 jour ou 20€ pour 7 jours
Visite guidée : 6 € (individuel)
Visite guidée en groupe (10-30 personnes) : 82 € sur réservation
";Oui;Boutique, parc, parking à proximité.   ;"Palais
Belle-Epoque
Napoléon 
Hessling
Joséphine
Histoire

"
