idENT_NCA;NOM;SOUS_TYPE;DIFFUSION;CODE_INSEE;CODE_EQUIP;TYPE;ADR_NCA;geometry
06088AC200264D;FOYER SAINT-BARTHELEMY;FOYER LOGEMENT;1;06088;D;SOCIAL;06088AC200264;{"type": "Point", "coordinates": [7.25435675, 43.71821273]}
06088AC18705A;RESIDENCE GROSSO;EHPAD;1;06088;A;SOCIAL;06088AC18705;{"type": "Point", "coordinates": [7.26294161, 43.71488344]}
06027AA00360A;GARE SNCF CENTRE-VILLE;GARE FERROVIAIRE;1;06027;A;TRANSPORT;06027AA00360;{"type": "Point", "coordinates": [7.1482194, 43.65777081]}
06027AA004112BISA;GARE SNCF CROS DE CAGNES;GARE FERROVIAIRE;1;06027;A;TRANSPORT;06027AA004112BIS;{"type": "Point", "coordinates": [7.16713558, 43.6604797]}
06032AA00060A;GARE SNCF;GARE FERROVIAIRE;1;06032;A;TRANSPORT;06032AA00060;{"type": "Point", "coordinates": [7.39435376, 43.72063486]}
06088AS0836168A;CASERNE AUSSEUR;GENDARMERIE;1;06088;A;SECURITE;06088AS0836168;{"type": "Point", "coordinates": [7.20745188, 43.68133513]}
06059AA00930A;GENDARMERIE NATIONALE;GENDARMERIE;1;06059;A;SECURITE;06059AA00930;{"type": "Point", "coordinates": [7.3618778, 43.72934223]}
06088AB03794A0;GROUPE SCOLAIRE SAINT PHILIPPE;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AB03794;{"type": "Point", "coordinates": [7.24809884, 43.70115774]}
06088AM09010A0;GROUPE SCOLAIRE SAINT CHARLES;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AM09010;{"type": "Point", "coordinates": [7.29516579, 43.71778068]}
06088AG046289A0;GROUPE SCOLAIRE ANNEXES IUFM;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AG046289;{"type": "Point", "coordinates": [7.26877716, 43.71403113]}
06088AJ02971A0;GROUPE SCOLAIRE JULES FERRY;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AJ02971;{"type": "Point", "coordinates": [7.28059502, 43.71050075]}
06123AA0060221A;KORIAN LE CLOS MYRAMIS;EHPAD;1;06123;A;SOCIAL;06123AA0060221;{"type": "Point", "coordinates": [7.18129707, 43.66402967]}
06147AA003885A;LES AMANDINES;EHPAD;1;06147;A;SOCIAL;06147AA003885;{"type": "Point", "coordinates": [7.27209421, 43.788489]}
06147AA0010163A;LES GLYCINES;EHPAD;1;06147;A;SOCIAL;06147AA0010163;{"type": "Point", "coordinates": [7.27384265, 43.78963884]}
06088AB020933A0;GROUPE SCOLAIRE PIERRE MERLE;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AB020933;{"type": "Point", "coordinates": [7.28651152, 43.70132323]}
06088SE04956A;PALAIS DES EXPOSITIONS;SALLE DE SPECTACLE;1;06088;A;CULTURE;06088SE04956;{"type": "Point", "coordinates": [7.28281859, 43.70880182]}
06088BA164417A;MIN FLEURS;MIN;1;06088;A;SERVICE PUBLIC;06088BA164417;{"type": "Point", "coordinates": [7.20231618, 43.66698128]}
06114AA000315A;MSD SAINT-ANDRE DE LA ROCHE;MAISON DE SOLIDARITE DEPARTEMENTALE;1;06114;A;SOCIAL;06114AA000315;{"type": "Point", "coordinates": [7.28826191, 43.73942708]}
06088AF0550173A;MSD MAGNAN;MAISON DE SOLIDARITE DEPARTEMENTALE;1;06088;A;SOCIAL;06088AF0550173;{"type": "Point", "coordinates": [7.24715864, 43.69192694]}
