Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
CESSOLE SAINT SYLVESTRE;16/12/2014;10H00;12H00;SENIORS;REUNION;CLUB DU 3EME AGE DE LAS PLANAS
CESSOLE SAINT SYLVESTRE;16/12/2014;15H00;18H00;SENIORS;COURS;CLUB DU 3EME AGE DE LAS PLANAS
CESSOLE SAINT SYLVESTRE;20/12/2014;10H00;12H00;SPORT;COURS;ASSOCIATION DE CAPOEIRA FLOREIA BRASIL
CESSOLE SAINT SYLVESTRE;20/12/2014;12H00;14H00;ORGANISME PUBLIC;FESTIVAL;MAIRIE DE NICE
CESSOLE SAINT SYLVESTRE;20/12/2014;16H00;18H00;SPORT;COURS;SHANTI-YOGA
COMTE DE FALICON;15/12/2014;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;15/12/2014;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;15/12/2014;10H00;11H00;SPORT;COURS;GVAPS - GYMNASTIQUE VOLONTAIRE ACTIVITES PHYSIQUES SANTE
COMTE DE FALICON;15/12/2014;14H00;16H00;ENSEIGNEMENT;COURS;ETOILE D'AZUR
COMTE DE FALICON;15/12/2014;16H00;18H00;ENSEIGNEMENT;COURS;ASM - ARTS SACRES DU MONDE
COMTE DE FALICON;15/12/2014;16H00;20H00;SOCIAL;PERMANENCE;CHRYSALIDES
COMTE DE FALICON;15/12/2014;17H00;19H00;SOCIAL;COURS;AZUR ENTRAIDE
COMTE DE FALICON;15/12/2014;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;15/12/2014;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;16/12/2014;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;16/12/2014;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;16/12/2014;10H00;12H00;SPORT;COURS;LES PONTS DES PIES
COMTE DE FALICON;16/12/2014;14H00;17H00;ACTIVITE MANUELLE;COURS;LES VENUS DE POCHE
COMTE DE FALICON;16/12/2014;15H00;17H00;THEATRE;COURS;LES ATELIERS DE TANIA
COMTE DE FALICON;16/12/2014;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;16/12/2014;17H00;19H00;SOCIAL;COURS;AZUR ENTRAIDE
COMTE DE FALICON;16/12/2014;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;16/12/2014;18H00;20H00;COURS DE LANGUE;COURS;LA MAISON DE LA RUSSIE
COMTE DE FALICON;17/12/2014;10H00;12H00;SOCIAL;REUNION;LA PASSERELLE SENEGALAISE
COMTE DE FALICON;17/12/2014;10H00;12H00;SOCIAL;COURS;AZUR ENTRAIDE
COMTE DE FALICON;17/12/2014;11H00;20H00;MUSIQUE;COURS;DIFART
COMTE DE FALICON;17/12/2014;14H00;16H00;LOISIRS;COURS;SAVA - SPORT ACTION VOYAGES AMITIE 
COMTE DE FALICON;17/12/2014;14H00;15H00;LOISIRS;COURS;SAVA - SPORT ACTION VOYAGES AMITIE 
COMTE DE FALICON;17/12/2014;17H00;19H00;CHANT;COURS;LRC - LES RENCONTRES CHANTANTES
