Etablissement de loisirs,	Adresse postale,	Numéro de téléphone accueil
Centre d’animation et de loisirs Caucade,	111 ave Sainte-Marguerite - 06200 NICE,	04 92 29 71 20
Centre d'animation et des loisirs Fabron,	235 ave de la Lanterne - 06200 NICE,	04 93 21 17 25
Centre d'animation et de loisirs Las Planas,	1 rue Fabre - 06100 NICE,	04 92 09 50 89
Centre d’animation et de loisirs Gorbella,	63 bd Gorbella - 06100 NICE,	04 92 07 86 50
Centre d’animation et de loisirs Django Reinhardt,	19 chemin du Château Saint-Pierre – 06300 NICE,	04 97 00 12 20
Centre d’animation et de loisirs Notre-Dame,	18 rue d’Angleterre - 06000 NICE,	04 97 14 83 80
Centre d’animation et de loisirs Bon Voyage,	2 pont René Coty - 06300 NICE,	04 92 00 75 60
Centre d’animation et de loisirs La Madeleine,	280 bd de la Madeleine - 06200 NICE,	04 92 15 25 10
Centre d’animation et de loisirs La Valière,	46 rue Auguste Pégurier – 06200 NICE,	04 93 21 51 40
Centre d’animation et de loisirs Vallon des Fleurs,	164 ave Henri Dunant – 06100 NICE,	04 97 11 87 60
Centre d’animation et de loisirs Saint-Augustin,	114 route du Mercantour - 06200 NICE,	04 92 29 46 56
Centre d’animation et de loisirs Ste-Marguerite,	71 ave Ste Marguerite - 06200 NICE,	04 93 72 87 26
Centre d'animation et de loisirs Les Combes,	RD 6202 - route de Mercantour - 06200 NICE,	04 97 10 23 30
Centre d'animation et des loisirs Saint-Pancrace,	465 route de Pessicart - 06100 NICE,	04 97 11 87 62
Centre d'animation et des loisirs Pasteur,	4 rue Maurice Maccario - 06300 NICE,	04 97 13 49 13
