insee_com,postal_code,nom_comm,nom_dept,nom_region,statut,z_moyen,superficie,population,lat,lon,geo_shape,id_geofla,code_comm,code_cant,code_arr,code_dept,code_reg
33312,33290,PAREMPUYRE,GIRONDE,AQUITAINE,Commune simple,4.0,2180.0,7.4,44.9541509661, -0.580766578801,"{""type"": ""Polygon""; ""coordinates"": [[[-0.549075127490565; 44.93883135630491]; [-0.562850583871282; 44.941941474960664]; [-0.57295035783102; 44.93474938181103]; [-0.60177312357393; 44.936035811598806]; [-0.613847621411431; 44.94165536935364]; [-0.618609619647094; 44.941112812273374]; [-0.621637310414291; 44.94731430125894]; [-0.628673024804322; 44.95816190426434]; [-0.628330317752059; 44.96423895016303]; [-0.598158486064943; 44.96452578462029]; [-0.555228385904108; 44.97482088567213]; [-0.540540237228692; 44.97406390648762]; [-0.540926857159461; 44.957684495121924]; [-0.549075127490565; 44.93883135630491]]]}",13275,312.0,6,2,33,72
33127,33350,CIVRAC-SUR-DORDOGNE,GIRONDE,AQUITAINE,Commune simple,6.0,191.0,0.2,44.830355683, -0.0779777729752,"{""type"": ""Polygon""; ""coordinates"": [[[-0.068116486379851; 44.8381803667576]; [-0.06849059314915; 44.8292680462248]; [-0.078764441999007; 44.823361006122255]; [-0.083109269736902; 44.82409625774499]; [-0.09150575460018; 44.83012457377334]; [-0.082873231611387; 44.833635550995055]; [-0.068116486379851; 44.8381803667576]]]}",13322,127.0,37,5,33,72
33182,33710,GAURIAC,GIRONDE,AQUITAINE,Commune simple,18.0,1011.0,0.9,45.0640707236, -0.629412029875,"{""type"": ""Polygon""; ""coordinates"": [[[-0.638368283799527; 45.044120360819534]; [-0.6423127885322; 45.048074439632686]; [-0.653093048651261; 45.05914129183701]; [-0.659095312027483; 45.064577660558925]; [-0.638384944297233; 45.077803119405125]; [-0.615952873985764; 45.075577315496545]; [-0.607315936989453; 45.0769660557183]; [-0.596855195080356; 45.072554399491096]; [-0.604962899978917; 45.0631617546848]; [-0.638368283799527; 45.044120360819534]]]}",22415,182.0,15,1,33,72
33253,33410,LOUPIAC,GIRONDE,AQUITAINE,Commune simple,54.0,956.0,1.1,44.6282363269, -0.287216072924,"{""type"": ""Polygon""; ""coordinates"": [[[-0.301335347636778; 44.60223110721081]; [-0.302430422879621; 44.615759083748586]; [-0.313047882201671; 44.62748830074928]; [-0.291178508312522; 44.63564749350523]; [-0.286926178372923; 44.6419281871057]; [-0.289542716005481; 44.64869833445295]; [-0.275310973561631; 44.64902178256697]; [-0.257867395739553; 44.64269834345982]; [-0.274442358977135; 44.63060319586272]; [-0.278546732967156; 44.62111972251798]; [-0.2844568486261; 44.617322029942]; [-0.285045555041599; 44.608591500363964]; [-0.301335347636778; 44.60223110721081]]]}",36374,253.0,17,3,33,72
33086,33420,CAMIAC-ET-SAINT-DENIS,GIRONDE,AQUITAINE,Commune simple,72.0,662.0,0.4,44.7961983028, -0.292259095735,"{""type"": ""Polygon""; ""coordinates"": [[[-0.284888389313244; 44.78340280866553]; [-0.311541532444878; 44.78824139443777]; [-0.315209498324899; 44.7937906974774]; [-0.312371128030033; 44.7995255292299]; [-0.307700204505686; 44.80273780253985]; [-0.291161839683286; 44.80799691425854]; [-0.27777802443645; 44.80532070588644]; [-0.26887840077433; 44.806817996845325]; [-0.274123374640387; 44.79408394318018]; [-0.284888389313244; 44.78340280866553]]]}",30401,86.0,16,5,33,72
33306,33190,NOAILLAC,GIRONDE,AQUITAINE,Commune simple,57.0,800.0,0.4,44.517026239, -0.0232977040899,"{""type"": ""Polygon""; ""coordinates"": [[[-0.015564992756321; 44.504789481749235]; [-0.028777224564985; 44.50280583819068]; [-0.045224093480408; 44.50923569115279]; [-0.047612240418547; 44.512196720230975]; [-0.041330736431335; 44.52109972964927]; [-0.037427817868205; 44.52743242129621]; [-0.028890276349072; 44.52815361740809]; [-0.026678082148073; 44.530817895204954]; [-0.002922691848319; 44.526268920401186]; [0.00481984347902; 44.52203808465826]; [3.421352137e-05; 44.51920542869585]; [-0.015564992756321; 44.504789481749235]]]}",23797,306.0,38,3,33,72
33297,33480,MOULIS-EN-MEDOC,GIRONDE,AQUITAINE,Commune simple,23.0,2077.0,1.8,45.0531974317, -0.784543632595,"{""type"": ""Polygon""; ""coordinates"": [[[-0.851893239887322; 45.019095079607254]; [-0.864542649052123; 45.01803435664406]; [-0.857609483040802; 45.02605456164857]; [-0.846012360855498; 45.03727347939768]; [-0.804646420315154; 45.047439322118805]; [-0.78356659717253; 45.06214797533976]; [-0.769752067832249; 45.065897757625876]; [-0.76590566454632; 45.07885508857238]; [-0.748062443409672; 45.08464915863104]; [-0.745757833100719; 45.091081627928]; [-0.741764240607188; 45.0916845830093]; [-0.734469333950124; 45.08192381097166]; [-0.736696794911921; 45.06918440136288]; [-0.728699431190388; 45.06275512852402]; [-0.732863091589854; 45.06129956663651]; [-0.780803190277907; 45.040652839155]; [-0.800314152303865; 45.0411330948786]; [-0.80831433186553; 45.03706458515283]; [-0.817895878440541; 45.03643879215385]; [-0.833042687356247; 45.02296433674579]; [-0.851893239887322; 45.019095079607254]]]}",938,297.0,20,4,33,72
33332,33660,PORCHERES,GIRONDE,AQUITAINE,Commune simple,44.0,1336.0,0.9,45.0370123077, 0.00132456186091,"{""type"": ""Polygon""; ""coordinates"": [[[0.016455839257392; 45.026570820241126]; [0.003498509030229; 45.023916070708225]; [-0.006023100306565; 45.01668529601178]; [-0.016439513719735; 45.023278322574875]; [-0.028052148760428; 45.01788107421603]; [-0.030706478396557; 45.0267832077411]; [-0.026475504953955; 45.02560985330322]; [-0.024277181381601; 45.02842680245679]; [-0.026582877168876; 45.03464440314253]; [-0.025163944639009; 45.04107138618239]; [-0.008501359821148; 45.0483798565448]; [-0.005417256318997; 45.05461725380571]; [0.003488268450762; 45.05614575060211]; [0.020160148678593; 45.0507815088998]; [0.0283439427412; 45.05249593312189]; [0.03114849779874; 45.0499487681422]; [0.028586563104529; 45.031175199363304]; [0.016455839257392; 45.026570820241126]]]}",131,332.0,22,5,33,72
33212,33690,LABESCAU,GIRONDE,AQUITAINE,Commune simple,118.0,598.0,0.1,44.4484673998, -0.0833418361423,"{""type"": ""Polygon""; ""coordinates"": [[[-0.070244540985239; 44.435912608485694]; [-0.099916281492817; 44.4420724426015]; [-0.100213831784798; 44.45437923200778]; [-0.105711585671314; 44.458981137315234]; [-0.103966475290609; 44.45995823016172]; [-0.086672806571282; 44.46529978390931]; [-0.079766182700769; 44.44936717847937]; [-0.071973430740908; 44.445981223543804]; [-0.057042931071077; 44.45266658822631]; [-0.061708512568946; 44.437330336586186]; [-0.070244540985239; 44.435912608485694]]]}",33065,212.0,25,3,33,72
33300,33990,NAUJAC-SUR-MER,GIRONDE,AQUITAINE,Commune simple,18.0,9818.0,0.8,45.2610002038, -1.05592808876,"{""type"": ""Polygon""; ""coordinates"": [[[-0.959771549436199; 45.21927952446763]; [-0.968191565391471; 45.21534724336234]; [-1.047114383115358; 45.22715565576979]; [-1.055916062457481; 45.23046073351532]; [-1.06500058682063; 45.23902934441593]; [-1.079390190248636; 45.24226438553401]; [-1.129761071446123; 45.24479499256468]; [-1.169506555079547; 45.250071709912525]; [-1.164539721376324; 45.28507112834321]; [-1.104835049773839; 45.290904692526844]; [-1.086123197519447; 45.296152661271954]; [-1.066928179950084; 45.294481395406265]; [-1.046102622813049; 45.30392880606818]; [-1.018984713201768; 45.288263322133076]; [-0.989321753907016; 45.28426811773172]; [-0.966778495755276; 45.27653264095099]; [-0.970449512847341; 45.262824587768684]; [-0.962925129678045; 45.24624149623986]; [-0.965450685467001; 45.22505527776497]; [-0.959771549436199; 45.21927952446763]]]}",25262,300.0,29,4,33,72
