code INSEE Departement,code INSEE commune,Commune brute,Adresse brute,Adresse formatee,Numero du bureau de vote,date,latitude,longitude
33,,BERSON,FOYER RURAL 1, Berson,,,45.1086,-0.586162
33,,BLAYE,ECOLE PRIMAIRE 1, Blaye,,,45.1291,-0.661366
33,,BLAYE,ECOLE PRIMAIRE PIERRE MALBETEAU 2, Blaye,,,45.1291,-0.661366
33,,BLAYE,MAIRIE 3,,,,,
33,,CAMPUGNAN,MAIRIE 1, Campugnan,,,45.1777,-0.564338
33,,CARTELEGUE,MAIRIE 1,,,,45.1777,-0.564338
33,,FOURS,MAIRIE 1,,,,45.1777,-0.564338
33,,MAZION,MAIRIE 1,,,,45.1777,-0.564338
33,,PLASSAC,SALLE POLYVALENTE 1,Lieu-Dit La Salle-Ouest - 33390 Plassac,,,45.1654,-0.65012
33,,SAINT-ANDRONY,SALLE DES FETES 1, Saint-Androny,,,45.1899,-0.649672
33,,SAINT-GENES-DE-BLAYE,MAIRIE 1,,,,45.1777,-0.564338
33,,SAINT-MARTIN-LACAUSSADE,MAIRIE 1,,,,45.1777,-0.564338
33,,SAINT-PAUL,MAIRIE 1,,,,45.1777,-0.564338
33,,SAINT-SEURIN-DE-CURSAC,CANTINE SCOLAIRE 1, Saint-Seurin-de-Cursac,,,45.1604,-0.623048
33,,BAYON-SUR-GIRONDE,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,BOURG,CHATEAU DE LA CITADELLE 1, Bourg,,,45.0397,-0.560088
33,,COMPS,MAIRIE 1,,,,45.1777,-0.564338
33,,GAURIAC,SALLE POLYVALENTE 'LA GABARE 1, Gauriac,,,45.0635,-0.615759
33,,LANSAC,MAIRIE 1,,,,45.1777,-0.564338
33,,MOMBRIER,NOUVELLE MAIRIE 1, Mombrier,,,45.0788,-0.551938
33,,PRIGNAC-ET-MARCAMPS,MAIRIE 1,,,,45.1777,-0.564338
33,,PUGNAC,FOYER RURAL 1,,,,45.1086,-0.586162
33,,PUGNAC,FOYER RURAL 1,,,,45.1086,-0.586162
33,,SAINT-CIERS-DE-CANESSE,MAIRIE 1,,,,45.1777,-0.564338
33,,SAINT-SEURIN-DE-BOURG,MAIRIE 1,,,,45.1777,-0.564338
33,,SAINT-TROJAN,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,SAMONAC,MAIRIE 1,,,,45.1777,-0.564338
33,,TAURIAC,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,TEUILLAC,MAIRIE 1,,,,45.1777,-0.564338
33,,VILLENEUVE,MAIRIE 1, Villeneuve,,,45.0842,-0.627255
33,,AUBIE-ET-ESPESSAS,MAIRIE 1,,,,45.0842,-0.627255
33,,CUBZAC-LES-PONTS ,MAIRIE 1,,,,45.0842,-0.627255
33,,CUBZAC-LES-PONTS ,SALLE DES FETES 2,,,,,
33,,GAURIAGUET,MAIRIE 1,,,,45.0842,-0.627255
33,,PEUJARD,MAISON DU TEMPS LIBRE 1, Peujard,,,45.038,-0.439545
33,,SAINT-ANDRE-DE-CUBZAC,CHATEAU ROBILLARD 1, Saint-André-de-Cubzac,,,44.9943,-0.447052
33,,SAINT-ANDRE-DE-CUBZAC,ECOLE PIERRE DUFOUR 2, Saint-André-de-Cubzac,,,44.9943,-0.447052
33,,SAINT-ANDRE-DE-CUBZAC,ECOLE SUZANNE LACORE 3, Saint-André-de-Cubzac,,,44.9943,-0.447052
33,,SAINT-ANDRE-DE-CUBZAC,MAIRIE 4,,,,,
33,,SAINT-ANDRE-DE-CUBZAC,SALLE B DE L'ECOLE PIERRE DUFOUR 5, Saint-André-de-Cubzac,,,44.9942,-0.447104
33,,SAINT-ANDRE-DE-CUBZAC,SALLE DU MASCARET 6, Saint-André-de-Cubzac,,,44.9942,-0.447104
33,,SAINT-ANTOINE,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,SAINT-GERVAIS ,MAIRIE 1,,,,45.0842,-0.627255
33,,SAINT-LAURENT-D'ARCE,MAIRIE 1,,,,45.0842,-0.627255
33,,SALIGNAC,MAISON DU TEMPS LIBRE 1,,,,45.038,-0.439545
33,,VIRSAC,MAIRIE 1,,,,45.0842,-0.627255
33,,ANGLADE,MAIRIE 1,,,,45.0842,-0.627255
33,,BRAUD-ET-SAINT-LOUIS,MAIRIE 1,,,,45.0842,-0.627255
33,,ETAULIERS,HALLE AUX GRAINS 1, Ãtauliers,,,45.2234,-0.572925
33,,EYRANS,MAIRIE 1,,,,45.0842,-0.627255
33,,MARCILLAC,MAIRIE 1,,,,45.0842,-0.627255
33,,PLEINE-SELVE,MAIRIE 1,,,,45.0842,-0.627255
33,,REIGNAC,MAIRIE 1,,,,45.0842,-0.627255
33,,SAINT-AUBIN-DE-BLAYE,MAISON DES ASSOCIATIONS 1,,,,,
33,,SAINT-CAPRAIS-DE-BLAYE,SALLE DES ASSOCIATIONS 1,,,,,
33,,SAINT-CIERS-SUR-GIRONDE,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,SAINT-CIERS-SUR-GIRONDE,SALLE DES FETES 2,,,,,
33,,SAINT-PALAIS,MAIRIE 1,,,,45.0842,-0.627255
33,,CAVIGNAC ,MAIRIE 1,,,,45.0842,-0.627255
33,,CEZAC,MAIRIE 1,,,,45.0842,-0.627255
33,,CEZAC,MAISON DES ASSOCIATIONS 2,,,,,
33,,CIVRAC-DE-BLAYE,MAIRIE 1,,,,45.0842,-0.627255
33,,CUBNEZAIS,MAIRIE 1,,,,45.0842,-0.627255
33,,DONNEZAC,MAIRIE 1,,,,45.0842,-0.627255
33,,GENERAC,MAIRIE 1,,,,45.0842,-0.627255
33,,LARUSCADE,ECOLE DE LARUSCADE 1, Laruscade,,,45.1073,-0.341911
33,,LARUSCADE,MAIRIE 2,,,,,
33,,MARSAS,MAIRIE 1,,,,45.0842,-0.627255
33,,MARCENAIS,MAIRIE 1,,,,45.0842,-0.627255
33,,SAINT-CHRISTOLY-DE-BLAYE,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,SAINT-GIRONS-D'AIGUEVIVES,MAIRIE 1,,,,45.0842,-0.627255
33,,SAINT-MARIENS,MAIRIE 1,,,,45.0842,-0.627255
33,,SAINT-SAVIN,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,SAINT-SAVIN,SALLE DES FETES 2,,,,,
33,,SAINT-VIVIEN-DE-BLAYE,MAIRIE 1,,,,45.0842,-0.627255
33,,SAINT-YZAN-DE-SOUDIAC,MAIRIE 1,,,,45.0842,-0.627255
33,,SAINT-YZAN-DE-SOUDIAC,SALLE POLYVALENTE 2, Saint-Yzan-de-Soudiac,,,45.1399,-0.411564
33,,SAUGON,MAIRIE 1,,,,45.0842,-0.627255
33,,BLANQUEFORT,ECOLE DE CAYCHAC 1, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLE DE CAYCHAC 2, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLE DE CAYCHAC 3, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLE DE SATURNE 4, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLE DE SATURNE 5, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLE DE SATURNE 6, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLES DU BOURG 7, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLES DU BOURG 8, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLES DU BOURG 9, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLES DU BOURG 10, Blanquefort,,,44.9102,-0.637806
33,,BLANQUEFORT,ECOLES DU BOURG 11, Blanquefort,,,44.9102,-0.637806
33,,EYSINES,ECOLE MATERNELLE  DE MIGRON 1, Eysines,,,44.8843,-0.651029
33,,EYSINES,ECOLE MATERNELLE RAOUL DEJEAN 2, Eysines,,,44.8843,-0.651029
33,,EYSINES,ECOLE MATERNELLE RAOUL DEJEAN 3, Eysines,,,44.8843,-0.651029
33,,EYSINES,ECOLE MATERNELLE RAOUL DEJEAN 4, Eysines,,,44.8843,-0.651029
33,,EYSINES,ECOLE PRIMAIRE DE MIGRON 5, Eysines,,,44.8843,-0.651029
33,,EYSINES,ECOLE PRIMAIRE DE MIGRON 6, Eysines,,,44.8843,-0.651029
33,,EYSINES,ECOLE PRIMAIRE LA FORET 7,,,,,
33,,EYSINES,ECOLE PRIMAIRE LA FORET 8,,,,,
33,,EYSINES,ECOLE PRIMAIRE LA FORET 9,,,,,
33,,EYSINES,ECOLE PRIMAIRE R.GIROL II 10, Eysines,,,44.8843,-0.651029
33,,EYSINES,ECOLE PRIMAIRE R.GIROL II 11, Eysines,,,44.8843,-0.651029
33,,EYSINES,MAISON DE QUARTIEN DU VIGEAN 12, Eysines,,,44.8863,-0.648444
33,,EYSINES,MAISON DE QUARTIER DU VIGEAN 13, Eysines,,,44.8863,-0.648444
33,,EYSINES,MAISON DE QUARTIER DU VIGEAN 14, Eysines,,,44.8863,-0.648444
33,,EYSINES,MAISON DE QUARTIER DU VIGEAN 15, Eysines,,,44.8863,-0.648444
33,,LUDON-MEDOC,CENTRE PERISCOLAIRE ELEMENTAIRE 1, Ludon-Médoc,,,44.9822,-0.603999
33,,LUDON-MEDOC,FOYER RURAL - SALLE JAUNE 2, Ludon-Médoc,,,44.9822,-0.603999
33,,LUDON-MEDOC,SALLE POLYVALENTE 3, Ludon-Médoc,,,44.9827,-0.603928
33,,MACAU,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,MACAU,SALLE POLYVALENTE 2,,,,45.1399,-0.411564
33,,PAREMPUYRE,ATHÃNÃE MUNICIPAL 1, Parempuyre,,,44.9489,-0.604154
33,,PAREMPUYRE,DOJO CLUB-HOUSE 2, Parempuyre,,,44.9489,-0.604154
33,,PAREMPUYRE,DOJO- CLUB HOUSE 3, Parempuyre,,,44.9489,-0.604154
33,,PAREMPUYRE,ESPACE  'L' ART Y SHOW' 4, Parempuyre,,,44.9489,-0.604154
33,,PAREMPUYRE,ESPACE 'L'ART Y SHOW' 5, Parempuyre,,,44.9489,-0.604154
33,,LE PIAN-MEDOC ,SALLE DES SPORTS 1, Le Pian-Médoc,,,44.9566,-0.656065
33,,LE PIAN-MEDOC ,SALLE DES SPORTS 2, Le Pian-Médoc,,,44.9566,-0.656065
33,,LE PIAN-MEDOC ,SALLE DES SPORTS 3, Le Pian-Médoc,,,44.9566,-0.656065
33,,LE PIAN-MEDOC ,SALLE DES SPORTS 4, Le Pian-Médoc,,,44.9566,-0.656065
33,,BORDEAUX 1er canton,ACHARD A 1,,,,44.8497,-0.450237
33,,BORDEAUX 1er canton,ACHARD B 2,,,,44.8497,-0.450237
