Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
"PCUAQU033FS0005R","02/01/2015","Musée","Apothicairerie de Bazas","Hôpital Saint-Antoine
","","","","33430","BAZAS","33036","+33 5 56 25 25 84","","www.tourisme-bazadais.com"," -0.2090835","44.4358636","Oui","
","","Musée privé","","","","","Visite guidée uniquement sur rendez-vous","Français","",""
"PCUAQU024FS0005S","17/04/2015","Musée","Aquarium du Périgord Noir","","","Allée Paul Jean Souriau","BP 31","24260","LE BUGUE","24067","+33 5 53 07 10 74","","www.aquariumperigordnoir.com ","0.93182086","44.9142797","Oui","
","","","Handicap auditif # Handicap mental # Handicap moteur","","07/02/2015|31/03/2015|||14:00|18:00| # 01/04/2015|31/05/2015|10:00|||18:00| # 01/06/2015|30/06/2015|10:00|||19:00| # 01/07/2015|31/08/2015|10:00|||22:00| # 01/09/2015|30/09/2015|10:00|||18:00| # 01/10/2015|11/11/2015|||14:00|18:00|","Plein tarif|12,50||Adulte # Tarif réduit|8,70||Enfant # Tarif réduit|11,00||Etudiant # Tarif réduit|9,90||Groupe Adultes # Tarif réduit|6,50|6,80|Groupe Enfants","Visite guidée uniquement sur rendez-vous # Visite libre","Anglais","Aire de pique-nique # Restauration","Boutique"
"PCUAQU064FS0004T","14/02/2015","Musée","Association Francis Jammes","","Maison Chrestia","7 avenue Francis Jammes","","64300","ORTHEZ","64430","+33 5 59 69 11 24 # +33 9 60 43 18 74","","www.francis-jammes.com"," -0.7654058","43.4855127","Oui","
","","","","Maisons des Illustres","15/01/2015|15/12/2015|||||","Gratuit|0,00||","Visite guidée uniquement sur rendez-vous # Visite libre","Français","",""
"PCUAQU024FS00056","21/05/2015","Musée","Atelier des Tisserands et de la Charentaise","Le Château
","","","Le Bourg","24360","VARAIGNES","24565","+33 5 53 56 35 76","","","0.5293020","45.5988110","","
ChâteauIndustrie # Maison d'artisanat","","","","","01/04/2015|30/06/2015|10:00|12:00|14:00|17:00|Dimanche matin - Mardi # 01/07/2015|31/08/2015|10:00|12:00|14:00|18:00|Dimanche matin - Mardi # 01/09/2015|30/09/2015|10:00|12:00|14:00|18:00|Dimanche matin - Mardi # 01/10/2015|30/11/2015|||14:00|17:00|Dimanche - Mardi","Plein tarif|3,80|3,80| # Tarif enfant|2,30|2,30|Enfants de plus de 10 ans","Visite guidée","Anglais # Français # Néerlandais","Bar cafétéria salon de thé # Restauration","Boutique"
"PCUAQU064FS0008O","29/05/2015","Musée","Atelier du Chocolat  ","","","7 allée de Gibéléou","","64100","BAYONNE","64102","+33 5 59 55 00 15","","www.atelierduchocolat.fr"," -1.4582653","43.4915755","","
","","Musée privé","","","01/07/2015|31/08/2015|09:30|||18:30|Dimanche # 01/09/2015|31/12/2015|09:30|12:30|14:00|18:00|Dimanche # 01/01/2015|30/06/2015|09:30|12:30|14:00|18:00|Dimanche","Plein tarif|2,90|5,80| # Tarif groupe|2,60|5,20|","Visite libre","Anglais # Espagnol","Salle de projection","Borne interactive # Boutique"
"PCUAQU033FS00169","10/05/2015","Musée","Base sous-marine","boulevard Alfred Daney
","","","","33000","BORDEAUX","33063","+33 5 56 11 11 50","","www.bordeaux.fr/o271"," -0.5623605","44.8718877","","
","","Musée privé","","","01/01/2015|31/12/2015|||13:30|19:00|Lundi","Gratuit|||","Visite libre","Français","",""
"PCUAQU024FS0012H","17/04/2015","Musée","Bastideum de Monpazier","","","8 rue Galmot","","24540","MONPAZIER","24280","+33 5 53 57 12 12 # +33 5 53 57 82 82","","http://www.bastideum.fr","0.89477419","44.6799444","Oui","
Bastide","","","","","01/07/2015|31/08/2015|10:30|13:00|14:30|18:30|","Plein tarif|4,80||","Visite guidée uniquement sur rendez-vous # Visite libre # Visite libre uniquement sur rendez-vous","Anglais # Français","Salle de projection","Boutique"
"PCUAQU064FS0001M","02/01/2015","Musée","Camp romain: site et musée","","Mairie","Bourg","","64220","SAINT-JEAN-LE-VIEUX","64484","+33 5 59 37 09 10 # +33 5 59 37 91 08","+33 6 70 38 04 84","www.placesfortes64.fr # www.garazibaigorri.com"," -1.1964905","43.1645904","Oui","
Site archéologique","","","","","06/07/2015|04/09/2015|||||","Gratuit|0,00|0,00|Jusqu'à 7 ans: visite sans animation # Plein tarif|2,00|2,00|Tarif adulte: à partir de 14 ans et + # Tarif enfant|1,00|1,00|Tarif enfant: de 7 à 13 ans inclus # Tarif groupe|1,00|1,00|Minimum 10 personnes","Visite guidée","Français","",""
"PCUAQU033FS0001S","10/05/2015","Musée","Cap Sciences","Hangar 20
","quai de Bacalan","","","33300","BORDEAUX","33063","+33 5 56 01 07 07","","www.cap-sciences.net"," -0.555001","44.859748","Oui","
","","","Handicap mental # Handicap moteur","","01/01/2015|31/12/2015|||14:00|18:00|Lundi","Plein tarif|7,00|| # Tarif réduit|4,00||","Visite guidée uniquement sur rendez-vous # Visite libre","Français","Auditorium # Bar cafétéria salon de thé","Médiathèque"
"PCUAQU033FS00010","21/05/2015","Musée","CAPC Musée d'Art Contemporain","7 rue Ferrère
","","","","33000","BORDEAUX","33063","+33 5 56 00 81 50","","www.capc-bordeaux.fr"," -0.574081","44.847946","Oui","
","","","","Musée de France","01/01/2015|31/12/2015|11:00|||18:00|Lundi","Plein tarif|4,00|6,50| # Tarif réduit|2,00|3,50|","Visite guidée uniquement sur rendez-vous # Visite libre","Français","Auditorium # Salle de réunion équipée","Boutique"
