Date,Bordeaux,Libourne
03/06/2013 08:00:00, ,2.62
03/06/2013 07:00:00, ,3.06
03/06/2013 06:00:00, ,3.57
03/06/2013 05:00:00, ,4.15
03/06/2013 04:00:00, ,4.34
03/06/2013 03:00:00, ,3.79
03/06/2013 02:00:00, ,2.93
03/06/2013 01:00:00, ,1.81
03/06/2013 00:00:00, ,1.37
02/06/2013 23:00:00, ,1.56
02/06/2013 22:00:00, ,1.8
02/06/2013 21:00:00, ,2.06
02/06/2013 20:00:00, ,2.37
02/06/2013 19:00:00, ,2.73
02/06/2013 18:00:00, ,3.15
02/06/2013 17:00:00, ,3.6
02/06/2013 16:00:00, ,4.07
02/06/2013 15:00:00, ,4.01
02/06/2013 14:00:00, ,3.45
02/06/2013 13:00:00, ,2.57
02/06/2013 12:00:00, ,1.37
02/06/2013 11:00:00, ,1.54
02/06/2013 10:00:00, ,1.76
02/06/2013 09:00:00, ,2.02
02/06/2013 08:00:00, ,2.3
02/06/2013 07:00:00, ,2.65
02/06/2013 06:00:00, ,3.06
02/06/2013 05:00:00, ,3.53
02/06/2013 04:00:00, ,4.09
02/06/2013 03:00:00, ,4.5
02/06/2013 02:00:00, ,4.13
02/06/2013 01:00:00,4.62,3.33
02/06/2013 00:45:00,4.47, 
02/06/2013 00:30:00,4.31, 
02/06/2013 00:15:00,4.13, 
02/06/2013 00:00:00,3.93,2.26
01/06/2013 23:45:00,3.7, 
01/06/2013 23:30:00,3.43, 
01/06/2013 23:15:00,3.12, 
01/06/2013 23:00:00,2.76,1.51
01/06/2013 22:45:00,2.32, 
01/06/2013 22:30:00,1.81, 
01/06/2013 22:15:00,1.56, 
01/06/2013 22:00:00,1.56,1.7
01/06/2013 21:45:00,1.59, 
01/06/2013 21:30:00,1.66, 
01/06/2013 21:15:00,1.72, 
01/06/2013 21:00:00,1.77,1.93
01/06/2013 20:45:00,1.85, 
01/06/2013 20:30:00,1.92, 
01/06/2013 20:15:00,2, 
01/06/2013 20:00:00,2.08,2.18
01/06/2013 19:45:00,2.17, 
01/06/2013 19:30:00,2.25, 
01/06/2013 19:15:00,2.34, 
01/06/2013 19:00:00,2.45,2.48
01/06/2013 18:45:00,2.54, 
01/06/2013 18:30:00,2.66, 
01/06/2013 18:15:00,2.78, 
01/06/2013 18:00:00,2.89,2.86
01/06/2013 17:45:00,3.02, 
01/06/2013 17:30:00,3.14, 
01/06/2013 17:15:00,3.26, 
