"Liste conduite par","Liste","Voix","% Exprimés","Sensibilité"
"M. Louis ALIOT","(LFN)",9,"3,24","  Listes du Front national"
"M. Eddie PUYJALON ","(LDVD)",13,"4,68","  Listes divers droite"
"M. Dominique BAUDIS ","(LMAJ)",80,"28,78","  Listes de la majorité "
"M. Jean-Claude MARTINEZ ","(LEXD)",3,"1,08","  Listes d'extrême-droite"
"M. Henri TEMPLE ","(LDVD)",2,"0,72","  Listes divers droite"
"Mme Sandra TORREMOCHA ","(LEXG)",6,"2,16","  Listes d'extrême-gauche"
"Mme Ixabel ECHEVERRIA","(LREG)",0,0,"  Listes régionalistes "
"M. Kader ARIF ","(LSOC)",49,"17,63","  Listes du Parti socialiste"
"M. Alain TERRIEN ","(LAUT)",0,0,"  Autres listes "
"M. Yves GRAS ","(LEXG)",0,0,"  Listes d'extrême-gauche"
"M. Vincent JACOB ","(LAUT)",0,0,"  Autres listes "
"M. Pierre DULONG ","(LDVD)",0,0,"  Listes divers droite"
"M. David CARAYOL ","(LAUT)",0,0,"  Autres listes "
"M. Robert ROCHEFORT ","(LCMD)",30,"10,79","  Listes centre-MoDem"
"M. Jean TELLECHEA ","(LREG)",0,0,"  Listes régionalistes "
"Mme Douce DE FRANCLIEU ","(LDVD)",0,0,"  Listes divers droite"
"M. José BOVE ","(LVEC)",33,"11,87","  Listes des Verts"
"M. Robert RAICH ","(LDVG)",0,0,"  Listes divers gauche"
"M. Patrice DREVET ","(LAUT)",15,"5,4","  Autres listes "
"M. Raymond FAURA ","(LAUT)",2,"0,72","  Autres listes "
"M. Jean-Luc MELENCHON ","(LCOP)",16,"5,76","  Listes du PCF et du Parti de gauche"
"Mme Sylvie BARBE ","(LDVG)",0,0,"  Listes divers gauche"
"Mme Myriam MARTIN ","(LEXG)",20,"7,19","  Listes d'extrême-gauche"
"M. Jean-Jacques FANCHTEIN ","(LAUT)",0,0,"  Autres listes "
