Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
PCUAQU047V500RSF,03/01/2020,Site / monument,"""Le Christ en Croix"" de Rembrandt",,,Place de l'église,,47430,LE MAS-D'AGENAIS,47159,+33 5 53 89 50 37,,communedumasdagenais.47@wanadoo.fr,http://www.lemasdagenais.fr,0.21908283,44.4111141,Oui,"
Collégiale",,,,,01/01/2020|31/12/2020|||||,,Visite guidée uniquement sur rendez-vous # Visite libre,,,
PCUAQU033FS00039,09/01/2020,Site / monument,Abbatiale Notre-Dame de Guîtres,,,,,33230,GUITRES,33198,+33 5 57 51 15 04,,bienvenue@tourisme-libournais.com,http://www.tourisme-libournais.com, -0.1873898,45.0399611,Oui,"
Eglise",,,,,01/01/2020|31/12/2020|||||,Gratuit|||Visite libre,Visite guidée uniquement sur rendez-vous # Visite libre,Français,,
PCUAQU033V500MAZ,09/01/2020,Site / monument,Abbatiale Sainte Croix,,,Place Pierre Renaudel,,33000,BORDEAUX,33063,+33 5 56 94 30 50,,,, -0.5613068,44.8310616,Oui,"
Eglise",,,,,01/01/2020|31/12/2020|||||,,Visite libre,,,
PCUAQU024FS000K2,03/01/2020,Site / monument,Abbatiale Saint-Pierre de Brantôme,,Abbaye de Brantôme,Boulevard Charlemagne,,24310,BRANTOME EN PERIGORD,24064,+33 5 53 05 80 63,,abbaye@perigord-dronne-belle.fr,http://www.perigord-dronne-belle.fr,0.64726798,45.3646313,Oui,"
Abbaye # Eglise",,,,,,,Visite guidée uniquement sur rendez-vous # Visite libre,Anglais # Français,,
PCUAQU04001QBHRA,22/01/2020,Site / monument,Abbaye d'Arthous,,,785 route de l'Abbaye,,40300,HASTINGUES,40120,+33 5 58 73 03 89,,arthous@landes.fr,http://www.arthous.landes.fr, -1.1507901,43.5333888,Oui,"
Abbaye",,Classé et contrôlé par la DMF,,Musée de France # Qualité Tourisme,01/04/2020|30/11/2020|||||,"Plein tarif||4,50| # Tarif réduit||3,50| # Gratuit|||moins de 18 ans, 1er week-end de chaque mois, habitants Hastingues",Visite guidée uniquement sur rendez-vous # Visite libre,Français,,Boutique
PCUAQU064FS0006D,03/01/2020,Site / monument,Abbaye de Belloc,,,Route D 510,,64240,URT,64546,+33 5 59 29 65 55,,,http://www.belloceturt.org/, -1.2578513,43.5124209,,"
Abbaye",,,,,,Gratuit|||Visite,Visite libre,,Aire de pique-nique,
PCUAQU024FS0005P,13/01/2020,Site / monument,Abbaye de Boschaud,,,,Boschaud,24530,VILLARS,24582,+33 5 53 05 80 63,,contact@perigord-dronne-belle.fr,http://perigord-dronne-belle.fr,0.73219331,45.4225734,Oui,"
Abbaye",,,,Flow Vélo,,,Visite guidée uniquement sur rendez-vous # Visite libre,Français,,
PCUAQU024FS0005H,23/05/2018,Site / monument,Abbaye de Chancelade,,,,,24650,CHANCELADE,24102,,+33 6 46 78 94 37 # +33 6 68 41 13 99,abbaye-de-chancelade@bbox.fr,http://www.abbaye-de-chancelade.com,0.6641890,45.2041880,,"
Abbaye",,,,,,,Visite guidée uniquement sur rendez-vous # Visite libre,Anglais # Italien,,
PCUAQU033FS0007E,15/01/2020,Site / monument,Abbaye de La Réole - Prieuré des Bénédictins,,,Place Albert Rigoulet,Esplanade Charles de Gaulle,33190,LA REOLE,33352,+33 5 56 61 10 11,,,, -0.0416130,44.5816271,Oui,"
Abbaye # Cloître # Monastère",,,,,01/01/2020|31/12/2020|||||,,Visite guidée uniquement sur rendez-vous # Visite libre uniquement sur rendez-vous,,,
PCUAQU033FS000TK,10/01/2020,Site / monument,Abbaye de La Sauve-Majeure,,,14 rue de l'Abbaye,,33670,LA SAUVE,33505,+33 5 56 23 01 55,,abbaye.sauve-majeure@monuments-nationaux.fr,http://www.abbaye-la-sauve-majeure.fr, -0.3124208,44.7677927,Oui,"
Abbaye # Cloître # Monastère # Ruines et vestiges # Tour",,,,Accueil Vélo # Le Canal des 2 Mers à vélo # Le Tour de Gironde à vélo # Vignobles et découvertes,02/01/2020|31/05/2020||||| # 01/06/2020|30/09/2020||||| # 01/10/2020|31/12/2020|||||,"Tarif de groupe|5,00||par personne # Plein tarif|6,00||",Visite guidée uniquement sur rendez-vous # Visite libre,Français,Aire de pique-nique,Boutique
PCUAQU064FS0002H,03/01/2020,Site / monument,Abbaye de Lahonce,,,Avenue de l'Abbaye,,64990,LAHONCE,64304,+33 5 59 29 65 05 # +33 5 59 31 55 10,,labastideclairence@otpaysbasque.com,http://www.hasparren-tourisme.fr/A-faire-a-voir/Sites-et-musees-Artisans/abbaye-lahonce/2142, -1.2520261,43.4366393,Oui,"
Eglise",,,,,,Plein tarif|||Visite guidée plus de 14 ans # |||Visite guidée moins de 14 ans,Visite libre uniquement sur rendez-vous,Français,,
PCUAQU024FS0005M,03/01/2020,Site / monument,Abbaye de Saint Amand de Coly,,,,Le Bourg,24290,COLY-SAINT-AMAND,24364,+33 5 53 51 47 85,,mairie.saint.amand.coly@perigord.tm.fr,http://www.saint-amand-de-coly.com,1.24778911,45.0632949,Oui,"
Abbaye # Eglise",,,,,,Tarif de groupe|||Adultes # Gratuit|||Enfants # Gratuit|||Individuels,Visite guidée uniquement sur rendez-vous # Visite libre,Anglais # Français,Aire de pique-nique # Bar cafétéria salon de thé,Boutique # Espace jeux
PCUAQU033FS00025,17/01/2020,Site / monument,Abbaye de Saint-Ferme,,,Le bourg,,33580,SAINT-FERME,33400,+33 5 56 61 69 92 # +33 5 56 61 62 10,,abbayesaintferme@gmail.com # saint-ferme.mairie@wanadoo.fr,http://abbayesaintferme.jimdo.com/,0.05848687,44.6934266,Oui,"
Abbaye",,,,,01/01/2020|31/12/2020|||||,Tarif de groupe|||10 personnes et plus,Visite guidée uniquement sur rendez-vous # Visite libre uniquement sur rendez-vous,Anglais # Français,,
