Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
LOIAQU047V502O5B,21/01/2020,Parc aquatique,Aqua Fun' Park Clarens,,,,Lac de Clarens,47700,CASTELJALOUX,47052,+33 6 20 80 83 32,+33 6 20 80 83 32 # +33 7 57 42 95 04,contact@aquafunparkclarens.com,http://aquafunparkclarens.com,0.06874364,44.2902234,Oui,"
",,,,,27/06/2020|31/08/2020|||||,"Tarif de base|5,00|18,90|Session individuelle : adulte # Tarif réduit|5,00|17,90|Session famille (parent et enfant min. 3 pers.) ou groupe (min. 7 pers.)",,,,
LOIAQU024FS00040,28/01/2020,Parc à thèmes # Parc aquatique # Piscine,Aqua Park,,,Route de Bordeaux,,24100,SAINT-LAURENT-DES-VIGNES,24437,+33 5 53 58 33 00 # +33 5 53 27 25 40,+33 6 18 92 59 67 # +33 6 63 75 25 40,aquapark@live.fr,http://www.aquapark-dordogne.fr,0.44050455,44.8353303,Oui,"
",,,,,,Tarif de base|||+ de 5 ans # Tarif de base|||moins de 5 ans # Tarif de base|||tarif non baigneur (compris boisson ou glace),,Anglais # Français,Bar,Espace jeux
LOIAQU033V50QURW,03/01/2020,Parc aquatique,Aqua Speed,,,Île aux Enfants,,33990,HOURTIN,33203,,+33 6 84 59 15 25,staff@aqua-speed.fr,https://www.aqua-speed.fr, -1.0878125,45.1855625,Oui,"
",,,,,20/06/2020|30/09/2020|||14:00|19:00|Dimanche matin - Jeudi matin - Lundi matin - Mardi matin - Mercredi matin - Samedi matin - Vendredi matin,,,,,
LOIAQU047FS00008,06/01/2020,Piscine,Aqua Sud,,,Avenue d'Italie,,47000,AGEN,47001,+33 5 53 48 02 63,,piscine.aquasud@agglo-agen.fr,http://www.agglo-agen.fr,0.62313079,44.1866201,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|||Enfant de - de 4 ans  accompagné d’un adulte payant	 # Tarif réduit|3,40|3,40|Enfant de 4 à 8 ans # Tarif de base|4,50|4,50|Tarif adulte à partir de 16 ans # Tarif réduit|||Enfant de 8 à 16 ans (- de 16 ans), étudiants, handicapés  # Tarif réduit|2,90|2,90|De 12h à 14h et dernière heure (tous les jours sauf le mercredi - hors été)",,,Aire de pique-nique,
LOIAQU040FS000I3,03/01/2020,Piscine,Aquaclub - Piscine de Soustons,,Camping l'Airial,61 avenue de Port d'Albret,,40140,SOUSTONS,40310,+33 5 58 41 19 36,,,http://www.sejours-loisirs-landes.fr/fr/piscine-l-aquaclub.html, -1.3526594,43.7536828,Oui,"
",,,,,,,,,,
LOIAQU040V50NM6V,10/01/2020,Parc aquatique,Aquakids,,,426 Route de la plage Sud ,,40660,MESSANGES,40181,,+33 6 19 50 83 59,aquakids40@gmail.com,http://www.aquakids40.fr, -1.3961175,43.7972067,Oui,"
",,,,,20/06/2020|06/09/2020|||||,,,,,
LOIAQU047V50A5GD,21/01/2020,Parc à thèmes # Parc aquatique,Aqualand,,Château de Caudouin,,,47310,ROQUEFORT,47225,+33 5 53 96 58 32,,accueil@parcagen.fr,http://www.parcagen.fr,0.57609935,44.1869112,Oui,"
",,,,,,,,,Aire de pique-nique # Bar # Restauration,Boutique
LOIAQU033FS0002A,03/01/2020,Parc aquatique,Aqualand,,Parcs d'attractions de La Hume,145 route des Lacs,,33470,GUJAN-MESTRAS,33199,+33 5 56 66 39 39,,aqualand.gujanmestras@aqualand.fr,http://www.aqualand.fr, -1.1004781,44.6173248,Oui,"
",,,,,13/06/2020|06/09/2020|||||,"Tarif de base|28,00|28,00|Adulte # Tarif réduit|21,50|21,50|Enfant # Tarif réduit|10,50|10,50|",,,Aire de pique-nique # Bar # Restauration,Boutique
LOIAQU033FS0013Q,14/01/2020,Parc aquatique,Aqualiday,,Camping Airotel L'Océan,24 rue du repos,,33680,LACANAU,33214,+33 5 56 03 24 45,,contact@airotel-ocean.com,https://www.aqualiday.com, -1.19128,45.01001,Oui,"
",,,,,04/04/2020|26/06/2020|||13:30|18:30| # 27/06/2020|11/07/2020|10:00|12:00|12:00|20:00| # 22/08/2020|30/08/2020|10:00|12:00|12:00|20:00| # 31/08/2020|01/11/2020|||13:30|18:30|,"Tarif de base|8,50|11,50|Gratuit Enfant - 3 ans",,,Bar # Restauration # Salle(s) de réunion,Espace jeux # Wifi
LOIAQU04001WV9G4,03/01/2020,Parc aquatique,AquaPark ,,,18 chemin de Maguide,port Maguide,40600,BISCARROSSE,40046,+33 8 92 49 01 02,+33 6 12 34 01 63,contact@aquapark.fr,http://www.aquapark.fr, -1.2005996,44.4571106,Oui,"
",,,,,01/06/2020|30/09/2020|||||,,,,,Espace jeux
