Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
ASCAQU064V59TTC9,03/01/2020,Activité sportive,A bord du bâteau Degouzi,,,,Port,64500,SAINT-JEAN-DE-LUZ,64483,,+33 6 62 28 44 57,mintzabeti@hotmail.fr,, -1.6650707,43.3871661,Non,"
",Pêche en mer,,,,01/04/2020|31/10/2020|||||,,,,,
ASCAQU024V502DNN,03/01/2020,Activité culturelle # Activité sportive,A la découverte des gorges de l'Auvézère,,,,,24270,SAINT-MESMIN,24464,+33 5 53 52 29 79,,tourisme@naturellementperigord.fr,http://www.naturellementperigord.fr,1.20581500,45.352666,Oui,"Faune - flore # Géologie # Ornithologie
",Randonnée pédestre # Randonnée équestre # VTT # Canoé kayak # Pêche,,,,,,,,,
ASCAQU04001NS1T5,03/01/2020,Activité sportive,AAPPMA Grenade,Avenue de Villeneuve,Foyer Terra Granata,,,40270,GRENADE-SUR-L'ADOUR,40117,+33 5 58 45 45 98,,,, -0.4310530,43.7731060,,"
",Pêche,,,,,,,,,
ASCAQU04001QBHI0,03/01/2020,Activité sportive,AAPPMA PEYREHORADE,,,Mairie,,40300,PEYREHORADE,40224,,+33 6 71 10 99 50,aappma.peyrehorade@gmail.com,, -1.1119632,43.5486220,,"
",Pêche,,,,01/01/2020|31/12/2020|||||,,,,,
ASCAQU047V503RX1,03/01/2020,Activité culturelle # Activité sportive,Activités de plein air au Camping Saint-Louis,,,,Lac de Lamontjoie,47310,LAMONTJOIE,47133,+33 5 53 99 59 38,+33 6 41 46 11 36,contact@campingagen.fr,http://www.campingagen.fr # http://www.lacdepeche.jimdo.com,0.51731541,44.0776722,Oui,"Faune - flore
",Canoé kayak # Pêche # Tir à l’arc # Arts martiaux # Natation # Ping-pong # Randonnée pédestre # Volley ball # Badminton # Orientation # Pétanque # Football # Randonnée pédestre,,,Qualité Tourisme # Sourire du Lot-et-Garonne,15/05/2020|30/09/2020|08:30|12:00|15:00|19:00|,"Tarif de base|5,00|5,00|Kayak monoplace 1h # Tarif de base|8,00|8,00|Canoë 2 à 4 places 1h # Tarif de base|12,00|12,00|Pédalo 4 places 1h # Gratuit|||Volley # Tarif de base|2,00|2,00|Tir à l'arc # Gratuit|||Pétanque # Tarif de base|5,00|7,00|Kart à pédales 30 minutes # Tarif de base|10,00|10,00|Paddle 1h # Tarif de base|||Badminton # Gratuit|||Ping-Pong # Tarif de base|||Forfait famile (4 à 6 personnes)",,,Bar # Espace jeux # Restauration,Wifi
ASCAQU064FS000QN,03/01/2020,Activité sportive,Activités nautiques et de baignade ,,Base de Loisirs,Avenue Marcel Paul,,64300,ORTHEZ,64430,+33 5 59 60 55 06,,tourisme@cc-lacqorthez.fr,http://www.cc-lacqorthez.fr, -0.7594728,43.4742867,Oui,"
",Randonnée pédestre # Volley ball # Tennis # Ski nautique # Pêche # Tir à l’arc # Pétanque,,,,27/06/2020|31/08/2020|11:00|||19:00|,"Tarif de base|3,00||Espace baignade adulte # Tarif réduit|1,50||Espace baignade (enfant de 2 à 12 ans) # Tarif réduit|2,50||Groupes et étudiants",,,,
ASCAQU040FS001O3,14/01/2020,Activité sportive,Activités sur l'étang blanc  ,,Restaurant les Roseaux,4 Route Louis de Bourmont ,,40510,SEIGNOSSE,40296,+33 5 58 72 80 30,,restaurantlesroseaux@wanadoo.fr,http://www.restaurantlesroseaux.com, -1.3749069,43.7109805,Oui,"
",Canoé kayak # Pêche,,,,,,,,Bar # Espace jeux # Restauration,
LOIAQU064FS000D0,03/01/2020,Jeux pour enfants # Lac/Site de pêche,Aire de Jeux Lac Marion,,,Avenue du Lac Marion,,64200,BIARRITZ,64122,+33 5 59 41 59 41,,,, -1.5519690,43.4669209,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00|0,00|Gratuit",,,,Espace jeux
LOIAQU033FS00028,06/01/2020,Base de loisirs # Lac/Site de pêche,Aire de loisirs de Sainte-Terre,,,La Plage,,33350,SAINTE-TERRE,33485,+33 5 57 47 14 34 # +33 5 57 47 14 38,,,http://www.jardindelalamproie.fr, -0.1078891,44.8231863,Oui,"
",,,,,01/01/2020|31/12/2020|||||,,Visite libre,,Aire de pique-nique # Bar # Restauration,Espace jeux
LOIAQU064FS000J7,03/01/2020,Aire de pique-nique # Lac/Site de pêche,Aire de pique-nique,,,,Lac lou lacot,64170,ARTIX,64061,,,,, -0.56512,43.38287,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00||",,,Aire de pique-nique,
LOIAQU064FS000KG,03/01/2020,Aire de pique-nique # Lac/Site de pêche,Aire de pique-nique,,,Camin de Gaston le Crotzat,,64150,SAUVELADE,64512,,,,, -0.70607,43.39543,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00||",,,Aire de pique-nique,
LOIAQU064FS000K5,03/01/2020,Aire de pique-nique # Lac/Site de pêche,Aire de pique-nique,,,Chemin de journade,,64150,VIELLESEGURE,64556,,,,, -0.68672,43.34105,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00||",,,Aire de pique-nique,
LOIAQU040V50CAVD,03/01/2020,Aire de pique-nique # Lac/Site de pêche,Aire de pique-nique au bord du Luy,Place des arènes,,,,40330,AMOU,40002,+33 5 58 89 02 25,,,, -0.7485653,43.5917296,Oui,"
",,,,,,,,,Aire de pique-nique,
LOIAQU033V507OZV,15/01/2020,Aire de pique-nique # Lac/Site de pêche,Aire de pique-nique de l'Etang de Caumont,,,Départementale 21,,33540,CAUMONT,33112,+33 5 56 71 53 45,,sauveterre@entredeuxmers.com,, -0.0062772,44.6908213,Oui,"
",,,,,01/01/2020|31/12/2020|||||,Gratuit|||,,,Aire de pique-nique,
LOIAQU033FS000TI,15/01/2020,Aire de pique-nique # Lac/Site de pêche,Aire de pique-nique du Domaine Volny Favory,,,,,33540,BLASIMON,33057,+33 5 56 71 59 62 # +33 5 56 99 33 33,,,, -0.0865173,44.7539259,Oui,"
",,,,,01/01/2020|31/12/2020|||||,Gratuit|||,,,Aire de pique-nique,Espace jeux
