Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
LOIAQU064V50DZ5J,03/01/2020,Jeux pour enfants # Parc à thèmes,Acrojungle,,,Rue des Eaux-Bonnes,BP 102,64121,SERRES-CASTET,64519,+33 5 59 21 84 06 # +33 7 86 24 19 46,,acrojungle64@gmail.com,http://www.acrojungle.fr, -0.3838246,43.3595401,,"
",,,,,,Tarif de base|||de 1 à 3 ans # Tarif de base|||à partir de 4 ans et selon la durée,,,Aire de pique-nique # Bar # Restauration,Espace jeux # Halte garderie # Wifi
LOIAQU064V54JDBM,03/01/2020,Mini-golf,Adventure Golf,,Karting d'Espoey,Route de Luquet,,64420,ESPOEY,64216,+33 5 59 04 69 51,,jbc.karting@wanadoo.fr,http://www.karting-espoey.com, -0.1376092,43.2550053,Oui,"
",,,,Qualité Tourisme,,Tarif de base|||enfant moins de 5 ans # Tarif de base|||enfant de 5 à 10 ans # Tarif de base|||Plus de 10 ans,,,Aire de pique-nique # Bar # Salle(s) de réunion,
LOIAQU064V5AE5RO,03/01/2020,Jeux pour enfants,Agorespace,,,Elizakopartia,,64250,ESPELETTE,64213,,,,, -1.4047532,43.3284135,Oui,"
",,,,,,,,,,
LOIAQU040V50HZET,31/12/2018,Jeux pour enfants,Aire de jeux,,,,,40480,VIEUX-BOUCAU,40328,,,,, -1.4016920,43.7870910,Oui,"
",,,,,,,,,,
LOIAQU040FS0004E,03/01/2020,Jeux pour enfants,Aire de Jeux ,,,,,40200,PONTENX LES FORGES,40229,,,,, -1.2976849,44.2136253,Oui,"
",,,,,,,,,,
LOIAQU064V5AE5N0,03/01/2020,Jeux pour enfants,Aire de jeux,,,,Quartier Inthalatz,64480,LARRESSORE,64317,+33 5 59 93 03 07,,mairie@larressore.fr,, -1.4393316,43.3744391,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00|0,00|",Visite libre,,,Espace jeux
LOIAQU033V50LD08,03/01/2020,Jeux pour enfants,Aire de jeux ,,,23 rue de la Carreyre,,33114,LE BARP,33029,+33 5 57 71 90 90,,,, -0.769632,44.608384,Oui,"
",,,,,,,,,,
LOIAQU064V5ACY0D,03/01/2020,Jeux pour enfants,Aire de jeux,,,A côté de la caserne des pompiers,,64240,URT,64546,+33 5 59 56 20 33,,,, -1.6454775,48.1124605,Non,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00|0,00|",,,,
LOIAQU064V5ACY0W,03/01/2020,Jeux pour enfants,Aire de jeux,,,A côté du restaurant Jouantho,,64240,BRISCOUS,64147,+33 5 59 31 70 90,,,, -1.3337230,43.4604710,Non,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00|0,00|",,,,
LOIAQU064V5ACY1L,03/01/2020,Jeux pour enfants,Aire de jeux,,,A la base de loisirs du Baigura ,,64240,MENDIONDE,64377,+33 5 59 29 62 53,,,, -1.2826818,43.3102744,Non,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00|0,00|",,,,
