Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
LOIAQU064V54J3IB,10/01/2020,Salle à louer # Vivarium - aquarium,Aquarium de Biarritz,,,Esplanade du Rocher de la Vierge,,64200,BIARRITZ,64122,+33 5 59 22 75 40,,,https://www.aquariumbiarritz.com/fr/, -1.5678527,43.4835099,Oui,"
",,,,Qualité Tourisme,01/01/2020|31/12/2020|||||,"Tarif de base|||Adulte # Tarif réduit|||Etudiant, ado de 13 à 17 ans, personne handicapée, demandeur d'emploi # Tarif réduit|||Enfant 4 à 12 ans # Gratuit|||Enfant moins de 4 ans # Tarif de base|15,00|15,00|Adulte # Tarif réduit|13,00|13,00|Etudiant, ado de 13 à 17 ans, personne handicapée, demandeur d'emploi # Tarif réduit|11,00|11,00|Enfant 4 à 12 ans # Gratuit|0,00|0,00|Enfant moins de 4 ans",Visite guidée uniquement sur rendez-vous # Visite libre,Anglais # Basque # Espagnol # Français,Aire de pique-nique # Bar # Restauration,Boutique # Wifi
LOIAQU047FS000CJ,21/01/2020,Salle à louer # Zoo - parc animalier,Happy Forest,,,,Fourtis,47480,PONT-DU-CASSE,47209,+33 5 53 47 25 44,,contact@happyforest.fr,http://www.happyforest.fr,0.69260765,44.2231220,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Tarif de base|50,00|117,00|Tarif 1/2 journée # Tarif de base|100,00|234,00|Tarif journée # Tarif de base|71,00|181,50|Tarif 1/2 journée avec café d'accueil # Tarif de base|142,00|363,00|Tarif journée avec café d'accueil",,,Accessible en poussette # Aire de pique-nique # Parking autocar # Restauration # Salle de projection # Salle(s) de réunion,Boutique # Espace jeux
LOIAQU033FS0002J,08/01/2020,Jeux pour enfants # Parc à thèmes # Zoo - parc animalier,La Coccinelle,,Parcs d'attractions de La Hume,Route des Lacs,,33470,GUJAN-MESTRAS,33199,+33 5 56 66 30 41,+33 6 12 43 20 23,contact@la-coccinelle.fr,http://www.la-coccinelle.fr, -1.1050915,44.6214295,Oui,"
",,,,,11/04/2020|01/11/2020|||||,"Tarif de base|13,00|13,00|De 2 à 11 ans inclus # Tarif de base|14,00|14,00|12 ans et +",,,Aire de pique-nique # Bar,Boutique # Espace jeux
LOIAQU064FS000EG,03/01/2020,Zoo - parc animalier,La Forêt des Lapins,,,Chemin Arrokagaray,,64250,ITXASSOU,64279,+33 5 59 93 30 09,,olivierlaforetdeslapins@hotmail.fr,http://www.laforetdeslapins.net, -1.3666391,43.3149367,Oui,"
",,,,,02/01/2020|31/12/2020|||||,"Tarif de base|7,00|7,00|Adulte # Tarif réduit|4,00|4,00|Enfants de 5 à 10 ans # Tarif réduit|5,00|5,00|Groupe à partir de 8 personnes # Tarif réduit|1,00|1,00|Enfant de 2 à 4 ans",Visite libre,Anglais # Espagnol # Français,Aire de pique-nique # Bar # Restauration,Boutique
LOIAQU040V50COZS,03/01/2020,Ferme de découverte # Zoo - parc animalier,La main à la patte,,,161 chemin de Mounicot,,40250,MUGRON,40201,,+33 6 84 59 90 45,lamainalapatte@hotmail.com,http://www.mediationanimaleattelage.fr, -0.7358501,43.7457974,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Tarif de base|15,00|15,00|pour les enfants uniquement",Visite guidée uniquement sur rendez-vous,Français,,
LOIAQU064FS0001T,21/01/2020,Ferme de découverte # Jeux pour enfants # Lac/Site de pêche # Zoo - parc animalier,La Pêcherie d’Aurit et l'arche d'Olivier,,,150 chemin labataille,,64370,HAGETAUBIN,64254,+33 5 59 67 51 62,+33 6 72 66 62 01,olivier.broca@orange.fr,http://www.lapecheriedaurit.fr, -0.6071662,43.5111486,Oui,"
",,,,Bienvenue à la ferme,01/03/2020|17/04/2020||||| # 18/04/2020|04/05/2020|10:00|||18:00| # 05/05/2020|03/07/2020|||||Jeudi - Lundi - Mardi - Vendredi # 04/07/2020|01/09/2020|10:00|||19:00| # 02/09/2020|16/10/2020|||||Lundi - Mardi # 17/10/2020|02/11/2020|10:00|||18:00| # 03/11/2020|30/11/2020|||||Jeudi - Lundi - Mardi - Vendredi,"Tarif de base|6,00|| # Tarif réduit|2,50||",Visite libre,Français,Aire de pique-nique # Bar,Espace jeux
LOIAQU033FS0010T,03/01/2020,Vivarium - aquarium,Musée aquarium d'Arcachon,,,2 rue du Professeur Jolyet ,,33120,ARCACHON,33009,+33 5 56 54 89 28,,aquarium.arcachon@orange.fr,http://www.arcachon.com/l_aquarium.html, -1.1638173,44.6627065,Oui,"
",,,,,15/02/2020|01/11/2020|||||,Tarif de base|||Adulte # Tarif réduit|||A partir de 15 personnes # Tarif de groupe|||Pour les groupes scolaires # Tarif de base|||Enfants de 4 à 12 ans # Tarif de base|||Demandeurs d'emploi # Tarif de base|||Carte d'invalidité,Visite libre,Français,,
LOIAQU047V505RZQ,31/01/2020,Ferme de découverte # Zoo - parc animalier,Parc du Griffon,,,,lieu-dit Griffon,47120,CAUBON-SAINT-SAUVEUR,47059,+33 5 53 20 23 81,+33 6 61 56 71 70,,http://www.parcdugriffon.fr,0.18159600,44.588837,Oui,"
",,,,Sourire du Lot-et-Garonne,22/02/2020|08/03/2020|11:00|||18:00| # 09/03/2020|17/04/2020|||||Jeudi - Lundi - Mardi - Vendredi # 18/04/2020|03/05/2020|11:00|||18:00| # 04/05/2020|30/06/2020|||||Jeudi - Lundi - Mardi - Vendredi # 01/07/2020|31/08/2020|10:00|||19:00| # 01/09/2020|16/10/2020|11:00|||18:00|Jeudi - Lundi - Mardi - Vendredi # 17/10/2020|01/11/2020|11:00|||18:00|,"Tarif de base|9,00|9,00|entrée adulte (+ de 14 ans) # Tarif réduit|7,00|7,00|entrée enfant de 2 à 14 ans # Gratuit|||Moins de 2 ans # Tarif de base|25,00|30,00|Pass annuel adulte ou enfant de 2 à 14 ans",,Français,Aire de pique-nique # Bar # Restauration,Boutique # Espace jeux
LOIAQU064FS0001Q,03/01/2020,Zoo - parc animalier,Parc'Ours,,,,,64490,BORCE,64136,+33 5 59 34 89 33,+33 6 01 73 46 09,contact@parc-ours.fr,http://www.parc-ours.fr, -0.5755805,42.9048909,Oui,"
",,,,,01/01/2020|31/01/2020||||| # 01/02/2020|06/02/2020||||| # 07/02/2020|08/03/2020|10:00|||18:00| # 09/03/2020|03/04/2020||||| # 04/04/2020|03/05/2020|10:00|||18:00| # 04/05/2020|31/08/2020|10:00|||19:00| # 01/09/2020|31/10/2020|10:00|||18:00|Dimanche - Samedi # 01/11/2020|01/11/2020||||| # 02/11/2020|18/12/2020||||| # 19/12/2020|31/12/2020|10:00|||17:30|,"Tarif de base|11,00|11,00|Tarif adulte # Tarif réduit|8,00|8,00|Tarif enfant de 4 à 12 ans # Tarif réduit|10,00|10,00|Chômeurs, étudiants, retraités et jeunes de 12 à 18 ans # Tarif de groupe|10,00|10,00|Tarif Groupe Adultes (à partir de 15 pers) # Tarif de groupe|7,00|7,00|Tarif Groupe Enfants (à partir de 15 pers.) # Gratuit|0,00|0,00|Enfant de - de 4 ans",Visite guidée uniquement sur rendez-vous # Visite libre,Anglais # Espagnol # Français,Aire de pique-nique # Restauration,Boutique # Espace jeux
LOIAQU047FS0003L,21/01/2020,Parc à thèmes # Zoo - parc animalier,Z'animoland,,,Route des Grottes de Fontirou,Sarlat,47340,MONBALEN,47171,+33 5 53 41 24 07,+33 6 32 92 99 13,mauretteisabelle@orange.fr,http://www.z-animoland.com,0.7271830,44.3063000,,"
",,,,Sourire du Lot-et-Garonne,,Gratuit|||enfant de moins de 2 ans,Visite libre,Français,Aire de pique-nique # Restauration,Espace jeux
