"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01004","2019","00100419A1018","32","2",,"SCCV AMBERIEU","84834550000013","32","Alle","de la Pepiniere",,,"80480","DURY",,"100","44","Avenu","Jules Pellaudin",,,"01 50","AMBERIEU-EN-BUGEY",,"0336BP","0337BP","1027BP",2,2726,,,,0,5,14,11,5,0,0,0,35,35,,"1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,2619,0,0,0,"14",2019-12-31,"2019-12-23",
"84","01","01014","2019","00101419H0018","80","2",,,,,,"24 QUAI DU MERDANCON",,,"01100","ARBENT",,"100",,,"24 QUAI DU MERDANCON- LE V",,,"01100","ARBENT",,"0057AB","0317AB",,2,458,,,,0,0,0,0,0,0,0,0,0,0,,"2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,120,0,64,0,0,"10",2019-12-31,"2019-12-23",
"84","01","01014","2019","00101419H0021","10","2",,,,,,"5 PLACE DES ARCADES",,,"01100","BELLIGNAT",,"100",,,"LOT N_ 33 - Lotissement L",,,"01100","ARBENT",,"0463AH",,,2,500,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,124,0,0,0,"5",2019-12-31,"2019-12-13",
"84","01","01014","2019","00101419H0023","90","2",,,,,,"9 C RUE DES ECHALLYS",,,"01100","ARBENT",,"100",,,"lOT N_ 36 LE PARC MOTIER",,,"01100","ARBENT",,"0460AH",,,1,500,,,,0,0,0,0,1,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,144,0,0,0,"5",2019-12-31,,
"84","01","01022","2019","00102219C0002","90","2",,,,,,"7 rue du Platre",,,"01510","ARTEMARE",,"100",,,"EN NOVEL",,,"01350","ARTEMARE",,"18860B",,,1,2408,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,122,0,0,0,"4",2019-12-31,,
"84","01","01024","2019","00102419D0037","10","2",,,,,"Alle","du Quartier Jayr",,,"01440","VIRIAT",,"100",,,"Le clos de Charriat","Vacagnole",,"01340","ATTIGNAT",,"0018AL","0019AL",,2,6116,,,,0,0,0,1,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,104,0,0,0,"5",2019-12-31,"2019-11-28",
"84","01","01025","2019","00102519D0033","90","2","SCI","LES MAELLYSSES","53410705700018","747","ROUTE","DE MONTGRIMOUX",,,"01380","BAGE-DOMMARTIN",,"100","747",,"ROUTE DE MONTGRIMOUX",,,"01380","BAGE DOMMARTIN",,"11160A","11150A",,1,6220,,,,0,0,0,0,0,0,0,1,0,1,,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,163,46,0,0,0,"7",2019-12-31,,
"84","01","01031","2019","00103119H0009","90","2",,,,,,"130 Route de Geilles",,,"01100","OYONNAX",,"100",,,"4 RUE DU CENTRE",,,"01100","BELLIGNAT",,"0433AA",,,1,203,,,,0,0,0,1,0,0,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,81,0,0,0,"5",2019-12-31,,
"84","01","01032","2019","0010321900013","90","2",,,,"46","rue","Marino Simonetti",,,"69150","DECINES",,"100",,"chemi","du Bois Carre","lot A",,"01360","BELIGNEUX",,"19260C",,,1,738,,,,0,0,0,0,1,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,140,0,0,0,"5",2019-12-31,,
"84","01","01032","2019","0010321900016","90","2",,"TECHNI BATI","419675277","2815","route","du Dauphine",,,"01360","BELIGNEUX",,"100","342",,"Route de Lyon","lot A",,"01360","BELIGNEUX",,"28940C",,,1,554,,,,0,0,0,0,0,1,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,163,0,0,0,"5",2019-12-31,,
"84","01","01032","2019","0010321900017","90","2",,,,"31","che","DES BRUYERES",,,"01360","BELIGNEUX",,"100","2406",,"ROUTE DU DAUPHINE",,,"01360","BELIGNEUX",,"06870B",,,1,0,,,,0,0,0,0,1,0,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,145,0,0,0,"5",2019-12-31,,
"84","01","01034","2019","00103419C0040","10","2",,,,,,"148 Chemin de la Rodette",,,"01300","BELLEY",,"100",,,"MOLLARD VIEUX",,,"01300","BELLEY",,"0324BI",,,2,768,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,144,0,0,0,"5",2019-12-31,"2019-12-18",
"84","01","01034","2019","00103419C0044","90","2",,,,,,"106 Avenue du 8 mai 1945",,,"01300","BELLEY",,"100",,,"lOTISSEMENT LES COTEAUX DE",,,"01300","BELLEY",,"0389BI","0376BI","0375BI",1,0,,,,0,0,0,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,109,0,0,0,"5",2019-12-31,,
"84","01","01034","2019","00103419C0045","90","2",,,,,,"6 le Cement de Brens",,,"01300","BRENS",,"100",,,"A MEUILLENS",,,"01300","BELLEY",,"14300D",,,1,1500,,,,0,0,0,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,104,0,0,0,"5",2019-12-31,,
"84","01","01034","2019","00103419C0046","90","2",,,,,,"96 Chemin du Biollay",,,"73100","BRISON SAINT INNOCENT",,"100",,,"Allee de la Source",,,"01300","BELLEY",,"0038AX","0037AX",,1,6701,,,,0,0,0,0,0,0,0,0,33,33,,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,2700,0,0,0,"7",2019-12-31,,
"84","01","01034","2019","00103419C0048","90","2",,,,,,"123 RUE DU cHATEAU",,,"92100","BOULOGNE BILLANCOURT",,"100",,,"RUE JULES FERRY",,,"01300","BELLEY",,"0529AK","0531AK",,1,1295,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1686,0,0,0,"14",2019-12-31,,
"84","01","01036","2019","00103619C0011","10","2",,,,"247","CHEMI","DE L'ADOUE","CHONGNES - VIEU",,"01260","VALROMEY SUR SERAN",,"100","89","CHEMI","DE L'ADOUE","CHONGNES - VIEU",,"01260","VALROMEY SUR SERAN",,"02410A","02420A","02430A",2,5285,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,110,0,0,0,"5",2019-12-31,"2019-12-12",
"84","01","01042","2019","00104219D0003","10","2",,,,"218","Chemi","des Vignes",,,"01290","CORMORANCHE SUR SAONE",,"100","99",,"Rouette des Terres Bleues",,,"01290","BEY",,"06100B","06050B",,2,0,,,,0,0,0,1,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,139,0,0,0,"5",2019-12-31,"2019-12-17",
"84","01","01043","2019","00104319A0041","20","2","OPH DE L'AIN","DYNACITE","77930647100037","390","BOULE","DU 08 MAI 1945",,,"01013","BOURG EN BRESSE",,"100","799",,"ROUTE DE GENEVE",,,"01700","BEYNOST",,"0829AK","0137AK","0402AK",2,3729,,,,0,6,14,8,0,0,0,6,22,28,,"1",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,2216,0,0,0,"7",2019-12-31,"2019-12-03",
"84","01","01043","2019","00104319A0063","90","2","SAS","SAS EUROPEAN HOMES CENTRE","47932256200014","10-11","RUE","VENDOME",,,"75001","PARIS",,"100",,,"CHATEAU DU SOLEIL / CHEMIN",,,"01700","BEYNOST",,"0176AM","1054AM",,1,19419,,,,0,0,20,25,17,0,0,34,28,62,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,5900,0,0,0,"7",2019-12-31,,
"84","01","01043","2019","00104319A0069","90","2","SAS","SAS KODIAK INVESTISSEMENTS","50097837400063","63","AVENU","ROGER SALENGRO",,,"69100","VILLEURBANNE",,"100","936","RUE","DU VIVIER","LIEU DIT LA BATONNE",,"01700","BEYNOST",,"0153AE","0154AE",,1,634,,,,0,0,0,2,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,184,0,0,0,"5",2019-12-31,,
