Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;2 761 450,00;2 721 483,63
F;D;012;75 824,00;65 791,96
F;D;014;13 800,00;8 705,00
F;D;042;58 140,00;58 140,00
F;D;65;237,00;0,00
F;D;66;12 500,00;12 400,67
F;D;67;250,00;180,94
F;R;002;717 412,71;717 412,71
F;R;73;1 700 000,00;1 881 312,04
F;R;74;1 015 000,00;1 012 648,71
F;R;75;4 000,00;11 803,04
F;R;77;0,00;10 795,73
I;D;16;30 000,00;30 000,00
I;D;20;1 300,00;0,00
I;D;21;351 705,00;12 704,90
I;R;001;582 805,66;582 805,66
I;R;040;58 140,00;58 140,00
I;R;10;0,00;3 281,00
I;R;13;150 000,00;0,00
