CDL-Branch Code,CDL-Libelle long Bib
ABBA,Bibliothèque Abbaye les Bains
ALLI,Bibliothèque Alliance
ARLE,Bibliothèque Arlequin
BCSI,Bibliothèque municipale internationale
BMEI,Bibliothèque d'Etude et du Patrimoine
BPLC,Bibliothèque des Relais lecture
CEVI,Bibliothèque Centre Ville
CNRG,Bibliothèque du Conservatoire
CRMM,Bibliothèque de la Maison de la Montagne
ECAR,Bibliothèque de l'Ecole supérieure d'art
ECLA,Bibliothèque des Eaux Claires
FCOM,Bibliothèque du Fonds commun
GRPL,Bibliothèque Kateb Yacine (Grand Place)
JVEN,Bibliothèque du Jardin de Ville
PREM,Bibliothèque Prémol
SBRU,Bibliothèque Saint Bruno
TEIS,Bibliothèque Teisseire-Malherbe
