Code du département,Libellé du département,Code de la commune,Libellé de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp
33,Gironde,1,Abzac,1471,401,"27,26",1070,"72,74",91,"6,19","8,5",35,"2,38","3,27",944,"64,17","88,22",M,MACRON,Emmanuel,475,"32,29","50,32",F,LE PEN,Marine,469,"31,88","49,68"
33,Gironde,2,Aillas,598,117,"19,57",481,"80,43",54,"9,03","11,23",11,"1,84","2,29",416,"69,57","86,49",M,MACRON,Emmanuel,282,"47,16","67,79",F,LE PEN,Marine,134,"22,41","32,21"
33,Gironde,3,Ambarès-et-Lagrave,9965,2529,"25,38",7436,"74,62",697,"6,99","9,37",245,"2,46","3,29",6494,"65,17","87,33",M,MACRON,Emmanuel,3909,"39,23","60,19",F,LE PEN,Marine,2585,"25,94","39,81"
33,Gironde,4,Ambès,2210,656,"29,68",1554,"70,32",192,"8,69","12,36",62,"2,81","3,99",1300,"58,82","83,66",M,MACRON,Emmanuel,692,"31,31","53,23",F,LE PEN,Marine,608,"27,51","46,77"
33,Gironde,5,Andernos-les-Bains,10677,2169,"20,31",8508,"79,69",848,"7,94","9,97",200,"1,87","2,35",7460,"69,87","87,68",M,MACRON,Emmanuel,5574,"52,21","74,72",F,LE PEN,Marine,1886,"17,66","25,28"
33,Gironde,6,Anglade,671,122,"18,18",549,"81,82",45,"6,71","8,2",32,"4,77","5,83",472,"70,34","85,97",M,MACRON,Emmanuel,214,"31,89","45,34",F,LE PEN,Marine,258,"38,45","54,66"
33,Gironde,7,Arbanats,827,135,"16,32",692,"83,68",62,"7,5","8,96",26,"3,14","3,76",604,"73,04","87,28",M,MACRON,Emmanuel,379,"45,83","62,75",F,LE PEN,Marine,225,"27,21","37,25"
33,Gironde,8,Arbis,202,38,"18,81",164,"81,19",2,"0,99","1,22",10,"4,95","6,1",152,"75,25","92,68",M,MACRON,Emmanuel,106,"52,48","69,74",F,LE PEN,Marine,46,"22,77","30,26"
33,Gironde,9,Arcachon,10720,2785,"25,98",7935,"74,02",804,"7,5","10,13",224,"2,09","2,82",6907,"64,43","87,04",M,MACRON,Emmanuel,5168,"48,21","74,82",F,LE PEN,Marine,1739,"16,22","25,18"
33,Gironde,10,Arcins,316,52,"16,46",264,"83,54",29,"9,18","10,98",10,"3,16","3,79",225,"71,2","85,23",M,MACRON,Emmanuel,122,"38,61","54,22",F,LE PEN,Marine,103,"32,59","45,78"
33,Gironde,11,Arès,5351,1194,"22,31",4157,"77,69",410,"7,66","9,86",120,"2,24","2,89",3627,"67,78","87,25",M,MACRON,Emmanuel,2418,"45,19","66,67",F,LE PEN,Marine,1209,"22,59","33,33"
33,Gironde,12,Arsac,2816,568,"20,17",2248,"79,83",216,"7,67","9,61",86,"3,05","3,83",1946,"69,11","86,57",M,MACRON,Emmanuel,1325,"47,05","68,09",F,LE PEN,Marine,621,"22,05","31,91"
