Departement,Population,Recettes-totales,Recettes-totales/hab,Recettes-investissement,Recettes-investissement/hab,Part-recettes-investissement-total-recettes
Ain,614331,583 000 115 €,949 €,75 248 799 €,122 €,"12,91 %"
Aisne,555094,598 026 648 €,1 077 €,71 606 152 €,129 €,"11,97 %"
Allier,353124,438 461 925 €,1 242 €,66 676 788 €,189 €,"15,21 %"
Alpes-de-Haute-Provence,165155,233 002 150 €,1 411 €,32 328 442 €,196 €,"13,87 %"
Hautes-Alpes,142312,191 730 190 €,1 347 €,24 054 076 €,169 €,"12,55 %"
Alpes-Maritimes,1094579,1 230 574 442 €,1 124 €,123 848 733 €,113 €,"10,06 %"
Ardèche,324885,390 989 704 €,1 203 €,46 298 479 €,143 €,"11,84 %"
Ardennes,291678,358 757 365 €,1 230 €,49 589 036 €,170 €,"13,82 %"
Ariège,157582,195 518 893 €,1 241 €,7 507 618 €,48 €,"3,84 %"
Aube,311720,317 438 800 €,1 018 €,16 316 975 €,52 €,"5,14 %"
Aude,365854,485 360 407 €,1 327 €,32 414 965 €,89 €,"6,68 %"
Aveyron,288364,367 375 016 €,1 274 €,36 715 606 €,127 €,"9,99 %"
Bouches-du-Rhône,2000550,2 425 790 463 €,1 213 €,184 401 111 €,92 €,"7,60 %"
Calvados,699561,709 300 017 €,1 014 €,73 669 830 €,105 €,"10,39 %"
Cantal,154135,213 882 958 €,1 388 €,21 102 492 €,137 €,"9,87 %"
Charente,364429,418 170 901 €,1 147 €,25 325 497 €,69 €,"6,06 %"
Charente-Maritime,640803,717 888 533 €,1 120 €,65 291 509 €,102 €,"9,09 %"
Cher,319600,372 950 162 €,1 167 €,33 190 102 €,104 €,"8,90 %"
Corrèze,252235,326 603 203 €,1 295 €,33 533 446 €,133 €,"10,27 %"
Corse-du-Sud,145998,245 129 223 €,1 679 €,24 642 233 €,169 €,"10,05 %"
Haute-Corse,168869,240 088 720 €,1 422 €,22 361 078 €,132 €,"9,31 %"
Côte-d'Or,538505,549 195 338 €,1 020 €,27 732 252 €,51 €,"5,05 %"
Côtes-d'Armor,612383,592 504 554 €,968 €,42 460 555 €,69 €,"7,17 %"
Creuse,127919,187 381 863 €,1 465 €,21 578 213 €,169 €,"11,52 %"
Dordogne,426607,496 444 362 €,1 164 €,66 072 612 €,155 €,"13,31 %"
Doubs,542509,535 155 577 €,986 €,42 819 431 €,79 €,"8,00 %"
Drôme,499313,591 404 554 €,1 184 €,41 825 383 €,84 €,"7,07 %"
Eure,603194,555 679 651 €,921 €,46 106 935 €,76 €,"8,30 %"
Eure-et-Loir,440291,442 493 055 €,1 005 €,35 253 174 €,80 €,"7,97 %"
Finistère,929286,839 578 329 €,903 €,42 241 253 €,45 €,"5,03 %"
Gard,726285,914 412 182 €,1 259 €,109 817 485 €,151 €,"12,01 %"
Haute-Garonne,1268370,1 512 567 199 €,1 193 €,132 860 354 €,105 €,"8,78 %"
Gers,195489,262 580 714 €,1 343 €,25 829 252 €,132 €,"9,84 %"
Gironde,1479277,1 491 903 702 €,1 009 €,139 508 880 €,94 €,"9,35 %"
Hérault,1062617,1 346 414 406 €,1 267 €,174 097 217 €,164 €,"12,93 %"
Ille-et-Vilaine,1015470,901 724 206 €,888 €,46 327 879 €,46 €,"5,14 %"
Indre,238261,238 326 531 €,1 000 €,18 561 455 €,78 €,"7,79 %"
Indre-et-Loire,605819,560 581 134 €,925 €,50 041 745 €,83 €,"8,93 %"
Isère,1233759,1 422 104 032 €,1 153 €,157 311 258 €,128 €,"11,06 %"
Jura,271973,322 624 675 €,1 186 €,48 117 869 €,177 €,"14,91 %"
Landes,397766,432 214 630 €,1 087 €,40 811 845 €,103 €,"9,44 %"
Loir-et-Cher,340729,359 311 643 €,1 055 €,43 993 518 €,129 €,"12,24 %"
Loire,766729,751 876 884 €,981 €,49 123 900 €,64 €,"6,53 %"
Haute-Loire,231877,246 983 835 €,1 065 €,18 579 576 €,80 €,"7,52 %"
Loire-Atlantique,1317685,1 214 954 909 €,922 €,115 505 693 €,88 €,"9,51 %"
Loiret,674913,625 858 273 €,927 €,65 748 160 €,97 €,"10,51 %"
Lot,181232,227 729 303 €,1 257 €,25 035 586 €,138 €,"10,99 %"
Lot-et-Garonne,342500,380 677 848 €,1 111 €,37 331 561 €,109 €,"9,81 %"
Lozère,81281,146 255 025 €,1 799 €,34 926 305 €,430 €,"23,88 %"
Maine-et-Loire,808298,678 904 798 €,840 €,54 152 776 €,67 €,"7,98 %"
Manche,517121,498 548 507 €,964 €,31 292 246 €,61 €,"6,28 %"
Marne,579533,461 161 603 €,796 €,31 406 557 €,54 €,"6,81 %"
Haute-Marne,191004,234 064 104 €,1 225 €,42 355 799 €,222 €,"18,10 %"
Mayenne,317006,305 337 547 €,963 €,21 361 234 €,67 €,"7,00 %"
Meurthe-et-Moselle,746502,729 017 261 €,977 €,35 281 104 €,47 €,"4,84 %"
Meuse,200509,223 353 546 €,1 114 €,10 853 002 €,54 €,"4,86 %"
Morbihan,744663,694 509 977 €,933 €,49 742 248 €,67 €,"7,16 %"
Moselle,1066667,956 996 908 €,897 €,139 775 286 €,131 €,"14,61 %"
Nièvre,226997,302 570 330 €,1 333 €,30 568 906 €,135 €,"10,10 %"
Nord,2617939,2 930 950 445 €,1 120 €,278 931 038 €,107 €,"9,52 %"
Oise,823668,844 571 301 €,1 025 €,97 174 006 €,118 €,"11,51 %"
Orne,301421,347 525 527 €,1 153 €,41 182 428 €,137 €,"11,85 %"
Pas-de-Calais,1489209,1 573 039 548 €,1 056 €,123 068 277 €,83 €,"7,82 %"
Puy-de-Dôme,649643,676 268 802 €,1 041 €,71 943 674 €,111 €,"10,64 %"
Pyrénées-Atlantiques,674908,758 522 610 €,1 124 €,105 292 131 €,156 €,"13,88 %"
Hautes-Pyrénées,237945,331 751 929 €,1 394 €,23 746 668 €,100 €,"7,16 %"
Pyrénées-Orientales,457238,566 312 120 €,1 239 €,38 251 654 €,84 €,"6,75 %"
Bas-Rhin,1115226,1 089 428 736 €,977 €,139 020 157 €,125 €,"12,76 %"
Haut-Rhin,765634,747 554 358 €,976 €,98 286 362 €,128 €,"13,15 %"
Rhône,1756069,1 772 807 216 €,1 010 €,137 561 027 €,78 €,"7,76 %"
Haute-Saône,247311,245 174 016 €,991 €,22 919 202 €,93 €,"9,35 %"
Saône-et-Loire,574874,553 474 320 €,963 €,30 508 428 €,53 €,"5,51 %"
Sarthe,579497,567 648 374 €,980 €,34 125 953 €,59 €,"6,01 %"
Savoie,428751,511 666 398 €,1 193 €,41 417 963 €,97 €,"8,09 %"
Haute-Savoie,760979,763 473 651 €,1 003 €,51 468 291 €,68 €,"6,74 %"
Paris,2268265,2 196 847 842 €,969 €,132 686 778 €,58 €,"6,04 %"
Seine-Maritime,1275952,1 496 352 525 €,1 173 €,132 179 007 €,104 €,"8,83 %"
Seine-et-Marne,1347008,1 251 749 669 €,929 €,126 020 095 €,94 €,"10,07 %"
Yvelines,1435448,1 161 868 252 €,809 €,135 668 952 €,95 €,"11,68 %"
Deux-Sèvres,380569,363 605 099 €,955 €,34 517 747 €,91 €,"9,49 %"
Somme,583388,633 338 288 €,1 086 €,40 705 944 €,70 €,"6,43 %"
Tarn,387099,439 579 124 €,1 136 €,27 603 855 €,71 €,"6,28 %"
Tarn-et-Garonne,248227,299 994 410 €,1 209 €,20 093 129 €,81 €,"6,70 %"
Var,1026222,1 095 570 440 €,1 068 €,72 242 665 €,70 €,"6,59 %"
Vaucluse,555240,644 250 115 €,1 160 €,64 514 927 €,116 €,"10,01 %"
Vendée,654096,665 840 995 €,1 018 €,69 497 066 €,106 €,"10,44 %"
Vienne,438566,419 414 442 €,956 €,40 675 971 €,93 €,"9,70 %"
Haute-Vienne,384781,382 186 573 €,993 €,10 571 876 €,27 €,"2,77 %"
Vosges,392846,427 579 097 €,1 088 €,35 213 054 €,90 €,"8,24 %"
Yonne,353366,391 093 855 €,1 107 €,31 079 189 €,88 €,"7,95 %"
Territoire de Belfort,146475,149 760 549 €,1 022 €,16 321 667 €,111 €,"10,90 %"
Essonne,1233645,1 259 432 602 €,1 021 €,134 752 771 €,109 €,"10,70 %"
Hauts-de-Seine,1590749,1 902 237 028 €,1 196 €,225 982 100 €,142 €,"11,88 %"
Seine-Saint-Denis,1534895,2 022 231 763 €,1 318 €,220 560 999 €,144 €,"10,91 %"
Val-de-Marne,1340868,1 540 067 923 €,1 149 €,180 917 896 €,135 €,"11,75 %"
Val-d'Oise,1187836,1 072 208 673 €,903 €,123 501 604 €,104 €,"11,52 %"
Autre,2088601,3 502 496 393 €,1 677 €,282 833 956 €,135 €,"8,08 %"
