COMMUNE;INSEE;ANNEE;NB NIDS DETRUITS
BEDEE;35023;2015;12
BRETEIL;35040;2015;15
IFFENDIC;35133;2015;22
MONTFORT-SUR-MEU;35188;2015;0
LA NOUAYE;35203;2015;44
PLEUMELEUC;35227;2015;8
SAINT-GONLAY;35277;2015;2
TALENSAC;35331;2015;15
BEDEE;35023;2016;30
BRETEIL;35040;2016;27
IFFENDIC;35133;2016;43
MONTFORT-SUR-MEU;35188;2016;4
LA NOUAYE;35203;2016;28
PLEUMELEUC;35227;2016;19
SAINT-GONLAY;35277;2016;4
TALENSAC;35331;2016;19
BEDEE;35023;2017;14
BRETEIL;35040;2017;21
IFFENDIC;35133;2017;14
MONTFORT-SUR-MEU;35188;2017;1
LA NOUAYE;35203;2017;28
PLEUMELEUC;35227;2017;7
SAINT-GONLAY;35277;2017;0
TALENSAC;35331;2017;9
BEDEE;35023;2018;31
BRETEIL;35040;2018;13
IFFENDIC;35133;2018;41
MONTFORT-SUR-MEU;35188;2018;4
LA NOUAYE;35203;2018;46
PLEUMELEUC;35227;2018;11
SAINT-GONLAY;35277;2018;1
TALENSAC;35331;2018;22
