OBJECTID_12,IDMC,JOUR,HEURE,SOURCE,RD,PR,INSEE,COMMUNE,COM1,COM2,COM3,COM4,ACTION,INONDES,INTERVENTI,ROUVERTE,TOTAL,INSEETXT,NUMRD,PR1,ABS,B_geodb_oi,B_OBJECTID,B_ROUTE,B_PR,B_ABS,B_CUMUL,B_CLASSEME,B_RD,B_RD_PR,geodb_oid,OBJECTID,ROUTE,CUMUL,CLASSEMENT,RD_PR,OBJECTID_1,IDROUTE,GESTION,F_overlaps,F_predicate,DATETRAVAU,JOURTRAV,DATECOMPLE,IDMC2,DATEFIN
1,32,20160531000000.000,10h30, ,RD627,PR0,45229,Nogent sur Vernisson,"au carrefour avec RD 627 route barrée sens Montargis/ Courtenay, déviation mise en place à partir de la Grande Halte P.R. 16 par RD 36, RD35 direction Chuelles et RD37 direction Courtenay. Circulation", , , ,ROUTES BARREES, ,DEVIATION, ,ROUTES BARREES /   / DEVIATION /,45229,627,0,0, , , , , , , , , , , , , , , , , , , ,20160531103000,1030,20160531,1464683400000,32,1464899940000
2,42,20160531000000.000,11h26, ,RD64,PR0+500,45193,Marcilly,est fermée entre Marcilly et Sennely pour cause d’effondrement d’un OA RD 64 PR0+500 identifiant 2064010 ( voie franchie : Le Bourillon),Une déviation est mise en place par la RD 108 et RD 17 en passant par Ménestreau en villette, , ,ROUTES BARREES, ,DEVIATION, ,ROUTES BARREES /   / DEVIATION /,45193,64,0,500, , , , , , , , , , , , , , , , , , , ,20160531112600,1126,20160531,1464686760000,42,1464899940000
3,128,20160531000000.000,15h24,ATO,RD64,PR0+500,45193,Marcilly et Sennely,OA effondré route barrée, , , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45193,64,0,500, , , , , , , , , , , , , , , , , , , ,20160531152400,1524,20160531,1464701040000,128,1464899940000
4,391,20160602000000.000,10h55,ATO,RD64,PR0+500,45193,Marcilly,Sennely,OA effondré route barrée, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45193,64,0,500, , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,391,1464899940000
5,475,20160602000000.000,11h48,ATM,RD142,0+500,45083,Château Renard,- route barrée non circulable, , , ,ROUTES BARREES,NON CIRCULABLE, , ,ROUTES BARREES / NON CIRCULABLE /   /,45083,142,0,500, , , , , , , , , , , , , , , , , , , ,20160602114800,1148,20160602,1464860880000,475,1464899940000
6,494,20160602000000.000,12h03,ATO,RD18,PR0,45098,Cléry et Jouy le potier,"						entre Cléry et Jouy le potier circulation rétablie", , , , , , ,CIRCULATION RETABLIE,/   /   / CIRCULATION RETABLIE,45098,18,0,0, , , , , , , , , , , , , , , , , , , ,20160602120300,1203,20160602,1464861780000,494,1464899940000
7,332,20160602000000.000,9h57,ATM,RD961,1+000,45338,Villemandeur,- route barré dans les 2 sens non circulable déviée par RD39, , , ,ROUTES BARREES,NON CIRCULABLE,DEVIATION, ,ROUTES BARREES / NON CIRCULABLE / DEVIATION /,45338,961,1,000, , , , , , , , , , , , , , , , , , , ,20160602095700,0957,20160602,1464854220000,332,1464899940000
8,482,20160602000000.000,11h48,ATM,RD961,1+000,45338,Villemandeur,- route barré dans les 2 sens non circulable déviée par RD39, , , ,ROUTES BARREES,NON CIRCULABLE,DEVIATION, ,ROUTES BARREES / NON CIRCULABLE / DEVIATION /,45338,961,1,000, , , , , , , , , , , , , , , , , , , ,20160602114800,1148,20160602,1464860880000,482,1464899940000
9,25,20160531000000.000,10h30, ,RD127,PR2,45083,Château Renard,Entre  et Mellery au LD Mardelet arbre couché sur VP, , , , ,OBSTACLE - EFFONDREMENT, , ,/ OBSTACLE - EFFONDREMENT /   /,45083,127,2,0, , , , , , , , , , , , , , , , , , , ,20160531103000,1030,20160531,1464683400000,25,1464899940000
10,69,20160531000000.000,12h54, ,RD127,PR2,45083,Château Renard,Entre Château Renard et Mellery au LD Mardelet arbre couché sur VP, , , , ,OBSTACLE - EFFONDREMENT, , ,/ OBSTACLE - EFFONDREMENT /   /,45083,127,2,0, , , , , , , , , , , , , , , , , , , ,20160531125400,1254,20160531,1464692040000,69,1464899940000
11,265,20160602000000.000,6h08,ATP,RD948,PR2+300,45191,Malesherbes,balisage en cours pour prévenir du débordement de l'Essonne à Butier (77). Contacter CD 77 pour info situation, , , , , ,BALISAGE, ,/   / BALISAGE /,45191,948,2,300, , , , , , , , , , , , , , , , , , , ,20160602060800,0608,20160602,1464840480000,265,1464899940000
12,331,20160602000000.000,9h57,ATM,RD943,2+000,45004,Amilly,- Circulation rétablie avec un alternat B15 C18, , , ,ALTERNAT, , ,CIRCULATION RETABLIE,ALTERNAT /   /   / CIRCULATION RETABLIE,45004,943,2,000, , , , , , , , , , , , , , , , , , , ,20160602095700,0957,20160602,1464854220000,331,1464899940000
