FID,ROUTE,PRD,ABD,PRF,ABF,CUMULD,CUMULF,LONGUEUR,RD,OBSERVATIO,Date_donne,Fin_inonda,Localisati,Notes
1,45 D0702,6,400,7,262,6413,7270,857,702,",",1464739200000,_,?,Découverte de gouffres de part et d'autre de la RD702 au sud de Gidy
2,45 D0015,22,500,22,800,22651,22951,300,15,",",1464739200000,_,"Ligny le Ribault, le Cosson", 
3,45 D0740,1,0,1,220,997,1217,220,740,",",1464825600000,_,Cepoy, 
4,45 D0125,0,500,8,0,500,8230,7730,125,",",1464652800000,_,Chevilly entre D2020 et les Chapelles, 
5,45 D0836,3,650,3,750,3511,3611,100,836,",",1464825600000,_,Entre la D935 et la D502, 
6,45 D0102,4,0,8,900,4027,8954,4927,102,",",1464825600000,_,Entre Gidy et Huêtre, 
7,45 D0032,4,300,5,700,4181,5581,1400,32,",",1464652800000,_,Entre Nargis et Fontenay, 
8,45 D0064,0,200,0,500,200,500,300,64,",",1464652800000,_,"Marcilly en Villette, le Bourillon", 
9,45 D0017,17,0,17,100,17101,17201,100,17,",",1464739200000,_,Sennely, 
10,45 D0097,8,0,13,0,7117,12198,5081,97,",",1464652800000,_,Entre Fleury les Aubrais et Saint Lyé, 
11,45 D0315,3,950,4,50,3940,4028,88,315,",",1464912000000,_,Griselles, 
12,45 D0831,0,300,0,400,300,400,100,831,",",1464739200000,_,Entre Dimancheville et Orville,Effondrement total de chaussée
13,45 D0102,0,0,4,0,0,4027,4027,102,",",1464652800000,_,"Entre Cercottes et Gidy, pont de la Retrève", 
