FID,ROUTE,PRD,ABD,PRF,ABF,CUMULD,CUMULF,RD,OBSERVATIO,Date_donne,Fin_inonda,Localisati,Notes
1,45 D0032,0,0,4,0,0,3881,32,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Nargis, 
2,45 D0163,7,0,7,100,7013,7113,163,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Entre Saint Germain et Amilly, 
3,45 D0963,12,500,13,500,12503,13505,963,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Chevillon sur Huillard, 
4,45 D0702,3,550,7,262,3514,7270,702,",",2016/06/01 00:00:00+00,1970/01/01 00:00:00+00,?, 
5,45 D0097,8,0,13,0,7117,12198,97,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Entre Fleury les Aubrais et Saint Lyé, 
6,45 D0125,0,500,8,0,500,8230,125,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Chevilly entre D2020 et les Chapelles, 
7,45 D0740,1,0,1,200,997,1197,740,",",2016/06/02 00:00:00+00,1970/01/01 00:00:00+00,?, 
8,45 D0043,1,700,1,800,1677,1777,43,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Châtillon Coligny, 
9,45 D0094,4,0,4,100,4000,4100,94,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Pannes, 
10,45 D0102,0,0,4,0,0,4027,102,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,"Entre Cercottes et Gidy, pont de la Retrève", 
11,45 D0127,2,0,2,100,2021,2121,127,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Entre Châteaurenard et Melleroy, 
12,45 D0835,0,200,0,700,200,700,835,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Entre Nogent sur Vernisson et Ste Geneviève, 
13,45 D0115,5,0,6,0,5097,6097,115,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Griselles, 
14,45 D0557,3,100,3,500,3100,3500,557,Déviation dans les 2 sens via rue du Paradis et la route nationale (ex-RD2157),2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Entre Saran et Ormes,Déviation dans les 2 sens via rue du Paradis et ex-D2157
15,45 D0064,8,0,9,0,8052,9054,64,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Entre Marcilly en Villette et Sennely, 
16,45 D0017,17,0,17,100,17101,17201,17,",",2016/06/01 00:00:00+00,1970/01/01 00:00:00+00,Sennely, 
17,45 D0032,19,0,24,0,19467,24411,32,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Entre Chantecoq et Saint Hilaire les Andrésis, 
18,45 D0102,4,0,8,900,4027,8954,102,",",2016/06/02 00:00:00+00,1970/01/01 00:00:00+00,Entre Gidy et Huêtre, 
19,45 D0142,0,500,0,600,500,600,142,",",2016/06/01 00:00:00+00,1970/01/01 00:00:00+00,?, 
20,45 D0115,10,250,10,350,10365,10465,115,",",2016/06/03 00:00:00+00,1970/01/01 00:00:00+00,Ferrières direction Louzouer, 
21,45 D900772,1,0,3,300,0,950,900772,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Echangeur de Bonny sur Loire, 
22,45 D0835,6,700,6,800,6697,6797,835,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Sainte Geneviève des Bois, 
23,45 D0011,17,0,17,500,17164,17664,11,",",2016/05/31 00:00:00+00,1970/01/01 00:00:00+00,Fay aux Loges, 
