X,Y,OBJECTID_1,OBJECTID,ROUTE,PR,ABS,CUMUL,IDROUTE,PR_CPTGE,PR_ORIG,PR_FIN,LIEU,TYPE,MJA,PL,MJA_PL,CATEGORIE
617583.278200001,6776056.6975,1,11,45 D0005,15,800,16282,D5,15+800,15+275,25+0,Artenay - Villereau (D97),Secondaire,1693,5.9,100,4
603182.942500003,6757303.1747,2,6,45 D0003,9,450,8229,D3,9+450,7+60,11+841,Huisseau-Sur-Mauves - Rozières-En-Beauce,Secondaire,2597,7.8,203,4
694726.8222,6773055.9728,3,96,45 D0032,18,0,18600,D32,18+0,15+263,23+435,La Selle-sur-le-Bied - Est de Chantecoq,Secondaire,902,10.1,91,4
681599.212399997,6778803.4373,4,92,45 D0031,27,500,27690,D31,27+500,22+869,27+816,Préfontaines - Nargis,Secondaire,1287,10.1,130,4
604801.651600003,6739833.2243,5,63,45 D0019,8,500,7701,D19,8+500,4+920,17+330,Lailly-En-Val - Ligny-Le-Ribault,Secondaire,586,6.3,37,4
684979.212899998,6776645.7188,6,95,45 D0032,7,288,7888,D32,7+288,6+701,15+263,Fontenay-sur-Loing - La Selle-sur-le-Bied,Secondaire,3706,5.9,219,4
668059.254900001,6776603.6737,7,91,45 D0031,13,258,13347,D31,13+258,10+905,22+869,Corbeilles sur Essonne - D38,Secondaire,739,25,185,4
610427.460199997,6730435.5208,8,64,45 D0019,19,570,18872,D19,19+570,17+330,21+810,Limite département,Secondaire,658,5.7,38,4
682600.449000001,6778654.8223,9,93,45 D0032,5,102,5102,D32,5+102,0+0,6+70,Limite Département - Fontenay-Sur-Loing (D115),Secondaire,2359,7.5,177,4
640916.655500002,6791169.6381,10,73,45 D0023,2,245,2265,D23,2+245,0+0,4+490,Guigneville (D22) - Lolainville,Secondaire,285,9.4,27,4
614843.118799999,6752588.254,11,46,45 D0014,2,0,2021,D14,2+0,0+0,4+1020,Saint-Hilaire-Saint-Mesmin (D951) - centre d'Olivet,Secondaire,4281,4.9,210,2
655943.298900001,6773024.6755,12,29,45 D0009,28,31,28331,D9,28+31,25+378,30+333,en agglo de Boiscommun - Beaune-la-Rolande,Secondaire,2346,3.2,75,4
628794.487300001,6769372.4865,13,25,45 D0008,15,355,15656,D8,15+355,9+870,19+210,Loury - Neuville-Aux-Bois,Secondaire,1463,7.9,116,3
651778.667300001,6768865.0819,14,28,45 D0009,22,0,22215,D9,22+0,20+548,25+378,Nesploy - en agglo de Boiscommun,Secondaire,1147,8.7,100,4
662478.151699997,6789244.5478,15,82,45 D0026,19,258,19286,D26,19+258,17+476,21+40,Puiseaux - Limite Département,Secondaire,1589,10.6,168,3
650550.8292,6787695.4127,16,81,45 D0026,6,156,6220,D26,6+156,0+0,17+476,Estouy,Permanent,1750,8.1,142,3
625009.730300002,6780756.8526,17,39,45 D0011,43,0,43952,D11,43+0,38+470,49+925,de l'est à l'agglo de Aschères-Le-Marché - Limite Département,Secondaire,1156,14,162,4
623430.191,6734568.646,18,56,45 D0017,5,20,5014,D17,5+20,1+995,8+40,La-Ferté-Saint-Aubin - Ménestreau-En-Villette,Secondaire,1277,4.7,60,4
627802.0035,6774489.7305,19,12,45 D0005,27,500,28014,D5,27+500,25+0,30+536,Villereau - Neuville-aux-Bois,Secondaire,4612,4.1,189,3
683442.276000001,6776950.587,20,94,45 D0032,6,385,6385,D32,6+385,6+70,6+701,Fontenay sur Loing,Secondaire,3667,8.2,301,4
628547.382299997,6758215.0757,21,23,45 D0008,3,582,3682,D8,3+582,2+75,6+65,D2060 - Vennecy,Secondaire,3045,4.3,131,3
609819.579999998,6735860.1059,22,53,45 D0015,18,693,18816,D15,18+693,14+930,22+80,dans le nord de Jouy-Le-Potier - Ligny-Le-Ribault,Secondaire,2855,4.2,120,4
603334.770199999,6747649.089,23,59,45 D0018,1,254,1258,D18,1+254,0+935,5+35,Meung-sur-Loire - Cléry-Saint-André,Permanent,4958,3.8,188,3
627278.2513,6746293.3103,24,49,45 D0014,16,429,15114,D14,16+429,12+575,19+269,Saint-Cyr-En-Val - Carrefour du Prateau,Permanent,4788,4.1,196,2
640938.265500002,6746377.6404,25,32,45 D0011,2,325,2316,D11,2+325,0+0,4+748,Tigy (D951) - Sigloy,Secondaire,2450,5.4,132,4
640315.941299997,6752920.2505,26,34,45 D0011,9,453,9522,D11,9+453,8+167,13+859,Châteauneuf-sur-loire,Permanent,1829,4.4,80,2
