FID,X,Y,CODEBATIME,SITE,ADRESSE,VILLE,CODEINSEE,CANTON,VALIDITE,CP
1,684081.43,6775841.98,SDIS,Centre de secours de Ferrières-en-Gâtinais,Terres des allées de Birague 36 route de Mirebeau,FERRIERES-EN-GATINAIS,45145,Courtenay,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45210
2,616599.37,6775633.2,SDIS,Centre de secours d'Artenay,53 route d'Orléans,ARTENAY,45008,Meung-sur-Loire,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45410
3,603396.07,6771427.55,SDIS,Centre de secours de Patay,Moulin Chu route d'Orléans,PATAY,45248,Meung-sur-Loire,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45310
4,694186.73,6758182.55,SDIS,Centre de secours de Château-Renard,Bourdillon rue des Sorbiers,CHATEAU-RENARD,45083,Courtenay,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45220
5,659466.26,6765605.37,SDIS,Centre de secours du Bellegardois,Prairie de Bellegarde ZI rue de l'Enfer,OUZOUER-SOUS-BELLEGARDE,45243,Lorris,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45270
6,641660.4,6799273.22,SDIS,Centre de secours de Sermaises,Rue de l'Europe - Le Croc au Renard,SERMAISES,45310,Pithiviers,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45300
7,663226.43,6753820.05,SDIS,Centre de secours de Lorris,34 Faubourg de Sully - rond point Sainte Barbe,LORRIS,45187,Lorris,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45260
8,657477.13,6774935.27,SDIS,Centre de secours de Beaune-la-Rolande,La Petite Couture 15 rue de Puiseaux,BEAUNE-LA-ROLANDE,45030,Malesherbes,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45340
9,680567.15,6750559.62,SDIS,Centre de secours de Nogent-sur-Vernisson,Rue Georges Bannery,NOGENT-SUR-VERNISSON,45229,Lorris,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45290
10,601182.32,6748678.57,SDIS,Centre de secours de Meung-sur-Loire,La Pointe des Chaffeaux,MEUNG-SUR-LOIRE,45203,Meung-sur-Loire,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45130
11,0,0,SDIS,Centre de secours d'Ormes,Chemin de l'Allée  Zone Pôle 45,ORMES,45235,Orléans-3,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45140
12,0,0,SDIS,Centre de secours de Chécy,10 rue Jean Bertin,CHECY,45089,Saint-Jean-de-Braye,https://loiret.maps.arcgis.com/sharing/rest/content/items/1ed98035d3bd4188abf0e47fc9371903/data,45430
