FID,STATUT,CANTON,ARRONDISSE,URL_LOIRET,COM_RURALE,POPULATION,SURFACE_KM,EPFL,INFOS,SIREN_EPCI
1,Chef-lieu de canton,PATAY,ORLEANS,http://www.loiret.com/patay-5292.htm?RH=ACCUEIL,oui,2080,13.9,Communes ayant délibérée favorablement, ,200035764
2,Commune simple,FERRIERES-EN-GATINAIS,MONTARGIS,http://www.loiret.com/dordives-5155.htm?RH=ACCUEIL,non,2976,15.2,Communes ayant délibérée favorablement, ,244500419
3,Chef-lieu de canton,SULLY-SUR-LOIRE,ORLEANS,http://www.loiret.com/sully-sur-loire-5357.htm?RH=ACCUEIL,non,5443,43.5,Communes ayant délibérée favorablement, ,200034841
4,Commune simple,OUZOUER-SUR-LOIRE,ORLEANS,http://www.loiret.com/saint-benoit-sur-loire-5314.htm?RH=ACCUEIL,oui,2057,20.4,Communes ayant délibérée favorablement, ,244500518
5,Commune simple,SULLY-SUR-LOIRE,ORLEANS,http://www.loiret.com/villemurlin-5397.htm?RH=ACCUEIL,oui,584,48.9,Communes ayant délibérée favorablement, ,200034841
6,Commune simple,PATAY,ORLEANS,http://www.loiret.com/coinces-5103.htm?RH=ACCUEIL,oui,556,22,Communes ayant délibérée favorablement, ,200035764
7,Commune simple,CHATEAU-RENARD,MONTARGIS,http://www.loiret.com/montcorbon-5255.htm?RH=ACCUEIL,oui,460,26.7,Communes ayant délibérée favorablement, ,200022994
8,Chef-lieu de canton,BRIARE,MONTARGIS,http://www.loiret.com/briare-le-canal-5060.htm?RH=ACCUEIL,non,5710,45,Communes ayant délibérée favorablement, ,244500443
9,Chef-lieu de canton,OLIVET,ORLEANS,http://www.loiret.com/olivet-5276.htm?RH=ACCUEIL,non,19583,23.4,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
10,Chef-lieu de canton,COURTENAY,MONTARGIS,http://www.loiret.com/courtenay-5119.htm?RH=ACCUEIL,oui,3976,50.1,Communes ayant délibérée favorablement, ,200030559
11,Commune simple,OLIVET,ORLEANS,http://www.loiret.com/saint-pryve-saint-mesmin-5341.htm?RH=ACCUEIL,non,5188,8.9,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
12,Commune simple,CHECY,ORLEANS,http://www.loiret.com/bou-5051.htm?RH=ACCUEIL,oui,902,6.3,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
13,Sous-préfecture,PITHIVIERS,PITHIVIERS,http://www.loiret.com/pithiviers-5296.htm?RH=ACCUEIL,non,8804,6.9,Communes ayant délibérée favorablement, ,200023562
14,Commune simple,INGRE,ORLEANS,http://www.loiret.com/saran-5345.htm?RH=ACCUEIL,non,15120,20.3,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
15,Chef-lieu de canton,NEUVILLE-AUX-BOIS,ORLEANS,http://www.loiret.com/neuville-aux-bois-5268.htm?RH=ACCUEIL,oui,4113,31.8,Communes ayant délibérée favorablement, ,244500484
16,Commune simple,MEUNG-SUR-LOIRE,ORLEANS,http://www.loiret.com/rozieres-en-beauce-5308.htm?RH=ACCUEIL,oui,183,9.2,Communes ayant délibérée favorablement, ,200030229
17,Commune simple,FERRIERES-EN-GATINAIS,MONTARGIS,http://www.loiret.com/corbeilles-5107.htm?RH=ACCUEIL,oui,1490,32.6,Communes ayant délibérée favorablement, ,244500419
18,Commune simple,PUISEAUX,PITHIVIERS,http://www.loiret.com/augerville-la-riviere-5021.htm?RH=ACCUEIL,oui,236,4,Communes ayant délibérée favorablement,Nouvel adhérent 2013,244500534
19,Commune simple,PITHIVIERS,PITHIVIERS,http://www.loiret.com/dadonville-5146.htm?RH=ACCUEIL,non,2259,18.3,Communes ayant délibérée favorablement, ,200023562
20,Commune simple,FERRIERES-EN-GATINAIS,MONTARGIS,http://www.loiret.com/sceaux-du-gatinais-5346.htm?RH=ACCUEIL,oui,620,31.7,Communes ayant délibérée favorablement, ,244500419
21,Commune simple,NEUVILLE-AUX-BOIS,ORLEANS,http://www.loiret.com/trainou-5367.htm?RH=ACCUEIL,oui,3105,33.5,Communes ayant délibérée favorablement, ,244500484
22,Commune simple,COURTENAY,MONTARGIS,http://www.loiret.com/rozoy-le-vieil-5309.htm?RH=ACCUEIL,oui,391,8.2,Communes ayant délibérée favorablement, ,244500419
23,Commune simple,CHECY,ORLEANS,http://www.loiret.com/mardie-5238.htm?RH=ACCUEIL,non,2560,17.3,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
24,Commune simple,SAINT-JEAN-LE-BLANC,ORLEANS,http://www.loiret.com/saint-cyr-en-val-5316.htm?RH=ACCUEIL,non,3107,44.3,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
25,Commune simple,PUISEAUX,PITHIVIERS,http://www.loiret.com/briarres-sur-essonne-5061.htm?RH=ACCUEIL,oui,537,8.2,Communes ayant délibérée favorablement, ,244500534
26,Commune simple,MEUNG-SUR-LOIRE,ORLEANS,http://www.loiret.com/chaingy-5073.htm?RH=ACCUEIL,non,3531,21.8,Communes ayant délibérée favorablement, ,200030229
27,Commune simple,LA FERTE-SAINT-AUBIN,ORLEANS,http://www.loiret.com/sennely-5351.htm?RH=ACCUEIL,oui,651,49.9,Communes ayant délibérée favorablement, ,200005932
28,Commune simple,FERRIERES-EN-GATINAIS,MONTARGIS,http://www.loiret.com/prefontaines-5299.htm?RH=ACCUEIL,oui,461,11.7,Communes ayant délibérée favorablement, ,244500419
29,Commune simple,CLERY-SAINT-ANDRE,ORLEANS,http://www.loiret.com/mareau-aux-pres-5240.htm?RH=ACCUEIL,oui,1290,15.1,Communes ayant délibérée favorablement, ,244500450
