Acteurs,Adresses,Catalogue,Délibérations,Equipements,Marchés,Prénoms,Subventions
CCI Bourgogne Franche-Comté,voudrais,voudrais,0,0,producteur,0,voudrais
CC Champagnole,voudrais,0,producteur,voudrais,producteur,0,producteur
Commune de Chenôve,voudrais,voudrais,producteur,producteur,producteur,0,0
Département du Doubs,voudrais,producteur,0,voudrais,0,0,producteur
Docks Numériques,0,voudrais,0,0,0,0,0
Grand Besançon,voudrais,0,0,producteur,0,0,0
IGN,producteur,producteur,0,producteur,0,0,0
Mâconnais Beaujolais Agglomération,voudrais,0,0,voudrais,0,0,voudrais
Mildeca - C35,0,0,0,producteur,0,0,producteur
SIDEC,0,0,producteur,0,producteur,0,voudrais
Ville Lons-le-Saunier / ECLA,0,0,producteur,voudrais,producteur,0,0
Ville de Montbéliard,voudrais,voudrais,0,voudrais,0,0,0
