COMMUNE_NOM,ANNEE,NOMBRE_MARIAGES
Vincennes,1992,269
Vincennes,1993,248
Vincennes,1994,233
Vincennes,1995,248
Vincennes,1996,247
Vincennes,1997,228
Vincennes,1998,221
Vincennes,1999,268
Vincennes,2000,290
Vincennes,2001,255
Vincennes,2002,239
Vincennes,2003,242
Vincennes,2004,239
Vincennes,2005,256
Vincennes,2006,259
Vincennes,2007,207
Vincennes,2008,245
Vincennes,2009,240
Vincennes,2010,245
Vincennes,2011,248
Vincennes,2012,207
Vincennes,2013,254
Vincennes,2014,241
Vincennes,2015,242
Vincennes,2016,218
Vincennes,2017,241
