X,Y,OBJECTID,ID_STATION,STA_NOM,STA_ETIQUETTE,STA_COMMUNE_D,STA_LIGNE1_D,STA_LIGNE2_D,STA_LIGNE3_D,STA_LIGNE4_D,STA_LIGNE5_D,STA_LIGNE6_D,STA_LIGNE7_D,STA_LIGNE8_D,STA_LIGNEA_D,STA_LIGNEB_D,STA_LIGNEC_D,STA_LIGNED_D,STA_LIGNEE_D,STA_RESEAU_D
795882.448200002,6877692.8246,1,S001,E. ROCHET,E. Rochet,Recy,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
796117.923500001,6877598.2162,2,S002,CHATEAU D'EAU,Château d'Eau,Recy,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
795910.802900001,6877516.0571,3,S003,GRANDE RUE,Grande Rue,Recy,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
796123.2896,6877203.548,4,S005,RECY MAIRIE,Recy Mairie,Recy,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
796438.151199996,6877189.7097,5,S006,TERME ADAM,Terme Adam,Recy,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
796518.520900004,6877290.2146,6,S007,EPINETTES,Epinettes,Recy,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
797543.202,6876422.5695,7,S008,BAUDRY,Baudry,St-Martin-sur-le-Pré,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
797745.167599998,6876172.7051,8,S009,ABBAYE,Abbaye,St-Martin-sur-le-Pré,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
797865.888800003,6875978.7833,9,S010,SALLE DES FETES,Salle des Fêtes,St-Martin-sur-le-Pré,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
798191.751100004,6876078.5006,10,S011,ROUTE DE LOUVOIS,Route de Louvois,St-Martin-sur-le-Pré,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
798391.682700001,6875931.5497,11,S012,GARE CBR,Gare CBR,St-Martin-sur-le-Pré,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
798264.994599998,6876396.9561,12,S013,Z.I. ST-MARTIN,Z I. St-Martin,St-Martin-sur-le-Pré,0,0,0,0,0,1,0,0,0,0,0,0,0,SITAC
798503.398800001,6876217.7805,13,S014,DATS,Dats,St-Martin-sur-le-Pré,0,0,0,0,0,1,0,0,0,0,0,0,0,SITAC
798553.098200001,6876633.3572,14,S016,SCAPEST,Scapest,St-Martin-sur-le-Pré,0,0,0,0,0,1,0,0,0,0,0,0,0,SITAC
798366.709200002,6876942.0441,15,S017,A.M. TERRIERE,A.M. Terrière,St-Martin-sur-le-Pré,0,0,0,0,0,1,0,0,0,0,0,0,0,SITAC
798090.674400002,6877290.1564,16,S018,PARC INDUSTRIEL RECY / ST-MARTIN,Parc Industriel Recy / St-Martin,St-Martin-sur-le-Pré,0,0,0,0,0,1,0,0,0,0,0,0,0,SITAC
796324.936999999,6877434.9472,17,S004,CHANTERAINE,Chanteraine,Recy,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
796421.919200003,6873703.1405,18,S025,NOUE DU MOULIN,Noue du Moulin,Fagnieres,1,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
796658.033100002,6873681.2358,19,S026,OUESSANT,Ouessant,Fagnieres,1,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
796597.1413,6873461.5756,20,S027,ILE D'YEU,Ile d'Yeu,Fagnieres,1,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
796919.979699999,6873394.5753,21,S028,ROUTE DE MONTMIRAIL,Route de Montmirail,Fagnieres,1,0,0,1,0,0,0,0,0,0,0,1,1,SITAC
797383.1664,6873481.4622,22,S030,ARGENSOLS,Argensols,Fagnieres,1,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
797747.651299998,6873550.384,23,S031,DR. FRAGNE,Dr. Fragne,Châlons-en-Champagne,0,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
797683.866300002,6873251.4874,24,S032,STALINGRAD,Stalingrad,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
798064.179099999,6873520.1526,25,S033,LYCEE TALON,Lycée Talon,Châlons-en-Champagne,0,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
798298.358099997,6873440.9012,26,S034,BRASSERIES,Brasseries,Châlons-en-Champagne,0,0,0,1,0,0,1,0,0,0,0,0,0,SITAC
797881.464699998,6873016.6497,27,S035,B. REMY,B. Rémy,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
798127.406900004,6872729.0451,28,S036,SEMARD,Semard,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
798046.6928,6872487.5554,29,S037,NORMANDIE,Normandie,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
798251.180699997,6872823.926,30,S039,M. COLIN,M. Colin,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
798525.690800004,6872959.9913,31,S040,H. DUNANT,H. Dunant,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
798632.579300001,6872172.8896,32,S043,ROUTE DE BLACY,Route de Blacy,Compertrix,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
