X,Y,FID,categori,nom,type,capacite,etat,adresse,gestionn,tranche_ag,hjrs_ouver,source,export
339358.2541,7689358.4452,1,Crèche collective,Les Jacarandas - Ilet aux grands,Etablissement Associatif,29,Actuel,6 Rue du Bois de Nèfles - 97400 Saint-Denis,association babyland,2 mois à 6 ans,Du lundi au vendredi de 7h15 à 17h40,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339601.9717,7688810.6881,2,Crèche collective,Soeur Colette,Etablissement municipal,60,Actuel,14 Rue Jules Verne - 97400 Saint-Denis,C.C.A.S. de Saint Denis,2 mois et demi à 4 ans,Du lundi au vendredi de 7h30 à 16h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
343407.0288,7685363.7437,3,Micro crèche,Les Babas,Etablissement Associatif,10,Actuel,252 Route Gabriel Macé - 97490 Sainte-Clotilde,Ass les babies,3 mois à 3 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341689.9645,7689131.1728,4,Crèche collective,Les P tits Mounes,Etablissement Associatif,30,Actuel,15 Rue Pitel - 97490 Sainte-Clotilde,Ass les Ptits Mounes,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
340751.42,7688104.79,5,Micro crèche,Pinarello,Etablissement Privé,10,Actuel,21 Rue du Stade - 97400 Saint-Denis,Crèche And Go,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338323.15,7689592.68,6,Micro crèche,Leroy 1,Etablissement Privé,10,Actuel,3 Impasse Adolphe Leroy - 97400 Saint-Denis,Crèche And Go,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341480.3503,7688142.0771,7,Micro crèche,Les Petites Lucioles 2,Etablissement Associatif,10,Actuel,132 Route de Bois de Nèfles - 97490 Sainte-Clotilde,association babyland,18 mois à 6 ans,Du lundi au vendredi de 6h00 à 20h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
343446.0174,7684993.6138,8,Micro crèche,Funny Bees,Etablissement Privé,10,Actuel,133 bis Rue Monseigneur Lagavant- 97490 Sainte-Clotilde,Scic Ecsper,3 mois à 4 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341472.579,7688140.9669,9,Micro crèche,Les Petites Lucioles 1,Etablissement Associatif,10,Actuel,132 Route de Bois de Nèfles - 97490 Sainte-Clotilde,association babyland,3 mois à 2 ans,Du lundi au vendredi de 6h00 à 20h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341662.7962,7689140.3378,10,Centre multi accueil,Colombine,Etablissement Associatif,35,Actuel,13 Rue Pitel - 97490 Sainte-Clotilde,Ass Colombine,2 mois à 6 ans,Du lundi au vendredi de 7h30 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339397.97,7689316.96,11,Crèche collective,Les Jacarandas - Ilet aux petits,Etablissement Associatif,60,Actuel,6 Ruelle Camp Calixte - 97400 Saint-Denis,association babyland,10 semaines à 4 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
344563.431,7687032.1432,12,Crèche collective,Jardin Le Coin des Bout Choux,Etablissement Associatif,32,Actuel,5 Impasse Paille en queue - 97490 Sainte-Clotilde,Ass les Bout'choux,18 mois à 6 ans,Du lundi au vendredi de 7h00 à 17h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339165.76,7689632.85,13,Micro crèche,La Source des Petits Anges,Etablissement Privé,10,Actuel,23 Rue Suffren - 97400 Saint-Denis,EURL La Source des P,2 mois à 4 ans,Du lundi au vendredi de 6h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338901.6956,7690905.0015,14,Crèche collective,Les Alamandas,Etablissement Associatif,45,En travaux,10 Rue des Sables - 97400 Saint-Denis,association babyland,10 semaines à 6 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342386.3573,7686416.0866,15,Centre multi accueil,Les tulipiers,Etablissement Municipal,44,Actuel,14 Chemin de la Source - 97490 Sainte-Clotilde,C.C.A.S. de Saint Denis,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 16h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339564.8134,7688308.3631,16,Micro crèche,Les Lauriers I,Etablissement Privé,10,Actuel,31 Rue des Lauriers - 97400 Saint-Denis,Crèche And Go,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339561.659,7688310.5816,17,Micro crèche,Les Lauriers II,Etablissement Privé,10, ,31 Rue des Lauriers - 97400 Saint-Denis,Crèche And Go,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
343453.2055,7685008.2513,18,Micro crèche,Ti Caz Ecolo,Etablissement Privé,10,Actuel,133 bis Rue Monseigneur Lagavant -97490 Sainte-Clotilde,Scic Ecsper,15 mois à 4 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338392.41,7688551.55,19,Micro crèche,Le Manège Enchanté 2,Etablissement Associatif,10,Actuel,"42, Allée des Topazes - 97400 Saint-Denis",Asso le Manège Encha,3 mois à 4 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338063.1,7690414.4,20,Micro crèche,L'îlot Vert,Etablissement Privé,10,Actuel,10 Place Monseigneur Armand-René Maupoint - 97400 Saint-Denis,SARL Ilot vert,2 mois à 6 ans,Du lundi au vendredi de 7h15 à 17h45,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339491.03,7689323.03,21,Micro crèche,La Caz Des Petits Anges,Etablissement Associatif,10,Actuel,1 bis Ruelle Samat - 97400 Saint-Denis,La Caz des pts Anges,2 mois à 4 ans,Du lundi au vendredi de 6h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338368.905,7688564.7512,22,Micro crèche,Le Manège Enchanté,Etablissement Associatif,10,Actuel,40 Allée des Topazes - 97400 Saint-Denis,Asso le Manège Encha,3 mois à 4 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339834.9619,7690082.3277,23,Crèche collective,Ilot Saint Jacques Grands,Etablissement Associatif,33,Actuel,145 Rue Roland Garros - 97400 Saint-Denis,association babyland,2 à 6 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341526.6,7688147.97,24,Micro crèche,Micro-Line 1,Etablissement Associatif,10,Actuel,111 Route du Bois de Nèfles - 97490 Sainte-Clotilde,association babyland,3 mois à 2 ans,Du lundi au vendredi de 6h00 à 20h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341048.1841,7688160.0511,25,Micro crèche,Les petits papangues,Etablissement Privé,10,Actuel,49b Rue de la Vierge - 97400 Saint Denis,SARL les Petits Pas,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
340679.6075,7688582.321,26,Centre multi accueil,Canebie,Etablissement Associatif,15,Actuel,4 Rue des Poivriers - 97400 Saint-Denis,Ass Canebie,2 mois et demi à 4 ans,Du lundi au vendredi de 7h15 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
340679.0558,7688585.4115,27,Centre multi accueil,La Caze Zouzou,Etablissement Associatif,40,Actuel,4 Rue des Poivriers - 97400 Saint-Denis,Association la Case,14 mois à 4 ans,Du lundi au vendredi de 7h15 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338559.207,7689631.9676,28,Centre multi accueil,La Maison de Ben,Etablissement Associatif,60,Actuel,15 Rue Milius - 97400 Saint-Denis,Association Case Marmailles de Saint-Denis,3 mois à 6 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341711.2136,7689131.6131,29,Centre multi accueil,Les Jonquilles,Etablissement Associatif,35,Actuel,13 bis Rue Pitel - 97490 Sainte-Clotilde,Ass Colombine,3 mois à 6 ans,Du lundi au vendredi de 7h30 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342066.5417,7688747.08,30,Micro crèche,Poucet Poucette,Etablissement Associatif,10,Actuel,36 Rue Lory-Les-Hauts - 97490 Sainte-Clotilde,Ass de Poucélina,2 mois à 4 ans,Du lundi au vendredi de 7h00 à 18h15,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342245.1244,7688471.476,31,Crèche collective,Mini Club,Etablissement Privé,35,Actuel,36 Rue des Goyaves - 97490 Sainte-Clotilde,Mini-Club,3 mois à 6 ans,Du lundi au vendredi de 7h00 à 17h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
339846.55,7690110.67,32,Centre multi accueil,Ilot Saint Jacques Petits,Etablissement Associatif,43,Actuel,145 Rue Roland Garros - 97400 Saint-Denis,association babyland,3 mois à 4 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341520.095,7688149.6263,33,Micro crèche,Micro-Line 2,Etablissement Associatif,10,Actuel,111 Route de Bois de Nèfles - 97490 Sainte-Clotilde,association babyland,14 mois à 6 ans,Du lundi au vendredi de 6h00 à 20h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338961.4093,7688914.9346,34,Micro crèche,Le Manège Enchanté 3,Etablissement Associatif,10, ,5 Allée des Onyx - 97400 Saint Denis,Asso le Manège Encha,2 mois et demi à 4 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342185.6501,7687200.8826,35,Micro crèche,Les Bisounours,Etablissement Associatif,10,Actuel,24 Boulevard Mahatma Gandhi - 97490 Sainte-Clotilde,Ass Flamboyant,2 mois et demi à 3 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341917.5805,7688522.2431,36,Micro crèche,Koté Marmay,Etablissement Privé,10,Actuel,3 Bis Impasse Bois de Chandelle - 97490 Sainte-Clotilde,Association le Manège Enchanté,2 mois et demi à 6 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
