X,Y,FID,nom,adresse,gestion,secteur,dat_maj,dat_export
55.448737996,-20.88997624,1,"Ecole Municipale de Musique, de Danse et d'Art Dramatique Loulou Pitou EMMDAD",54 Rue Leblond,Mairie de Saint-Denis,La Source,28/01/2019,29/01/2019
55.4494103390001,-20.881671554,2,Villa du Département (promotions culturelle et sportive),18 Rue de Paris,Département de La Réunion,Centre-Ville,28/01/2019,29/01/2019
55.4690838600001,-20.895322376,3,Médiathèque François Mitterrand,12-15 Rue de l'Europe,Mairie de Saint-Denis,Montgaillard Colline des Camélias,28/01/2019,29/01/2019
55.4875127390001,-20.892450402,4,Bibliothèque du Chaudron,2 Rue Jean Bertho,Mairie de Saint-Denis,Chaudron,28/01/2019,29/01/2019
55.4948536040001,-20.917406978,5,Bibliothèque de la Bretagne,5 Chemin des Routiers,Mairie de Saint-Denis,Bretagne,28/01/2019,29/01/2019
55.449881917,-20.8834155389999,6,Musée Artothèque,26 Rue de Paris,Département de La Réunion,Centre-Ville,28/01/2019,29/01/2019
55.4238349170001,-20.889422554,7,Bibliothèque de la Montagne,41 Route des Palmiers,Mairie de Saint-Denis,Montagne 8ème,28/01/2019,29/01/2019
55.4517350630001,-20.882980946,8,Bibliothèque Départementale de La Réunion,173 Bis Rue Jean Chatel,Département de La Réunion,Centre-Ville,28/01/2019,29/01/2019
55.478046609,-20.91661262,9,Bibliothèque du Bois de Nèfles,130 Route des Ananas,Mairie de Saint-Denis,Bois de Nèfles,28/01/2019,29/01/2019
55.448668883,-20.875200789,10,C.R.D.P (Centre Régional de Documentation Pédagogique),16 Rue Jean Chatel,Département de La Réunion,Centre-Ville,28/01/2019,29/01/2019
55.4707593730001,-20.885804353,11,La Fabrik,28 Rue Léopold Rambaud,Mairie de Saint-Denis,Marcadet,28/01/2019,29/01/2019
55.468311946,-20.8848202839999,12,Cité des Arts,23 Rue Léopold Rambaud,CINOR,Marcadet,28/01/2019,29/01/2019
55.4831287430001,-20.905871707,13,Bibliothèque Intercommunale Alain Peters,5 Rue du Bosquet,CINOR,Moufia,28/01/2019,29/01/2019
55.4512567180001,-20.892761466,14,Bibliothèque Intercommunale Alain Lorraine,1 Allée des Pierres de Lune,CINOR,Bellepierre,28/01/2019,29/01/2019
55.4854179700001,-20.902243504,15,Théâtre Vladimir Canter,15 Avenue René Cassin,Université de La Réunion,Moufia,28/01/2019,29/01/2019
55.4658753630001,-20.8887100539999,16,Espace Culturel de Champ Fleuri,2 rue du Théâtre,Mairie de Saint-Denis,Marcadet,28/01/2019,29/01/2019
55.4500781990001,-20.8837752339999,17,Musée LÉON DIERX,28 Rue de Paris,Département de La Réunion,Centre-Ville,28/01/2019,29/01/2019
55.4482748900001,-20.879858563,18,Conservatoire National de Région,6 Bis Rue Pasteur,Région Réunion,Centre-Ville,28/01/2019,29/01/2019
55.4479275,-20.8809067949999,19,Théâtre du Grand Marché Centre Dramatique de l'Océan Indien,2 Rue du Maréchal Leclerc,Mairie de Saint-Denis,Centre-Ville,28/01/2019,29/01/2019
55.451662952,-20.887467644,20,Muséem d'Histoire Naturelle,1 Rue du Poivre,Département de La Réunion,La Source,28/01/2019,29/01/2019
55.4490474580001,-20.880975323,21,Villa Carrère,14 Rue de Paris,Région Réunion,Centre-Ville,28/01/2019,29/01/2019
55.451059125,-20.877429698,22,Ciné Ritz,53 Rue Juliette Dodu,Investissement Commerce et Cinéma,Centre-Ville,28/01/2019,29/01/2019
55.448065037,-20.876009268,23,Ciné Lacaze,Rue de l'Amiral Lacaze,Gaumont,Centre-Ville,28/01/2019,29/01/2019
55.446513135,-20.87944764,24,Bibliothèque du Bas de la Rivière,41 Rue de la République,Mairie de Saint-Denis,Petite-île Bas de la rivière,28/01/2019,29/01/2019
