NAME;LABEL
finess;Finess du TAS
Raison_sociale;
Enquete_obligatoire;
Participation;
Resultat_qls;QLS  Résultat du contrôle
qls_c_den_etbt;QLS_C Dénominateur
qls_c_etbt;Qualité de la lettre de liaison à la sortie
qls_c_icbas_etbt;QLS_C Intervalle de confiance bas
qls_c_ichaut_etbt;QLS_C Intervalle de confiance haut
qls_c_pos_seuil_etbt;QLS_C Positionnement par rapport à l'objectif de performance
qls_c_pos_evol_etbt;QLS_C Evolution par rapport au recueil précédent
Resultat_dtn;DTN Résultat du contrôle
dtn2_c2_den_etbt;DTN2_C2 Dénominateur
dtn2_c2_etbt;Dépistage des troubles nutritionnels - Ancien niveau 2
dtn2_c2_icbas_etbt;DTN2_C2 Intervalle de confiance bas
dtn2_c2_ichaut_etbt;DTN2_C2 Intervalle de confiance haut
dtn2_c2_pos_seuil_etbt;DTN2_C2 Positionnement par rapport à l'objectif de performance
dtn2_c2_pos_evol_etbt;DTN2_C2 Evolution par rapport au recueil précédent
Lib_reg;
