"Identifiant","Nom","Adresse","Adresse 2","Code postal","Ville","Pays","Longitude","Latitude","Modification"
"125886","Gymnase Jean Jaurès","280 avenue Jean Jaurès","","92290","Chatenay-Malabry","FR","2,25489500","48,76778400","02/10/2020 10:09:37"
"125885","Bulle de Tennis N° D","240 avenus de la Division Leclerc","","92290","Chatenay-Malabry","FR","2,27071900","48,76419100","16/09/2019 12:28:40"
"125882","Vestiaire du stade des Bruyères","Rue de Verdun","","92290","Chatenay-Malabry","FR","2,27063500","48,76649900","27/04/2018 10:11:42"
"125881","Espace Omnisports Pierre Bérégovoy","160, avenue de la Division Leclerc","","92290","Chatenay-Malabry","FR","2,27698200","48,76322600","27/04/2018 09:38:10"
"125880","Hôtel de Ville","26 Rue du Docteur le Savoureux","","92290","Châtenay-Malabry","FR","2,27766100","48,76728700","10/06/2019 13:55:56"
"125860","Cinéma LE REX","364, Avenue de la Division Leclerc","","92290","Châtenay-Malabry","FR","2,25992200","48,76588900","31/05/2018 11:32:31"
"125859","Complexe Sportif Léonard de Vinci","1, Avenue Léonard de Vinci","","92290","Chatenay-Malabry","FR","2,25161700","48,76544500","26/04/2018 17:06:03"
"125856","Espace SENIORS","291/293 avenue de la Division Leclerc","","92290","Chatenay-Malabry","FR","2,26579100","48,76454400","26/04/2018 16:54:16"
"125853","Auto BLEUE","CCAS 26 rue du Docteur Le Savoureux","26 rue du Docteur Le Savoureux","92290","Chatenay-Malabry","FR","2,27766100","48,76728700","26/04/2018 16:49:54"
"125851","Poste de Police Municipale Esplanade","301 avenue de la Division Leclerc","","92290","Chatenay-Malabry","FR","2,26115700","48,76519200","26/04/2018 16:41:58"
"125847","Police Municipale","301 avenue de la Division Leclerc","","92290","Chatenay-Malabry","FR","2,26115700","48,76519200","26/04/2018 16:18:40"
"125843","Véhicules de patrouille de la Police Municipale","301, Avenue de la Division Leclerc","","92290","Châtenay-Malabry","FR","2,26189580","48,76487737","05/12/2018 16:08:40"
