PRENOM;SEXE;ANNEE_NAISSANCE;OCCURRENCE;VILLE
Zeinab;Féminin;2018;1;ROISSY EN BRIE 
Alaya;Féminin;2018;1;ROISSY EN BRIE 
Shana;Féminin;2018;1;ROISSY EN BRIE 
Abderrahman;Masculin;2017;1;ROISSY EN BRIE 
Eléanor;Féminin;2017;1;ROISSY EN BRIE 
Ismaël ;Masculin;2016;1;ROISSY EN BRIE 
Aélaine ;Féminin;2016;1;ROISSY EN BRIE 
Pierre ;Masculin;2014;1;ROISSY EN BRIE 
Joema;Féminin;2014;1;ROISSY EN BRIE 
Hafsa ;Féminin;2014;1;ROISSY EN BRIE 
Dieynaba;Féminin;2013;1;ROISSY EN BRIE 
Nathanaël ;Masculin;2013;1;ROISSY EN BRIE 
Leïlani ;Féminin;2013;1;ROISSY EN BRIE 
Djibril ;Masculin;2013;1;ROISSY EN BRIE 
Louis ;Masculin;2012;1;ROISSY EN BRIE 
Othniel ;Masculin;2012;1;ROISSY EN BRIE 
Omaël ;Masculin;2012;1;ROISSY EN BRIE 
 ;;;;
