Section;Sens;Chapitre (Code);Montant du BP (Statistiques)
F;D;011;1 301 810,00
F;D;012;877 766,00
F;D;014;1 260 000,00
F;D;023;297 806,00
F;D;042;665 233,00
F;D;65;163 360,00
F;D;66;308 000,00
F;D;67;106 000,00
F;R;002;919 709,88
F;R;013;0,00
F;R;042;63 728,00
F;R;70;4 916 247,00
F;R;75;0,00
F;R;77;0,00
I;D;040;63 728,00
I;D;16;816 600,00
I;D;20;78 500,00
I;D;21;563 950,00
I;D;23;1 780 000,00
I;R;001;1 514 632,22
I;R;021;297 806,00
I;R;040;665 233,00
I;R;10;238 776,57
I;R;13;200 000,00
I;R;16;1 475 271,94
I;R;21;0,00
