Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;1 303 335,00;1 275 287,64
F;D;012;851 674,00;844 253,96
F;D;014;1 260 000,00;1 260 000,00
F;D;023;439 623,00;0,00
F;D;042;671 607,00;671 176,55
F;D;65;45 000,00;0,00
F;D;66;318 250,00;307 250,10
F;D;67;108 500,00;59 319,90
F;R;002;468 834,08;468 834,08
F;R;013;0,00;6 454,80
F;R;042;87 840,00;87 833,58
F;R;70;4 889 814,00;4 749 145,15
F;R;75;0,00;23 858,83
F;R;77;0,00;871,59
I;D;001;0,00;0,00
I;D;040;87 840,00;87 833,58
I;D;16;732 100,00;731 982,08
I;D;20;97 831,00;9 529,41
I;D;21;1 222 425,85;429 543,28
I;D;23;3 107 329,88;1 457 709,78
I;R;001;314 472,63;314 472,63
I;R;021;439 623,00;0,00
I;R;040;671 607,00;671 176,55
I;R;10;869 404,10;869 404,10
I;R;13;435 000,00;225 787,07
I;R;16;2 517 420,00;2 150 390,00
I;R;23;0,00;0,00
