Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;95 491,00;86 815,62
F;D;023;49 307,00;0,00
F;D;042;94 700,00;94 699,79
F;D;65;1,00;0,00
F;D;66;32 500,00;29 834,76
F;D;68;156 071,00;156 069,93
F;R;002;212 534,20;212 534,20
F;R;042;20 707,00;20 707,00
F;R;70;186 000,00;155 532,00
F;R;75;64 992,00;62 229,00
F;R;77;0,00;0,00
I;D;001;62 461,38;62 461,38
I;D;040;20 707,00;20 707,00
I;D;16;123 300,00;123 193,34
I;D;21;0,00;0,00
I;R;021;49 307,00;0,00
I;R;040;94 700,00;94 699,79
I;R;10;62 461,38;62 461,38
