;;;;;;;;;;;
;Effectifs des Ecoles maternelles en 2014-2015;;;;;;;;;;
;au 27/08/2014 ;;;;;;;;;;
;;;;;;;;;;;
;Effectifs par niveaux en 2014 - 2015;;;;;;;;Effectifs Maximum;Places Restantes;
;TPS;PS;MS;GS;TOTAL;nbre de classes;moyenne;;;;
Romain Rolland;;73;69;71;213;8;26,63;;216;3;
Les Bruyères;;41;38;39;118;5;23,60;;135;17;
Julie Daubié;;58;65;63;186;7;26,57;;189;3;
Courcoux;;32;43;27;102;4;25,50;;108;6;
Calmette;2;50;44;37;133;5;26,60;;135;2;
Victor Hugo;;39;38;29;106;4;26,50;;108;2;
TOTAL;2;293;297;266;858;33;26,00;;891;33;
;;;;;;;;;;;
EXT = 13;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
