;Effectifs des Ecoles élementaires en 2014-2015;;;;;;;;;;;;
;au 27/08/2014;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Effectifs par niveaux en 2014-2015;;;;;;;;CLIS;;;Effectif Maximum;Places restantes
;CP;CE1;CE2;CM1;CM2;TOTAL;nbre de classes;moyenne;;;;;
Romain Rolland;86;90;67;77;56;376;15;25,07;;;;375;-1
Waldeck Rousseau;78;65;77;57;75;352;14;25,14;1;12;;350;-2
Paul Langevin;81;82;69;76;84;392;16;24,50;;;;400;8
Victor Hugo;26;31;23;18;27;125;5;25,00;;;;125;0
TOTAL;271;268;236;228;242;1245;50;24,90;1;12;;1250;5
;;;;;;;;;;;;;
EXT = 22;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
