;;;;;;;;;;;;;
;Effectifs des Ecoles ‚lementaires en 2015-2016;;;;;;;;;;;;
;au 31/08/2015 ;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Effectifs par niveaux en 2015-2016;;;;;;;;CLIS;;;Effectif Maximum;Places restantes
;CP;CE1;CE2;CM1;CM2;TOTAL;nbr classes;moyenne;;;;;
Romain Rolland;70;79;86;65;75;375;15;25,00;;;;375;0
Waldeck Rousseau;67;75;73;72;63;350;14;25,00;1;12;;350;0
Paul Langevin;82;79;82;67;78;388;16;24,25;;;;400;12
Victor Hugo;31;26;29;21;18;125;5;25,00;;;;125;0
TOTAL;250;259;270;225;234;1238;50;24,76;1;12;;1250;12
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
