;;;;;;;;;;;
;;;;;;;;;;;
;Effectifs des Ecoles maternelles en 2015-2016;;;;;;;;;;
;au 31/08/2015 ;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;Effectifs par niveaux en 15 - 16;;;;;;;;Effectifs Maximum;Places Restantes;
;TPS;PS;MS;GS;TOTAL;nbr classes;moyenne;;;;
Romain Rolland;;80;66;69;215;8;26,88;;216;1;
Les Bruyères;;34;37;37;108;4;27,00;;108;0;
Julie Daubié;;71;53;60;184;7;26,29;;189;5;
Courcoux;;28;35;41;104;4;26,00;;108;4;
Calmette;;37;43;48;128;5;25,60;;135;7;
Victor Hugo;;31;39;39;109;4;27,25;;108;-1;
TOTAL;0;281;273;294;848;32;26,50;;864;16;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
