FID,codcomm,id_sect,surface,type,phasage,coment,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area
313,020549,2633,5568,Ah, , ,{CEC03FB9-24F4-40BD-AADE-BA1850CEA87E},2018/11/16 18:16:19,mickael.delaere,2018/11/16 18:16:19,mickael.delaere,426.078375214923,5568.1236666092
314,020691,2762,2324805,UB, ,Zones où s'applique le droit de préemption urbain (DPU),{1DA340BB-3743-438D-B71F-FD44F65C5442},2018/11/16 18:16:19,mickael.delaere,2018/11/16 18:16:19,mickael.delaere,16142.8742020721,2324805.2453226
315,020691,2777,917368,UCa, ,Zones où s'applique le droit de préemption urbain (DPU),{946A6EF6-38C0-4EBE-BA44-D306932E61B0},2018/11/16 18:16:20,mickael.delaere,2018/11/16 18:16:20,mickael.delaere,9989.62210401246,917367.905802867
316,020383,2808,55328,UE, ,Zones où s'applique le droit de préemption urbain (DPU),{6D74DE7A-DCC1-465E-856F-CD3BF9FD2982},2018/11/16 18:16:21,mickael.delaere,2018/11/16 18:16:21,mickael.delaere,1070.24524141769,55327.6118355964
317,020359,2850,50228,2AU,12 à 18 ans,Zones où s'applique le droit de préemption urbain (DPU),{34C0C982-B382-43BE-92AA-AB69562B5DAB},2018/11/16 18:16:22,mickael.delaere,2018/11/16 18:16:22,mickael.delaere,1225.52314074943,50227.7580905909
318,020340,2851,124309,2AU,12 à 18 ans,Zones où s'applique le droit de préemption urbain (DPU),{4EBDF3DE-031C-4DEF-84B9-772B4171B941},2018/11/16 18:16:23,mickael.delaere,2018/11/16 18:16:23,mickael.delaere,1449.98292884877,124308.671550486
319,020319,2634,1811,Ah, , ,{17B2EF98-11FC-42E5-B752-AFDDA07EC757},2018/11/16 18:16:24,mickael.delaere,2018/11/16 18:16:24,mickael.delaere,222.549901000914,1810.5766267
320,020340,2842,189582,1AUb,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{27C3BE0C-B56E-4A9A-9CC9-14BBA918134A},2018/11/16 18:16:25,mickael.delaere,2018/11/16 18:16:25,mickael.delaere,2205.40598623802,189581.807075257
321,020142,2589,13803,AL, , ,{0E4B9DB3-8B85-4056-BBE0-0228252E7213},2018/11/16 18:16:25,mickael.delaere,2018/11/16 18:16:25,mickael.delaere,473.680248365896,13802.9557910076
322,020359,2590,5075,AL, , ,{C1957C0D-8FC7-4400-AC97-6F276C75BC75},2018/11/16 18:16:26,mickael.delaere,2018/11/16 18:16:26,mickael.delaere,289.297576082863,5074.96763760324
323,020359,2635,18729,AL, , ,{4043F14A-E1ED-4784-B2D3-2703B54FA101},2018/11/16 18:16:27,mickael.delaere,2018/11/16 18:16:27,mickael.delaere,548.162932168502,18728.847664
324,020359,2636,17415,AL, , ,{7CF69AB8-9739-40D1-85AD-1BBED06A7AD8},2018/11/16 18:16:27,mickael.delaere,2018/11/16 18:16:27,mickael.delaere,532.901517086367,17414.8957989803
325,020549,2593,16968,UC, ,Zones où s'applique le droit de préemption urbain (DPU),{0917A202-CF70-4894-B44C-C551894F368F},2018/11/16 18:16:27,mickael.delaere,2018/11/16 18:16:27,mickael.delaere,659.230883870872,16967.9782393328
326,020549,2595,3018,UC, ,Zones où s'applique le droit de préemption urbain (DPU),{A27E0CA4-5A7A-4447-BC92-9813CA9EAF35},2018/11/16 18:16:28,mickael.delaere,2018/11/16 18:16:28,mickael.delaere,231.284775217551,3018.07755374279
327,020571,2637,1292,AL, , ,{8A13A89D-7ABD-4FB5-A570-B4B0E00E1E6B},2018/11/16 18:16:29,mickael.delaere,2018/11/16 18:16:29,mickael.delaere,146.588459414412,1292.32794987483
328,020571,2639,1708,AL, , ,{8EEA9CE1-C4D1-4E00-AECA-C96993580835},2018/11/16 18:16:29,mickael.delaere,2018/11/16 18:16:29,mickael.delaere,185.565819407968,1708.38696795204
329,020571,2640,1787,AL, , ,{65C31858-342C-431B-A0AF-11879CD4FAA3},2018/11/16 18:16:30,mickael.delaere,2018/11/16 18:16:30,mickael.delaere,178.900222918291,1787.37010002706
330,020420,2641,1679,AL, , ,{8591BCDD-7585-4855-A5E1-6811AC62514E},2018/11/16 18:16:30,mickael.delaere,2018/11/16 18:16:30,mickael.delaere,190.495300522119,1679.12139193497
331,020420,2878,6207,Nh, , ,{E7EFE827-E6F5-42D4-8D65-E59F7A9345C4},2018/11/16 18:16:31,mickael.delaere,2018/11/16 18:16:31,mickael.delaere,604.222873785299,6207.10142056438
332,020319,0,10631,Ap, , ,{DA2F5273-8625-4E29-850C-1CE23B5B6763},2018/11/16 18:16:31,mickael.delaere,2018/11/16 18:16:31,mickael.delaere,437.146998116674,10630.609135334
333,020340,2685,16767,NL, , ,{3721939C-7E72-4F8B-8F77-32489B167959},2018/11/16 18:16:31,mickael.delaere,2018/11/16 18:16:31,mickael.delaere,532.127478553777,16766.7275899357
334,020549,2686,7375,NL, , ,{A0E42687-DD09-41F7-BEC3-93D95AE14AD0},2018/11/16 18:16:32,mickael.delaere,2018/11/16 18:16:32,mickael.delaere,414.964990409338,7374.84079558946
335,020525,2856,11023,2AU,12 à 18 ans,Zones où s'applique le droit de préemption urbain (DPU),{52C50958-BE9D-4963-ABF3-2C24D406D941},2018/11/16 18:16:33,mickael.delaere,2018/11/16 18:16:33,mickael.delaere,463.644484641779,11023.1717883904
336,020525,2857,55669,2AU,12 à 18 ans,Zones où s'applique le droit de préemption urbain (DPU),{2C0E152E-DE4B-462E-8BD5-BCEEA27C6A00},2018/11/16 18:16:33,mickael.delaere,2018/11/16 18:16:33,mickael.delaere,1031.52035683173,55668.6247606243
337,020637,2860,11867,2AU,12 à 18 ans,Zones où s'applique le droit de préemption urbain (DPU),{E990F76E-1032-4779-AAE6-16333DA5A85E},2018/11/16 18:16:34,mickael.delaere,2018/11/16 18:16:34,mickael.delaere,644.675144516309,11867.1211601045
338,020214,2861,10617,1AU,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{7040672D-F2C5-4C12-9D98-F40C3FF11921},2018/11/16 18:16:34,mickael.delaere,2018/11/16 18:16:34,mickael.delaere,472.687875515163,10617.1933252047
339,020691,2825,30503,UEep, ,Zones où s'applique le droit de préemption urbain (DPU),{4176BF4E-68CF-4014-9375-9A589F8E6C3E},2018/11/16 18:16:34,mickael.delaere,2018/11/16 18:16:34,mickael.delaere,779.393277868132,30502.6243073964
340,020303,2862,60182,1AU,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{3FA71A71-1B02-42B9-A94D-39C4211E4588},2018/11/16 18:16:35,mickael.delaere,2018/11/16 18:16:35,mickael.delaere,1303.35587208935,60181.8748301025
341,020420,2863,8929,1AU,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{9C4DE011-87DE-453E-A374-616AA71FD0A5},2018/11/16 18:16:35,mickael.delaere,2018/11/16 18:16:35,mickael.delaere,399.676686442752,8928.77950798154
342,020383,2607,4939,Ah, , ,{2C233D3B-48BA-4A7C-8926-19F0EDD2B79B},2018/11/16 18:16:35,mickael.delaere,2018/11/16 18:16:35,mickael.delaere,317.489072366011,4938.97831523985
343,020383,2611,1264,Ah, , ,{40B482D2-8AD9-4B62-B35C-47AD0AECBD42},2018/11/16 18:16:36,mickael.delaere,2018/11/16 18:16:36,mickael.delaere,152.328812415735,1264.14682604745
344,020340,2664,124688,NL, , ,{6558CA02-024E-4EDD-9323-6AF4BB13E385},2018/11/16 18:16:36,mickael.delaere,2018/11/16 18:16:36,mickael.delaere,1546.07090577119,124687.664078058
345,020303,2837,14327,2AU,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{CA29196E-4A90-4E5B-8088-BEBDD04151E4},2018/11/16 18:16:37,mickael.delaere,2018/11/16 18:16:37,mickael.delaere,647.40450994416,14326.9953330927
346,020340,2583,271213,A, , ,{A9C84A02-5ACB-432B-B572-15475E89A910},2018/11/16 18:16:37,mickael.delaere,2018/11/16 18:16:37,mickael.delaere,3310.66406381774,271212.609676729
347,020322,2858,5081,2AU,12 à 18 ans,Zones où s'applique le droit de préemption urbain (DPU),{5F4E3D6D-E226-4B4C-A964-C9783B526A0C},2018/11/16 18:16:37,mickael.delaere,2018/11/16 18:16:37,mickael.delaere,363.61758130587,5080.83204310344
348,020525,2740,5885,U, ,Zones où s'applique le droit de préemption urbain (DPU),{71EE54E8-4B32-486B-9916-54E9916C9642},2018/11/16 18:16:38,mickael.delaere,2018/11/16 18:16:38,mickael.delaere,364.822136103071,5885.21506583184
349,020383,0,24118,Ap, , ,{6F50E34A-147E-45B9-8087-256C1BADFE6A},2018/11/16 18:16:39,mickael.delaere,2018/11/16 18:16:39,mickael.delaere,794.433481649442,24118.2082105637
350,020691,2775,4269,UC, ,Zones où s'applique le droit de préemption urbain (DPU),{574222A5-8C8C-4B02-8B43-010A7633E31A},2018/11/16 18:16:39,mickael.delaere,2018/11/16 18:16:39,mickael.delaere,263.483207036469,4269.41699860102
351,020571,2779,87440,UC, ,Zones où s'applique le droit de préemption urbain (DPU),{2086271C-2609-4297-862C-7E10E5D25523},2018/11/16 18:16:40,mickael.delaere,2018/11/16 18:16:40,mickael.delaere,1334.49391135498,87439.5259057014
352,020319,2864,16515,1AU,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{8BA8D6DB-D40C-4208-9061-3A4C9E5FF910},2018/11/16 18:16:40,mickael.delaere,2018/11/16 18:16:40,mickael.delaere,546.537213817331,16515.064744152
353,020340,2865,30989,1AUb,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{417C2D88-D142-48D4-A70D-BCC1DDD91A5F},2018/11/16 18:16:40,mickael.delaere,2018/11/16 18:16:40,mickael.delaere,717.619784815902,30988.6911145463
354,020459,0,10852,Ap, , ,{191292ED-1711-4C27-B481-0FE98008AC3E},2018/11/16 18:16:41,mickael.delaere,2018/11/16 18:16:41,mickael.delaere,439.215554935077,10851.9678642528
355,020142,2642,97534,N, , ,{BF6E08DC-0FE8-464A-9CC7-958A8BE5817E},2018/11/16 18:16:42,mickael.delaere,2018/11/16 18:16:42,mickael.delaere,2178.99926904928,97533.9866994905
356,020691,2785,24259,UE, ,Zones où s'applique le droit de préemption urbain (DPU),{1CF0EBAF-C792-47AC-A168-448130A1D7F8},2018/11/16 18:16:42,mickael.delaere,2018/11/16 18:16:42,mickael.delaere,816.358299551925,24259.2111561439
357,020383,2807,7566,UE, ,Zones où s'applique le droit de préemption urbain (DPU),{5F8FA553-9D09-41F4-AD5F-B4BE6AFB2003},2018/11/16 18:16:43,mickael.delaere,2018/11/16 18:16:43,mickael.delaere,347.941459625128,7565.80738631855
358,020359,2643,70151,N, , ,{85C652BA-07F2-4646-BBC5-7D3FD9543A20},2018/11/16 18:16:43,mickael.delaere,2018/11/16 18:16:43,mickael.delaere,1435.27837341977,70151.040899836
359,020340,2644,88741,N, , ,{987169B9-F687-4D8D-8BAC-B1577D43FAB0},2018/11/16 18:16:44,mickael.delaere,2018/11/16 18:16:44,mickael.delaere,1601.99720190758,88741.08173703
360,020691,2576,145090,A, , ,{19A2D208-ECEC-466F-A1A9-1D7E47C51570},2018/11/16 18:16:45,mickael.delaere,2018/11/16 18:16:45,mickael.delaere,2118.67852304732,145089.776474029
361,020142,2588,6627,AL, , ,{A6E2CD7C-FDE6-45EE-9E9D-870EA695CF7B},2018/11/16 18:16:45,mickael.delaere,2018/11/16 18:16:45,mickael.delaere,341.302931807984,6626.52286153522
362,020371,2646,53690,N, , ,{E0838F1D-87CC-4C4F-AF0C-7892766E40EB},2018/11/16 18:16:47,mickael.delaere,2018/11/16 18:16:47,mickael.delaere,1043.3949213541,53690.3682477788
363,020459,2647,42970,N, , ,{789DC776-3443-477A-BADF-F449742A05D8},2018/11/16 18:16:48,mickael.delaere,2018/11/16 18:16:48,mickael.delaere,881.189628944115,42970.3619316419
364,020691,2866,73476,1AUb,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{234232B3-1E06-496F-8D62-0260CA9C819F},2018/11/16 18:16:48,mickael.delaere,2018/11/16 18:16:48,mickael.delaere,1536.15953457095,73476.0938353149
365,020637,2624,1128,Ah, , ,{D5C21E5A-4229-4787-BF2B-FBFEDE87CF48},2018/11/16 18:16:49,mickael.delaere,2018/11/16 18:16:49,mickael.delaere,130.745876324104,1127.84392875138
366,020549,2632,1393,Ah, , ,{8C8C5B72-E648-4BFB-ACA6-EB09CD08E8D7},2018/11/16 18:16:50,mickael.delaere,2018/11/16 18:16:50,mickael.delaere,186.815809702583,1392.57230619617
367,020142,2675,13856,Nh, , ,{1F292A21-A0A9-430F-81B5-8606628908F4},2018/11/16 18:16:50,mickael.delaere,2018/11/16 18:16:50,mickael.delaere,577.068075287134,13855.9432935456
368,020310,2715,1031,Np, , ,{498D1843-A9DF-4EF5-83E7-703FE0837FF3},2018/11/16 18:16:51,mickael.delaere,2018/11/16 18:16:51,mickael.delaere,136.259306905939,1030.60413555806
369,020691,2648,33653,N, , ,{AA10DE85-6BC6-426B-A869-52EFD84E7131},2018/11/16 18:16:51,mickael.delaere,2018/11/16 18:16:51,mickael.delaere,1092.00446203027,33652.5784101838
370,020691,2649,3795,N, , ,{E7E0EC16-B5D5-4FD8-8FE9-CD72CFB2AD9C},2018/11/16 18:16:52,mickael.delaere,2018/11/16 18:16:52,mickael.delaere,249.326261879153,3795.22720656916
371,020371,2867,37252,1AUb,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{05A69983-D3CF-4DE6-9501-A466865B2544},2018/11/16 18:16:52,mickael.delaere,2018/11/16 18:16:52,mickael.delaere,956.623737192975,37252.4567583916
372,020691,2876,30864,UB, ,Zones où s'applique le droit de préemption urbain (DPU),{62A7CDC0-5FCA-49FF-A7FC-4C063BC90478},2018/11/16 18:16:53,mickael.delaere,2018/11/16 18:16:53,mickael.delaere,1253.48608115476,30864.0094779051
373,020340,2687,12833,NL, , ,{8E6EAD77-69CA-42B4-B73E-98B0E8F86A65},2018/11/16 18:16:53,mickael.delaere,2018/11/16 18:16:53,mickael.delaere,556.92347337832,12832.8796670033
374,020691,2868,24608,1AUb,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{FC8127E4-0714-4E8C-A7CE-9F2BD4AA091B},2018/11/16 18:16:54,mickael.delaere,2018/11/16 18:16:54,mickael.delaere,859.207141247709,24607.8096074038
375,020549,2869,58104,2AU,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{91F1564C-ECB0-4900-97DE-F075177DFF6A},2018/11/16 18:16:54,mickael.delaere,2018/11/16 18:16:54,mickael.delaere,1004.40082173747,58104.4980558238
376,020322,2870,38151,2AU,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{9D8696FE-3F15-448C-B06E-07F395915CB5},2018/11/16 18:16:55,mickael.delaere,2018/11/16 18:16:55,mickael.delaere,1086.51723335104,38150.7781704048
377,020310,2871,5887,2AU,6 à 12 ans,Zones où s'applique le droit de préemption urbain (DPU),{3248829C-1CE9-4FAC-852D-C315EF47CB42},2018/11/16 18:16:55,mickael.delaere,2018/11/16 18:16:55,mickael.delaere,428.559545195516,5887.23057039093
378,020371,2689,91347,NL, , ,{CB35B0CC-B062-4F76-BAE2-69D506CF77B3},2018/11/16 18:16:55,mickael.delaere,2018/11/16 18:16:55,mickael.delaere,1287.20939747096,91347.1756682511
379,020525,2872,121888,UEd, ,Zones où s'applique le droit de préemption urbain (DPU),{2964A51F-2745-42CC-9BA2-DCF19E026D11},2018/11/16 18:16:55,mickael.delaere,2018/11/16 18:16:55,mickael.delaere,1630.28031164556,121887.620718582
380,020691,2690,41387,NL, , ,{F3C8074B-995E-40D1-A6C0-504636F02028},2018/11/16 18:16:56,mickael.delaere,2018/11/16 18:16:56,mickael.delaere,966.848116205838,41386.5049486076
381,020420,2610,118997,A, , ,{4A4B89B8-E2F3-474F-B4CC-14483DFE57CB},2018/11/16 18:16:56,mickael.delaere,2018/11/16 18:16:56,mickael.delaere,2051.17595659795,118997.23135205
382,020383,2612,8191,Ah, , ,{7E21388A-2545-428D-B6CC-54F97E37713F},2018/11/16 18:16:56,mickael.delaere,2018/11/16 18:16:56,mickael.delaere,371.159635633832,8190.67282453884
383,020571,2613,2226,Ah, , ,{286E2734-DAF8-4991-953C-432BA1B4D826},2018/11/16 18:16:56,mickael.delaere,2018/11/16 18:16:56,mickael.delaere,270.82505619494,2226.31880785339
384,020571,2614,11380,Ah, , ,{CA66AEEB-C3E0-4613-9CF0-A5E1B4F74307},2018/11/16 18:16:57,mickael.delaere,2018/11/16 18:16:57,mickael.delaere,527.230253525655,11379.7622904181
385,020637,2615,13174,Ah, , ,{91B23E52-FFEA-43D6-8B6F-6310C901A8DF},2018/11/16 18:16:57,mickael.delaere,2018/11/16 18:16:57,mickael.delaere,661.746497081402,13173.9030445019
386,020691,2691,16745,NL, , ,{78DEA7AB-4B29-4871-95BD-68546B60B826},2018/11/16 18:16:57,mickael.delaere,2018/11/16 18:16:57,mickael.delaere,554.623536756094,16745.3635669688
387,020319,2663,725180,Nce, , ,{80E0125A-3008-4E44-9A2F-AAD1B280CB80},2018/11/16 18:16:57,mickael.delaere,2018/11/16 18:16:57,mickael.delaere,7777.81465116127,725179.671437975
388,020691,2568,45007,1AUec, ,Zones où s'applique le droit de préemption urbain (DPU),{A308B237-253D-43F1-8556-EC1D843AD5CD},2018/11/16 18:16:58,mickael.delaere,2018/11/16 18:16:58,mickael.delaere,884.588834339303,45006.5794206435
389,020310,2587,3323,Ah, , ,{49D3E7A1-59CA-4B64-B613-88872B33DB38},2018/11/16 18:16:58,mickael.delaere,2018/11/16 18:16:58,mickael.delaere,235.682607359154,3322.63475517571
390,020340,2594,155,Ah, ,ARTEFACT?,{BC984E1A-0CF3-4303-A887-E9CAB7990769},2018/11/16 18:16:58,mickael.delaere,2018/11/16 18:16:58,mickael.delaere,68.2421947831525,155.328195873364
391,020549,2598,2046,Ah, , ,{AF3147D1-1340-434B-94BD-D53B3262203F},2018/11/16 18:16:58,mickael.delaere,2018/11/16 18:16:58,mickael.delaere,216.281877847392,2046.30659127129
392,020319,2716,4999,Np, , ,{169C5D2C-EC1F-4C66-AD3D-A0202858ED40},2018/11/16 18:16:59,mickael.delaere,2018/11/16 18:16:59,mickael.delaere,421.157684350972,4998.77580131645
393,020481,2601,3026,Ah, , ,{5D8BE6C6-71DF-487A-97C6-793361157086},2018/11/16 18:16:59,mickael.delaere,2018/11/16 18:16:59,mickael.delaere,226.411031273635,3025.87095025843
394,020481,2602,2212,Ah, , ,{F1B7848C-F282-4DEF-92AA-962F14DC672A},2018/11/16 18:16:59,mickael.delaere,2018/11/16 18:16:59,mickael.delaere,196.202408268613,2211.86934821301
395,020371,2692,9176,NL, , ,{D5A444CC-D3DE-4DB2-8B9B-AFED73091429},2018/11/16 18:17:00,mickael.delaere,2018/11/16 18:17:00,mickael.delaere,661.870948163767,9176.2921631506
396,020691,2880,66645,NL, , ,{1748284C-05F4-4037-869B-AA4FF9E068C1},2018/11/16 18:17:00,mickael.delaere,2018/11/16 18:17:00,mickael.delaere,1413.92204673661,66644.536452287
397,020142,2619,3802,AL, , ,{2C6308EE-577F-439E-A0D3-557530D6D1B1},2018/11/16 18:17:00,mickael.delaere,2018/11/16 18:17:00,mickael.delaere,266.886216755749,3802.08751872409
398,020359,2828,13926,1AU,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{A4128AE5-67AD-458F-9A9F-38F28E97F8DB},2018/11/16 18:17:00,mickael.delaere,2018/11/16 18:17:00,mickael.delaere,476.225202633812,13925.9951233192
399,020359,2829,2364,1AU,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{8D8F8422-0D3E-476D-868B-60E485B4BCF5},2018/11/16 18:17:01,mickael.delaere,2018/11/16 18:17:01,mickael.delaere,237.870050945275,2364.3519867435
400,020659,2654,174867,N2000, , ,{1339890B-6738-406B-AECF-A13B8CA5BBF6},2018/11/16 18:17:01,mickael.delaere,2018/11/16 18:17:01,mickael.delaere,2570.59743774652,174866.97798352
401,020691,2786,2817595,UC, ,Zones où s'applique le droit de préemption urbain (DPU),{87503BE3-83E1-4130-B985-3DFA769511B8},2018/11/16 18:17:02,mickael.delaere,2018/11/16 18:17:02,mickael.delaere,24665.9284519988,2817594.97523868
402,020659,2735,325912,U, ,Zones où s'applique le droit de préemption urbain (DPU),{424CD7F6-53D8-4E23-B780-D2BB26306458},2018/11/16 18:17:02,mickael.delaere,2018/11/16 18:17:02,mickael.delaere,3752.72444075627,325911.557981129
403,020359,2830,48062,1AU,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{CBF7217E-CA48-4076-AF98-01F5C4404976},2018/11/16 18:17:02,mickael.delaere,2018/11/16 18:17:02,mickael.delaere,969.11784872459,48062.1741457278
404,020359,2831,5073,1AU,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{1548476A-9A72-4CF7-9FC5-0D5C8191F460},2018/11/16 18:17:03,mickael.delaere,2018/11/16 18:17:03,mickael.delaere,294.557714845199,5073.24393905036
405,020481,2832,32084,1AU,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{0229B83C-1F70-4850-8389-F1C05A4038CC},2018/11/16 18:17:03,mickael.delaere,2018/11/16 18:17:03,mickael.delaere,882.02695171458,32083.9026554477
406,020383,2662,24663,Nce, , ,{C342F26B-2DDD-40CA-B8FF-D24C588E0388},2018/11/16 18:17:03,mickael.delaere,2018/11/16 18:17:03,mickael.delaere,719.387735289676,24663.1621214676
407,020481,2833,19211,1AU,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{FFE23EE8-8688-415E-995F-C866A0564B48},2018/11/16 18:17:03,mickael.delaere,2018/11/16 18:17:03,mickael.delaere,592.681556254385,19210.9344065224
408,020383,2834,10491,1AU,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{ED0F036C-347F-46C6-9DF7-54CE308045AC},2018/11/16 18:17:04,mickael.delaere,2018/11/16 18:17:04,mickael.delaere,473.621292418902,10490.6666102982
409,020659,2835,99558,1AU,0 à 6 ans,Zones où s'applique le droit de préemption urbain (DPU),{0B8DA1E3-8E4C-47BE-8485-15F795359132},2018/11/16 18:17:04,mickael.delaere,2018/11/16 18:17:04,mickael.delaere,1428.44484569111,99557.7570173562
410,020691,2674,1357455,Nce, , ,{E0B1FB98-CD6C-4A30-B9F6-42A467DA56DF},2018/11/16 18:17:05,mickael.delaere,2018/11/16 18:17:05,mickael.delaere,11675.9536829557,1065502.75287905
411,020322,2707,15417,NL, , ,{E6608A6A-57AF-4546-B299-9DA7CBD98DCC},2018/11/16 18:17:05,mickael.delaere,2018/11/16 18:17:05,mickael.delaere,612.36314645625,15417.3171345943
412,020420,2628,5973647,A, , ,{71D148CD-A1B3-413E-B297-4BE003F8CE18},2018/11/16 18:17:05,mickael.delaere,2018/11/16 18:17:05,mickael.delaere,14555.851136623,5973646.94988369
413,020319,2586,2377796,A, , ,{FB385187-FD46-497B-BBF1-C53A11A14B2F},2018/11/16 18:17:06,mickael.delaere,2018/11/16 18:17:06,mickael.delaere,8006.94168562804,2377795.54326858
414,020549,2567,398463,1AUec, ,Zones où s'applique le droit de préemption urbain (DPU),{DE70493C-C6DD-4A59-A1B7-BE538CAFD2FF},2018/11/16 18:17:06,mickael.delaere,2018/11/16 18:17:06,mickael.delaere,2647.97678512647,398462.616729393
415,020319,2577,11047,Ah, , ,{358A075B-1493-4378-96DC-12CDAB713969},2018/11/16 18:17:07,mickael.delaere,2018/11/16 18:17:07,mickael.delaere,568.817052974883,11046.524655365
416,020383,2711,168923,A, , ,{BEC8570B-7355-4EF7-9FDB-8769F77EFBCE},2018/11/16 18:17:07,mickael.delaere,2018/11/16 18:17:07,mickael.delaere,2515.4307293869,168923.276371803
417,020319,2708,28275,NL, , ,{EE46EFFA-95EE-47FC-BB74-469222D06778},2018/11/16 18:17:08,mickael.delaere,2018/11/16 18:17:08,mickael.delaere,682.954788579476,28275.3877588681
