OBJECTID,code_voie,metre,t_inf140,t_inf120,t_inf90,t_inf120sm,t_p5,t_p8,t_p12,t_dev2,t_sol,t_cont_rc,t_contv_ch,t_abstrot,numphoto,observatio,commune,chiffrage,fk_objet,created_user,created_date,last_edited_user,last_edited_date,rue,url_photo_avant,url_photo_apres,clc_taux_courant,clc_taux_initial,tmp_somme_taux,CreationDate,Creator,EditDate,Editor,GlobalID,SHAPE_Length
1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1410398,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410398.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{BFB095CF-2DAC-4C59-B871-104E7D22F5A3},96.5763201896832
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1410662,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410662.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{398DF2D5-D37D-491B-879B-E35475A84E23},60.3963699044503
3,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,1440489,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1440489.JPG,nophoto.JPG,0,0,1.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{8393C2DB-366E-45DC-823A-F70067A37284},111.035648372434
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1440495,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1440495.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{C191C2EE-8170-498B-AFD6-30AA40E031E5},89.4271390284634
5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1440364,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1440364.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{D9DE3B29-336B-41A6-AE84-6E42D470AC3F},43.17661004097
6,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1440459,Aucune observation,SAINT-QUENTIN,700,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1440459.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{A98637B8-B4EA-4886-B80F-88537B4A09C1},116.011672015108
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nophoto,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,nophoto.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{624DFDE5-CED7-423E-A702-6A2C5AB21A4D},66.3851654558271
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1440480,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1440480.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{D6DD85E3-DC37-4DD2-B4D5-D6856740D671},44.6259069284177
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440367,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1440367.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{4D923915-855D-45CE-9137-62E1F67C61D7},74.2224045053314
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nophoto,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,nophoto.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{395BC54B-D847-4229-B1D2-B8C05A6705A4},76.6827554309488
