Subventions associations culturelles :;"162687;"
"Soutien cr‚ateurs Lilasiens : 185;";
Participants Lil?art :  ;"124;"
5 r‚sidences ou compagnonnages;"5;"
ducation artistique et culturelle (nbr d'eleves) :;"5500;"
partenaires externes et municipaux;"38;"
Secteur ‚v‚nementiel spectateurs :;"8000;"
rendez-vous publics;"48;"
participants actifs;"540;"
groupes de musiques actuelles;"5;"
Cultures d'Hivers rdv ;22
Centre culturel Jean Cocteau :;
ateliers de pratique amateur;"42;"
adh‚rents;"1262;"
7 expositions/r‚sidences d?artistes;"7;"
visiteurs;"3500;"
spectateurs;"3000;"
eleves en m‚diation et ‚ducation artistique;"1800;"
conf‚rences;"8;"
Th‚ƒtre-cin‚ma du Garde-Chasse :;
spectacle vivant (spectateurs) :;"30000;"
spectacles pro et amateur;"52;"
? Cin‚ma :;
100 films environ/556 s‚ances;
15 400 spectateurs en cin‚ma;
Accueil scolaire : 6 500 ‚lŠves;
Dont ‚ducation … l?image : 3 700 ‚lŠves;
