DepCode,DepLib,ComInsee,ComLib,InsNumeroInstall,InsNom,InsNoVoie,InsLibelleVoie,InsLieuDit,InsCodePostal,InsNbPlaceParking,InsNbPlaceParkingHandi,InsGardiennee,InsEmpriseFonciere,InsDateCreation,InsDateMaj,Nb_FicheEquipement,Nb_Equipements,latitude,longitude
33,Gironde,33001,Abzac,330010001,Stade Fernand Rode,,Rue du Docteur Texier,,33230,170,4,Sans logement de gardien,58661,2005-12-12 00:00:00,2014-05-12 00:00:00,5,6,45.016919,-0.130327
33,Gironde,33001,Abzac,330010002,Point d'Embarquement Sur Isle,,,,33230,0,0,Non,,2007-10-12 00:00:00,2014-11-17 00:00:00,1,1,45.014562,-0.094602
33,Gironde,33002,Aillas,330020001,Stade Municipal,,,La Bassane Est,33124,0,0,Non,23760,2005-12-12 00:00:00,2013-05-14 00:00:00,3,4,44.47542,-0.077827
33,Gironde,33002,Aillas,330020002,Foyer Rural,,,Aillas le Grand,33124,0,0,Non,344,2005-12-12 00:00:00,2013-05-14 00:00:00,1,1,44.473871,-0.074659
33,Gironde,33002,Aillas,330020003,Poney Club de Paupail,,Brigail,,33124,0,0,Non,150000,2005-12-12 00:00:00,2013-05-14 00:00:00,1,1,44.480884,-0.053467
33,Gironde,33002,Aillas,330020004,Chemin de Randonnee,,,,33124,0,0,Non,0,2007-10-03 00:00:00,2015-11-04 15:11:01.857000000,1,1,44.463305,-0.067749
33,Gironde,33002,Aillas,330020008,Ecuries du Tempo,,,Jean Duc Est,33124,10,0,Non,800,2014-11-21 15:08:16.353000000,2014-12-10 00:00:00,2,2,44.500888,-0.072863
33,Gironde,33003,Ambarès-et-Lagrave,330030002,Plateau Multisports Erables,,Résidence des Erables Impasse Barrus,,33440,0,0,Non,0,2005-12-12 00:00:00,2013-01-02 00:00:00,1,1,44.933015,-0.478668
33,Gironde,33003,Ambarès-et-Lagrave,330030003,Plateau Multisports Bel Air,,Av de Bel Air,,33440,0,0,Non,0,2005-12-12 00:00:00,2012-10-10 00:00:00,1,1,44.924091,-0.502562
33,Gironde,33003,Ambarès-et-Lagrave,330030005,Boulodrome des Erables,,Résidence des Erables Impasse Barrus,,33440,0,0,Non,0,2005-12-12 00:00:00,2012-10-10 00:00:00,1,1,44.933015,-0.478668
