STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Ambès1,NO2,2015-01-01,7,5,6,9,28,22,13,14,18,14,10,10,8,9,7,9,15,25,25,23,19,17,12,9,5,28,14
Ambès1,NO2,2015-01-02,7,6,6,8,8,10,11,13,12,11,11,10,12,13,15,22,27,32,27,29,23,22,18,19,6,32,16
Ambès1,NO2,2015-01-03,19,18,16,15,14,15,19,21,20,23,27,29,12,4,4,9,6,1,1,1,0,1,0,0,0,29,11
Ambès1,NO2,2015-01-04,0,1,4,6,2,4,2,2,10,11,8,6,2,3,13,9,7,9,9,21,14,11,12,13,0,21,7
Ambès1,NO2,2015-01-05,17,27,24,15,19,19,19,14,14,13,11,12,12,10,12,12,13,14,12,9,8,10,10,10,8,27,14
Ambès1,NO2,2015-01-06,10,11,13,9,12,22,19,26,21,18,18,15,13,13,16,22,23,25,23,22,20,17,17,16,9,26,18
Ambès1,NO2,2015-01-07,15,12,12,10,10,11,14,15,17,15,16,17,16,13,17,24,32,43,35,39,40,37,32,27,10,43,22
Ambès1,NO2,2015-01-08,23,25,23,18,17,20,23,26,28,34,38,45,38,35,11,5,6,4,5,12,17,17,9,11,4,45,20
Ambès1,NO2,2015-01-09,19,11,3,7,15,19,10,28,27,12,9,4,6,9,7,9,13,12,8,6,4,2,0,1,0,28,10
Ambès1,NO2,2015-01-10,0,0,4,1,6,2,2,5,3,12,6,4,2,1,3,2,4,11,4,6,3,2,1,9,0,12,4
Ambès1,NO2,2015-01-11,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,5,35,40,32,22,51,51,41,0,51,12
Ambès1,NO2,2015-01-12,30,22,20,13,13,13,23,31,22,16,13,19,21,25,28,36,44,42,29,41,46,31,28,19,13,46,26
Ambès1,NO2,2015-01-13,17,15,15,16,21,31,40,44,42,34,32,7,6,4,4,10,15,7,11,9,3,2,1,0,0,44,16
Ambès1,NO2,2015-01-14,0,5,1,2,5,9,16,34,24,14,14,3,3,3,4,5,9,17,39,62,28,14,10,7,0,62,14
Ambès1,NO2,2015-01-15,6,7,7,8,10,15,20,28,29,23,20,25,30,34,40,22,46,28,27,18,32,57,32,1,1,57,24
Ambès1,NO2,2015-01-16,0,0,0,1,12,28,38,42,52,50,44,17,17,15,9,12,5,11,14,16,11,5,4,6,0,52,17
Ambès1,NO2,2015-01-17,7,15,15,6,5,10,7,27,33,20,10,11,10,5,6,8,12,34,27,21,25,12,8,8,5,34,14
Ambès1,NO2,2015-01-18,5,5,5,5,6,5,5,5,6,6,6,6,5,4,4,7,11,11,7,6,5,8,6,7,4,11,6
Ambès1,NO2,2015-01-19,7,7,5,5,6,9,17,14,16,16,11,9,6,5,8,7,7,7,8,6,5,9,10,6,5,17,9
Ambès1,NO2,2015-01-20,8,13,14,20,13,19,25,32,39,41,39,31,9,8,9,11,20,26,26,32,38,37,26,29,8,41,24
Ambès1,NO2,2015-01-21,25,20,14,14,14,17,19,23,21,15,12,15,16,15,17,14,16,26,22,26,31,29,15,8,8,31,19
Ambès1,NO2,2015-01-22,5,5,4,3,3,5,13,13,10,7,7,6,5,5,4,6,9,11,11,11,13,13,12,11,3,13,8
Ambès1,NO2,2015-01-23,9,9,10,11,13,15,19,23,21,18,16,16,13,11,12,12,15,19,20,19,19,17,16,15,9,23,15
Ambès1,NO2,2015-01-24,16,15,22,23,27,34,35,35,36,37,33,26,17,14,11,9,10,12,28,25,8,7,5,5,5,37,20
Ambès1,NO2,2015-01-25,5,4,5,4,7,5,5,8,7,7,6,7,5,4,3,3,7,8,8,18,13,26,29,22,3,29,9
Ambès1,NO2,2015-01-26,19,24,26,26,27,33,39,47,52,61,62,29,19,15,11,18,21,18,21,17,15,14,10,10,10,62,26
Ambès1,NO2,2015-01-27,10,2,2,2,2,3,5,7,7,,,,8,8,7,6,8,21,12,12,7,7,11,19,2,21,8
Ambès1,NO2,2015-01-28,15,21,15,14,29,16,24,27,47,39,23,18,13,7,7,14,16,11,4,2,4,2,1,6,1,47,16
Ambès1,NO2,2015-01-29,10,1,1,9,4,4,10,6,7,12,4,4,4,9,4,3,2,4,1,2,3,3,0,1,0,12,5
Ambès1,NO2,2015-01-30,0,1,0,1,1,3,30,27,10,13,13,5,2,1,1,2,4,13,15,18,19,17,13,3,0,30,9
Ambès1,NO2,2015-01-31,2,4,2,3,3,4,4,6,5,3,6,1,1,2,2,1,4,9,6,4,5,3,4,2,1,9,4
Ambès1,NO2,2015-02-01,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,5,11,9,8,6,8,7,0,11,3
Ambès1,NO2,2015-02-02,4,9,2,19,38,50,56,54,55,48,45,39,19,9,9,8,5,13,12,8,8,6,4,4,2,56,22
Ambès1,NO2,2015-02-03,3,5,4,3,4,6,6,9,12,9,8,6,4,3,5,6,12,15,13,11,12,10,8,8,3,15,8
Ambès1,NO2,2015-02-04,5,4,4,3,4,6,7,8,7,6,9,12,13,14,12,12,14,15,14,11,8,9,11,8,3,15,9
Ambès1,NO2,2015-02-05,6,5,5,5,5,5,7,5,5,4,3,3,2,3,3,3,4,6,7,6,5,5,6,7,2,7,5
Ambès1,NO2,2015-02-06,7,7,7,9,10,13,16,14,11,9,8,9,8,8,8,7,8,9,9,8,9,11,12,10,7,16,9
Ambès1,NO2,2015-02-07,7,6,8,8,9,9,10,12,12,12,10,8,7,6,7,6,7,9,9,9,8,8,8,7,6,12,8
Ambès1,NO2,2015-02-08,7,7,6,6,7,11,13,11,8,7,6,5,3,3,3,3,4,6,6,4,4,5,3,3,3,13,6
Ambès1,NO2,2015-02-09,3,4,4,4,4,7,11,13,10,12,10,3,4,5,7,9,11,13,10,6,6,8,7,6,3,13,7
Ambès1,NO2,2015-02-10,7,8,7,5,8,18,20,32,27,24,17,8,7,6,9,15,18,27,37,32,28,22,32,46,5,46,19
Ambès1,NO2,2015-02-11,43,42,41,33,34,32,35,38,32,25,24,26,23,17,13,14,19,38,35,45,39,24,33,51,13,51,32
Ambès1,NO2,2015-02-12,55,49,49,44,41,39,39,41,33,33,32,35,27,20,16,14,16,21,30,37,41,27,23,19,14,55,33
Ambès1,NO2,2015-02-13,15,13,15,12,19,22,29,31,38,29,27,17,9,10,9,11,14,12,9,4,7,8,2,5,2,38,15
Ambès1,NO2,2015-02-14,7,4,3,1,2,2,3,5,6,2,6,2,2,4,3,2,4,5,12,7,4,6,9,8,1,12,5
Ambès1,NO2,2015-02-15,8,7,17,14,8,8,9,12,8,6,3,2,1,1,1,2,2,11,5,5,6,4,6,10,1,17,7
Ambès1,NO2,2015-02-16,16,17,7,6,7,21,22,37,30,34,42,28,17,12,8,13,15,20,24,25,27,22,11,2,2,42,19
Ambès1,NO2,2015-02-17,2,2,2,3,3,3,4,4,4,5,5,5,5,4,7,6,5,5,7,6,5,5,5,6,2,7,5
Ambès1,NO2,2015-02-18,6,7,6,5,5,6,11,10,9,8,8,7,6,7,9,10,14,10,11,15,15,21,25,26,5,26,11
Ambès1,NO2,2015-02-19,28,27,30,25,26,23,27,25,25,19,19,11,8,10,11,12,16,24,28,53,47,29,21,26,8,53,24
Ambès1,NO2,2015-02-20,38,52,52,46,38,30,24,37,40,37,34,39,32,13,8,10,14,16,16,11,10,3,5,9,3,52,26
Ambès1,NO2,2015-02-21,2,2,1,7,2,7,16,47,17,5,5,1,1,1,1,0,1,6,6,6,6,3,3,3,0,47,6
Ambès1,NO2,2015-02-22,5,2,2,2,2,5,6,8,5,3,3,3,1,2,2,1,3,6,8,10,8,5,3,3,1,10,4
Ambès1,NO2,2015-02-23,3,5,1,1,1,2,3,2,3,3,3,2,2,2,1,2,3,3,4,3,1,2,1,2,1,5,2
Ambès1,NO2,2015-02-24,0,3,3,1,2,3,4,2,7,1,,,,0,0,0,0,1,1,1,0,7,8,6,0,8,2
Ambès1,NO2,2015-02-25,6,5,4,14,20,18,28,48,35,5,2,1,1,2,1,1,2,2,1,1,1,1,0,0,0,48,8
Ambès1,NO2,2015-02-26,2,0,1,4,3,4,6,3,7,3,3,1,0,2,2,6,6,18,4,3,0,2,1,0,0,18,3
Ambès1,NO2,2015-02-27,0,0,0,0,0,2,3,1,2,1,1,1,1,1,2,1,1,2,4,4,8,14,17,19,0,19,4
Ambès1,NO2,2015-02-28,18,24,42,48,34,20,20,22,15,15,16,7,7,8,7,10,14,22,20,7,2,3,2,3,2,48,16
Ambès1,NO2,2015-03-01,5,1,7,0,0,0,1,0,1,0,3,3,3,8,6,2,4,3,3,3,1,8,1,0,0,8,3
Ambès1,NO2,2015-03-02,1,1,5,4,0,2,6,7,5,4,6,3,4,1,2,4,5,2,7,4,4,6,6,6,0,7,4
Ambès1,NO2,2015-03-03,9,16,25,30,22,28,38,37,45,41,21,3,2,3,12,6,6,5,2,4,2,1,1,0,0,45,15
Ambès1,NO2,2015-03-04,0,0,0,1,1,3,4,4,3,1,4,2,2,0,0,0,3,1,2,4,3,3,3,3,0,4,2
Ambès1,NO2,2015-03-05,3,3,2,3,4,7,8,10,9,8,4,4,3,3,3,4,5,8,9,10,10,8,10,10,2,10,6
Ambès1,NO2,2015-03-06,12,18,21,16,14,25,22,27,26,5,6,5,4,4,3,3,5,17,34,29,25,32,59,37,3,59,19
Ambès1,NO2,2015-03-07,29,43,42,41,16,33,36,19,19,12,13,17,15,12,16,21,22,21,6,6,4,6,8,13,4,43,20
Ambès1,NO2,2015-03-08,14,12,8,13,7,17,20,14,9,7,5,2,2,3,2,2,2,5,7,2,2,1,1,1,1,20,7
Ambès1,NO2,2015-03-09,1,1,1,1,1,7,11,8,11,7,8,6,6,6,17,15,17,21,29,31,15,6,5,7,1,31,10
Ambès1,NO2,2015-03-10,9,10,5,5,7,7,13,14,13,11,10,9,10,7,6,7,10,16,18,19,16,14,12,9,5,19,11
Ambès1,NO2,2015-03-11,8,7,9,8,12,12,21,21,18,15,13,,6,4,4,4,6,7,7,7,4,3,3,3,3,21,9
Ambès1,NO2,2015-03-12,2,2,2,3,11,10,16,8,7,8,11,10,10,10,8,9,9,7,5,4,7,7,4,3,2,16,7
Ambès1,NO2,2015-03-13,3,3,3,4,9,25,22,6,0,0,1,1,1,0,1,1,1,1,3,1,1,0,1,3,0,25,4
Ambès1,NO2,2015-03-14,1,1,2,2,0,3,3,5,4,6,5,5,4,6,7,8,11,13,12,12,10,10,10,9,0,13,6
Ambès1,NO2,2015-03-15,11,13,14,12,10,10,11,11,10,8,6,7,7,8,9,9,8,9,10,10,10,9,8,8,6,14,10
Ambès1,NO2,2015-03-16,8,8,8,8,8,10,15,17,18,18,14,12,13,13,12,16,14,23,24,21,21,19,16,14,8,24,15
Ambès1,NO2,2015-03-17,12,11,11,11,13,13,19,19,13,13,11,8,6,6,6,6,8,10,21,29,25,20,12,12,6,29,13
Ambès1,NO2,2015-03-18,10,8,6,7,7,12,12,14,10,13,10,7,6,5,5,5,9,15,24,23,22,17,15,14,5,24,12
Ambès1,NO2,2015-03-19,15,18,12,13,11,19,27,19,21,21,16,18,16,17,14,14,14,17,18,17,14,14,13,11,11,27,16
Ambès1,NO2,2015-03-20,11,11,10,9,8,10,12,10,10,13,12,11,10,10,9,13,19,24,19,19,21,32,26,20,8,32,15
Ambès1,NO2,2015-03-21,17,13,11,10,11,13,13,14,14,12,11,8,6,10,11,13,13,13,11,12,12,13,13,11,6,17,12
Ambès1,NO2,2015-03-22,12,13,12,10,10,9,9,9,9,8,7,7,6,6,7,7,9,10,11,10,11,10,9,9,6,13,9
Ambès1,NO2,2015-03-23,8,8,8,10,10,15,23,25,17,12,10,8,8,7,7,10,9,12,14,12,10,10,9,10,7,25,11
Ambès1,NO2,2015-03-24,12,10,10,11,14,23,26,25,16,14,13,,,,4,6,6,7,4,3,5,10,11,4,3,26,11
Ambès1,NO2,2015-03-25,4,3,1,2,5,7,10,3,3,1,2,1,1,0,0,0,1,0,1,1,2,5,2,5,0,10,3
Ambès1,NO2,2015-03-26,3,2,3,6,19,52,49,50,46,22,8,4,4,5,5,3,5,1,0,0,1,1,2,2,0,52,12
Ambès1,NO2,2015-03-27,1,1,1,2,1,9,8,3,1,1,0,0,0,0,0,2,4,8,5,2,11,4,0,0,0,11,3
Ambès1,NO2,2015-03-28,0,0,2,0,0,2,4,3,2,0,0,1,0,0,0,0,0,0,4,2,1,0,0,2,0,4,1
Ambès1,NO2,2015-03-29,0,0,1,0,0,0,11,1,1,0,0,0,0,0,0,0,1,2,5,5,0,0,0,0,0,11,1
Ambès1,NO2,2015-03-30,0,0,0,0,0,2,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,6,0,6,1
Ambès1,NO2,2015-03-31,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
