objectid,code_bureau,code_circonscription,commune,date_maj,inseecom,code_canton,nom_bureau,nom_canton,inscrit
641,E3,2,BELFORT,21/09/2016,90010,43,Groupe scolaire Raymond Aubert - Rue de la 1ère Armée Française,N°4 Belfort-3,813
642,J2,2,BELFORT,21/09/2016,90010,21,Ecole maternelle René Rucklin - Rue de Rome,N°2 Belfort-1,1000
643,K2,2,BELFORT,21/09/2016,90010,21,Groupe scolaire Louis Pergaud - Rue de Zaporojie,N°2 Belfort-1,778
644,L2,2,BELFORT,21/09/2016,90010,21,Ecole maternelle des Barres - Via d'Auxelles,N°2 Belfort-1,894
645,E2,2,BELFORT,21/09/2016,90010,43,Groupe scolaire Raymond Aubert - Rue de la 1ère Armée Française,N°4 Belfort-3,997
646,E1,2,BELFORT,21/09/2016,90010,43,Groupe scolaire Raymond Aubert - Rue de la 1ère Armée Française ,N°4 Belfort-3,993
647,N2,1,BELFORT,21/09/2016,90010,43,Maison de Quartier des Forges - 3 Rue de Marseille,N°4 Belfort-3,1083
648,N1,1,BELFORT,21/09/2016,90010,43,Gymnase SERZIAN - Rue Floréal,N°4 Belfort-3,1034
649,L1,2,BELFORT,21/09/2016,90010,21,CC Social des Barres et du Mont - 26 Avenue du Château d'eau,N°2 Belfort-1,826
650,L3,2,BELFORT,21/09/2016,90010,21,Ecole maternelle des Barres - Via d'Auxelles,N°2 Belfort-1,777
651,F1,2,BELFORT,21/09/2016,90010,43,Maison de l'Enfant - Rue Allendé,N°4 Belfort-3,857
652,F2,2,BELFORT,21/09/2016,90010,43,Groupe scolaire Emile Géhant - Avenue des Frères Lumière,N°4 Belfort-3,1029
653,J1,2,BELFORT,21/09/2016,90010,21,Ecole primaire René Rucklin - Rue Braille,N°2 Belfort-1,945
654,C2,1,BELFORT,21/09/2016,90010,32,Maison du Peuple - Place de la Résistance ,N°3 Belfort-2,739
655,D1,1,BELFORT,21/09/2016,90010,32,Groupe scolaire Châteaudun - Rue de Châteaudun,N°3 Belfort-2,1053
656,H1,2,BELFORT,21/09/2016,90010,21,Annexe du Collège de Vinci - Faubourg de Lyon,N°2 Belfort-1,1033
657,C1,1,BELFORT,21/09/2016,90010,32,Ecole Victor Schoelcher - Rue Gaston  Defferre,N°3 Belfort-2,1235
658,D3,1,BELFORT,21/09/2016,90010,32,Groupe scolaire Châteaudun - Rue de Châteaudun,N°3 Belfort-2,896
659,A2,1,BELFORT,21/09/2016,90010,32,Salle des Fêtes - Place de la République,N°3 Belfort-2,1156
660,B2,1,BELFORT,21/09/2016,90010,32,Groupe scolaire Victor Hugo - Faubourg de Montbéliard,N°3 Belfort-2,1124
661,M1,1,BELFORT,21/09/2016,90010,43,Ecole maternelle Antoine de Saint-Exupéry - Rue de la Paix,N°4 Belfort-3,1056
662,A1,1,BELFORT,21/09/2016,90010,32,Hôtel de Ville - Place d'Armes,N°3 Belfort-2,988
663,K1,2,BELFORT,21/09/2016,90010,21,Groupe scolaire Louis Pergaud - Rue de Zaporojie,N°2 Belfort-1,953
664,C3,1,BELFORT,21/09/2016,90010,32,Maison du Peuple - Place de la Résistance,N°3 Belfort-2,939
665,B1,1,BELFORT,21/09/2016,90010,32,Groupe scolaire Victor Hugo - Faubourg de Montbéliard,N°3 Belfort-2,1113
666,D2,1,BELFORT,21/09/2016,90010,32,Groupe scolaire Châteaudun - Rue de Châteaudun,N°3 Belfort-2,818
667,G1,2,BELFORT,21/09/2016,90010,21,Groupe scolaire Hubert Metzger - Rue Cuvier,N°2 Belfort-1,653
668,G2,2,BELFORT,21/09/2016,90010,21,Groupe scolaire Hubert Metzger - Rue Claude Bernard,N°2 Belfort-1,749
