X,Y,FID,secteur,adresse,situation,point_x,point_y,source,export
55.4475034380001,-20.8919480829999,1,Bellepierre,Allée des Saphirs,"Entrée de la résidence ""Pente de La Source""","338520,20202496","7689030,3914633",CINOR,26/08/2019
55.446646109,-20.8911649459999,2,Bellepierre,Allée des Girasols,"Sur le trottoir en face du restaurant "" Le Goulapia""","338430,17658796","7689116,2219264",CINOR,26/08/2019
55.4467869740001,-20.893143025,3,Bellepierre,Allée des Opales,près les escaliers du parking SIDR opales,"338446,94523152","7688897,3841602",CINOR,26/08/2019
55.4439586560001,-20.893894093,4,Bellepierre,Allée des Emeraudes,"Face au numéro 8, espace en terre sous l'arbre","338153,52373909","7688811,3962376",CINOR,26/08/2019
55.4468568720001,-20.89534724,5,Bellepierre,Allée des Saphirs,"près de l'hôtel ""Concorde""","338456,57684802","7688653,445343",CINOR,26/08/2019
55.4463742900001,-20.8962194429999,6,Bellepierre,Allée des Topazes,Sur espace vert en amont de la mairie annexe( sens descendant),"338407,31023441","7688556,4095417",CINOR,26/08/2019
55.450450785,-20.893935373,7,Bellepierre,Boulevard Gaston Monerville,Près de l'arrêt de bus le Maïdo,"338828,9469088","7688813,3542129",CINOR,26/08/2019
55.4487814870001,-20.8991876339999,8,Bellepierre,Allée des spinelles,près de la résidence SEDRE granité,"338660,9042191","7688230,2467642",CINOR,26/08/2019
55.4486227730001,-20.900022414,9,Bellepierre,Allée des spinelles,près du parc de jeux,"338645,28826613","7688137,671885",CINOR,26/08/2019
55.442941052,-20.8966388649999,10,Bellepierre,Angle allées des Topazes et des Grenats, ,"338050,60441321","7688506,5181797",CINOR,26/08/2019
55.4448454380001,-20.8988263649999,11,Bellepierre,Allée des Rubis,Près du numéro 24,"338251,05852854","7688266,275662",CINOR,26/08/2019
55.446622898,-20.9030304039999,12,Bellepierre,Allée des Perles,Près de l'arrêt de bus les Perles,"338440,46805319","7687802,6676022",CINOR,26/08/2019
55.4444988400001,-20.901129926,13,Bellepierre,Angle Rue des topazes et allée des diamants,Près de la citerne,"338217,47441626","7688010,9211337",CINOR,26/08/2019
55.4439256520001,-20.9004387699999,14,Bellepierre,Angle allées des Topazes et des Turquoises,Près du numéro 126,"338157,10535377","7688086,8580362",CINOR,26/08/2019
55.442410523,-20.901861502,15,Bellepierre,Angle Allée des topazes et Allée des Hématites,Près du mur Moellons,"338001,02039284","7687927,8262214",CINOR,26/08/2019
55.4420697720001,-20.90206684,16,Bellepierre,Allée des Hématites,"Entrée lotissement ""Les Oiseaux""","337965,79514616","7687904,7508389",CINOR,26/08/2019
55.443352148,-20.9059170579999,17,Bellepierre,Allée des Topazes,en face du N° 209,"338103,32727962","7687479,8186488",CINOR,26/08/2019
55.444743197,-20.904930673,18,Bellepierre,Allée des Tourmalines,Près de l'arrêt de bus les Tourmalines  (sens descendant),"338246,97201972","7687590,4161319",CINOR,26/08/2019
55.4414331150001,-20.9044586909999,19,Bellepierre,Allée des Topazes,Près de l'arrêt de bus Bassin Couderc,"337902,13810367","7687639,3239453",CINOR,26/08/2019
55.477160466,-20.902017062,20,Bois de Nèfles,Angle chemin Finette et CD 49,Prés du rond point des Glaces,"341616,04276095","7687945,2801232",CINOR,26/08/2019
55.4792756080001,-20.910499429,21,Bois de Nèfles,Rue de la clinique,Au niveau du N° 51,"341844,96199712","7687008,3616714",CINOR,26/08/2019
55.477263672,-20.9111259929999,22,Bois de Nèfles,Angle route Bois de Nèfles et chemin des Acajous, ,"341636,34229913","7686937,016529",CINOR,26/08/2019
55.477387074,-20.912227854,23,Bois de Nèfles,Angle des chemins Acajous et Bringeliers,"Près de l'arrêt de bus ""Les Bringelliers""","341650,33706952","7686815,1647503",CINOR,26/08/2019
