X,Y,FID,nombre,localisati,secteur,etat,source,export,controle
55.509339986,-20.916474249,1,1,chemln ilet quinquinat,domenjod,Détruite,CINOR,26/08/2019,03/08/01
55.5061409360001,-20.916302211,2,3,cité SHLMR,domenjod,2 cuve dis 1 ras,CINOR,26/08/2019,03/08/01
55.5078188140001,-20.914872975,3,1,route de domenjod,domenjod,Détruite,CINOR,26/08/2019,03/08/01
55.504330791,-20.9106603459999,4,1,espaces case,domenjod,Disparue,CINOR,26/08/2019,03/08/01
55.5032557600001,-20.911030062,5,2,chemin du case,domenjod,Détruite,CINOR,26/08/2019,03/08/01
55.503355577,-20.9038095189999,6,1,abrit bus pont neuf,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.503718264,-20.9049072779999,7,9,collège de la bretagne,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.504268978,-20.9059292649999,8,1,route gabriel macé arret bus tamarinier,Bretagne,Détruite,CINOR,26/08/2019,03/08/01
55.4946239050001,-20.914111829,9,2,ch bois rouge arret bus mairie annexe,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.494283366,-20.91416113,10,2,rue gabriel macé case et poste,Bretagne,Détruite,CINOR,26/08/2019,03/08/01
55.494047671,-20.9146286979999,11,1,rue gabriel macé proximité  ecole maternelle auror,Bretagne,Détruite,CINOR,26/08/2019,03/08/01
55.4932339160001,-20.915660541,12,1,rue gabriel macé arret bus biblio,Bretagne,Disparue,CINOR,26/08/2019,03/08/01
55.4925266600001,-20.915818798,13,1,ch des routiers boutique chane kane,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.5013205750001,-20.910528992,14,1,rue gabriel macé abrit bus les camphriers,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.494630096,-20.924880683,15,1,rue gabriel macé arret bus  les longanis,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.494391439,-20.9236220339999,16,1,rue gabriel macé école cammercons,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.4935180420001,-20.92608487,17,3,rue gabriel macé,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.4934434670001,-20.9280526759999,18,1,ch jules reydellet eglise,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.4936234790001,-20.932050723,19,1,ch jules reydellet boutique jean louis,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.4864178670001,-20.9382930639999,20,2,rue jules reydelet école et arret bellevue,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.491541844,-20.935800698,21,1,rue jules reydelet arret bus montobanc,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.4934457590001,-20.9271311109999,22,1,rue jules reydelet case,Bretagne,Brulée,CINOR,26/08/2019,03/08/01
55.492969927,-20.9307735959999,23,1,intersec ch bois rouge et jules reydelet,Bretagne,Disparue,CINOR,26/08/2019,03/08/01
55.4900908590001,-20.9302878989999,24,1,arret de bus ch fougères,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.4887723480001,-20.9291189649999,25,1,centre d'animation,Bretagne,RAS,CINOR,26/08/2019,03/08/01
55.4872046790001,-20.926557669,26,1,ch bois rouge arret bus les manguiers,Bretagne,RAS,CINOR,26/08/2019,03/08/01
