Année,Code SINOE Déchèterie,Nom Déchèterie,Téléphone Déchèterie,Fax Déchèterie,Date d'ouverture Déchèterie,Adresse Déchèterie,Adresse Déchèterie (suite),Code postal Déchèterie,Commune Déchèterie,Code commune Déchèterie,Libellé de la commune Déchèterie,Code du département  Déchèterie,Nom de la région  Déchèterie,Mode de gestion Déchèterie,Longitude  Déchèterie (Mercator),Latitude Déchèterie (Mercator),Géolocalisation Déchèterie Indicateur qualité,"Géolocalisation Déchèterie
Niveau de précision",Code SINOE Exploitant,Nom Exploitant,Code type SINOE Exploitant,Libellé type SINOE Exploitant,Adresse Exploitant,Adresse Exploitant (suite),Code postal Exploitant,Bureau distributeur Exploitant,Téléphone Exploitant,Fax Exploitant,Déchets des ménages acceptés,Déchets des activités économiques acceptés,Déchets non dangereux des activités économiques,Déchets dangereux des activités économiques,Déchets de composés chimiques,Solvants usés,Solvants usés halogénés,Solvants usés non halogénés,"Déchets acides, alcalins ou salins",Déchets acides,Déchets alcalins,Déchets salins,Autres déchets salins,Huiles usées,Huiles moteur usées,Filtres à huiles ou à gazole,Hydrocarbures contenant des PCB,Déchets de préparation chimiques,Produits chimiques hors spécifications,Déchets de produits agro-chimiques,Médicaments non utilisés,"Déchets de peintures, vernis, encres et colles",Déchets d'autres préparations chimiques,Explosifs non utilisés,Déchets d'explosifs et articles pyrotechniques,Déchets chimiques en mélange,Petits déchets chimiques en mélange,Déchets chimiques mélangés pour traitement,Emballages souillés par une substance dangereuse,Bouteilles de gaz/extincteurs,Résidus d'opérations chimiques et physiques,Résidus et dépôts chimiques,Déchets radioactifs,Radiosources épuisées,Déchets de soins et déchets biologiques infectieux,Déchets infectieux des soins médicaux ou vétérinaires,Déchets infectieux de soins médicaux,Animaux infectieux,Déchets métalliques,Déchets de métaux ferreux,Acier issu de la collecte séparée,Métaux ferreux issus du déferraillage de déchets,Déchets de métaux non ferreux,Déchets de métaux précieux,Aluminium issu de la collecte séparée ,Autres déchets d'aluminium,Déchets d'autres métaux,Déchets métalliques en mélange,Emballages métalliques en mélange,"Déchets métalliques divers, en mélange",Déchets non métalliques,Déchets de verre,Emballages en verre,Papiers cartons en mélange à trier,Emballages papier carton non complexés,Emballages papier carton complexés,Papiers graphiques,Cartons,Déchets de caoutchouc,Pneumatiques hors d'usage,Déchets de matières plastiques,Emballages en matières plastiques,Déchets de bois,Déchets d'emballages en bois,Palettes usagées,Déchets textiles,Déchets de vêtements en textiles,Equipements hors d'usage,Véhicules hors d'usage,Automobiles hors d'usage,Equipements électriques et électroniques hors d'usage,Gros électroménager hors d'usage,"Gros appareil à dominante métallique de type ""blanc"" pour les ménages",Gros appareils de production de froid,Petit électroménager hors d'usage,"Ecrans, dont appareils à tubes cathodiques",Encombrants ménagers divers,Composants hors d'usage de machines et d'équipements,Déchets de piles et accumulateurs,Piles électriques usagées,Batteries usagées,Tubes fluorescents,Toner d'impression,Tubes cathodiques,Déchets animaux et végétaux,Déchets de la préparation des produits animaux ou végétaux,Déchets de la préparation des produits animaux,Corps gras,Déchets de produits alimentaires,Déchets verts,Déchets verts d'entretien des parcs et jardins,Déchets d'élagage,Déchets courants mélangés,Déchets ménagers et assimilés,Ordures ménagères résiduelles,Déchets de voirie,Déchets et matériaux en mélange,Emballages sans les papiers graphiques,Emballages et papiers graphiques,Emballages plastiques - metaux - briques,Déchets en mélange,Refus de tri,Matières de vidanges,Déchets minéraux,Déchets de construction et de démolition,Déchets de béton,Déchets de constructions et de démolition en mélange,Déchets de plâtre,Déchets de minéraux naturels,DÉCHETS DE TERRES ET CAILLOUX,Déchets amiantés,Terres et boues de dragage polluées,Terres et gravats pollués,Combustibles,Non précisé
2009,58733,Centre d'Apport Volontaire d'Epinay sur Orge,,,,Rue de la Croix Ronde,,91360,Épinay-sur-Orge,91216,Épinay-sur-Orge,91,Ile-de-France,Régie,6219350,258189,-1,Centroïde de la commune,17974,Commune d'Epinay Sur Orge,03C,Commune,8 Rue de l' Eglise,,91360,Epinay-sur-orge,01 69 10 25 69,01 64 45 90 05,Oui,Non,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,Oui,,Oui,,,,,,Oui,,,,,,,,,,,Oui,,Oui,,Oui,Oui,,,,,,,,Oui,,,,,,,,,,,Oui,,,,Oui,,,Oui,,,,,,,
2009,4343,Centre d'Apport Volontaire de Longnes,01 34 78 31 06,,,Chemin Rural N° 7,Lieu Dit la Marnière,78346,Longnes,78346,Longnes,78,Ile-de-France,Régie,6261300,175127,-1,Centroïde de la commune,7023,Commune de Longnes,03C,Commune,Mairie,,78980,LONGNES,,,Oui,Non,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,
2009,30058,Centre d'Apport Volontaire de Neuilly Plaisance,01 43 00 96 16,,,147 Avenue du Maréchal Foch,,93360,Neuilly-Plaisance,93049,Neuilly-Plaisance,93,Ile-de-France,Régie,6251080,280217,-1,Centroïde de la commune,18133,Commune de Neuilly-Plaisance,03C,Commune,6 Rue du Général de Gaulle,,93360,Neuilly-Plaisance,01 43 00 96 16,01 43 00 42 80,Oui (gratuit),Non,,,Oui,,,,,,,,,Oui,,,,,,,,Oui,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,Oui,Oui,Oui,Oui,,,,,,,,Oui,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,
2009,4103,Centre de Recyclage Octeville-sur-mer,02 35 44 69 41,02 35 44 69 41,10/07/1999,Chemin du Fond des Vallées,,76930,Octeville-sur-Mer,76481,Octeville-sur-Mer,76,Normandie,Régie,6368890,14364.4,1,Géolocalisation manuelle,3924,Communauté de l'Agglomération Havraise,04G,Communauté d'agglomération,19 Rue Georges Braque,Hôtel d'Agglomération Cs 70854,76085,le Havre Cedex,02 35 22 25 25,02 35 22 98 58,Oui,Non,,,Oui,Oui,,,,Oui,,,,Oui,Oui,,,,,Oui,,Oui,,,,,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,,,,,,Oui,,,Oui,,Oui,,,,Oui,,Oui,Oui,,Oui,,,Oui,Oui,,,,Oui,,,,,,Oui,,Oui,,Oui,Oui,,,,,,Oui,,Oui,Oui,,,Oui,,,,,,,Oui,,,,Oui,Oui,,,,,Non,,,,
2009,2856,Centre de Recyclage de Montivilliers,02 35 55 45 20,02 32 79 32 54,01/01/1994,Route de Saint Martin du Manoir,,76290,Montivilliers,76447,Montivilliers,76,Normandie,Régie,6367080,24339.9,1,Géolocalisation manuelle,3924,Communauté de l'Agglomération Havraise,04G,Communauté d'agglomération,19 Rue Georges Braque,Hôtel d'Agglomération Cs 70854,76085,le Havre Cedex,02 35 22 25 25,02 35 22 98 58,Oui,Non,,,,Oui,,,,Oui,,,,Oui,Oui,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,Oui,Oui,Oui,,,,,,,,,Oui,,,,Oui,,,,Oui,,Oui,,Oui,Oui,,,Oui,Oui,,,,Oui,,,,,,Oui,,Oui,,Oui,Oui,,,,,,Oui,,Oui,,,Oui,,,,Oui,,,,Oui,,,,Oui,,,,,,Oui,,,,
2009,54939,Collecte des Emballages en Av,,,01/01/2002,Boulevard Alphonse Poitiers,,47210,VILLEREAL,47324,Villeréal,47,Nouvelle-Aquitaine,Marché de prestation de service,5563750,84358.4,-1,Centroïde de la commune,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
2009,34728,DECHETERIE DE VENDRENNES,,,01/06/2003,Route de Mesnard la Barotière,,85250,Vendrennes,85301,Vendrennes,85,Pays de la Loire,Marché de prestation de service,5912400,-124049,-1,Centroïde de la commune,5258,Brangeon Environnement,05,Entreprises et artisans,7 Route de Montjean,"Cs 80046, la Pommeraye",49620,la Pommeraye*,02 41 72 11 55,02 41 72 40 59,Oui,Oui (payant),Oui,Oui,,Oui,,,,Oui,,,,Oui,,Oui,,,,Oui,,,,,,,Oui,,Oui,,,,,,,,,,,Oui,,,,,,,,,Oui,,,,,Oui,,,,,,,Oui,,Oui,,,,,,,,Oui,,,,,,Oui,,,,Oui,Oui,,,,,,Oui,,Oui,,,,,,,,,,,,,,,Oui,,,Oui,,,,,,,
2009,4440,Decheterie Bolbec,02 32 84 04 97,02 32 84 04 97,30/01/1999,Zi de Baclair,,76210,Bolbec,76114,Bolbec,76,Normandie,Marché de prestation de service,6375210,53881,1,Géolocalisation manuelle,7592,Fani,05,Entreprises et artisans,ZI de Babeuf,,76400,EPREVILLE,02 35 28 07 75,02 35 29 52 57,Oui,Oui (payant),Oui,Oui,Oui,Non,,,,Non,Oui,,,Oui,Oui,Oui,,,,Non,Non,Non,,,,,Oui,,Oui,,,,,,,Non,,,,Oui,,,Non,,,,,,Oui,,,,,Oui,,,,Oui,,Oui,,Oui,Oui,,,Non,,,,,Oui,,,,,,Oui,,,Oui,Oui,Oui,,,,,,Oui,,Oui,,,,,,,,,,,Non,,,,Oui,,,,,,Non,,,,
2009,8921,Decheterie Cite Hyacinthe,,,05/01/2004,Rue François de Mahy,,97490,Saint-Denis,97411,Saint-Denis,974,Dom-Com,Marché de prestation de service,-2385140,6172400,-1,Centroïde de la commune,29517,Suez Rv Reunion,05,Entreprises et artisans,"5, Rue de la Pépinière",Zae de la Mare,97438,Sainte-marie (la Réunion),02 62 48 48 80,02 62 72 09 14,Non,Oui (payant),Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,Oui,,Non,,,,,,Oui,,,,,Oui,,,,,,Oui,,,Oui,Non,Non,,,,,,,,Oui,,,,,,,,Non,,,,,,,Oui,,,Oui,,,,,,,
2009,4448,Decheterie Gonfreville l'Orcher,02 35 13 17 42,,01/01/1996,Rue J Duclos,,76700,Gonfreville-l'Orcher,76305,Gonfreville-l'Orcher,76,Normandie,Régie,6361570,25417,1,Géolocalisation manuelle,3924,Communauté de l'Agglomération Havraise,04G,Communauté d'agglomération,19 Rue Georges Braque,Hôtel d'Agglomération Cs 70854,76085,le Havre Cedex,02 35 22 25 25,02 35 22 98 58,Oui,Non,,,,Oui,,,,Oui,,,,Oui,Oui,,,,,Oui,,Oui,,,,,Oui,,,,,,,,,,,,Oui,,,,,,,,,,Oui,,,,,Oui,,,,Oui,,,,,Oui,,,,,,,,Oui,,,,,,Oui,,Oui,,Oui,Oui,,,,,,Oui,,Oui,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,
