FID,nature,index_,nb_logmt,export,source,SHAPE_Length,SHAPE_Area
1,Promoteur SPAG,LE GALION (BAT. B),53,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,207.615826804716,2422.41820000848
2,SIDR,MOUFIA 1/2,44 LLS + 335 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,671.418332939839,14669.674099976
3,SEMADER,L.E.S. LES CORINDONS,25 LES,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,649.405352999445,4500.36840001528
4,SEDRE,L.E.S. RENAMBATZ,3,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,181.434257525388,956.83699999673
5,Résidence,LE TREGOR 1/2,54,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,222.215504630873,2962.50310000139
6,Promoteur SCI,TRIANGLE,BUREAUX,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,158.2652795376,1429.60984999433
7,SHLMR,PIERRE BOULANGER 1,70 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,180.381667425446,1968.88545001261
8,SHLMR,PIERRE BOULANGER 2 (ASTERIA),71 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,195.461173816718,2110.42814996934
9,Résidence,BAGATELLE,6,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,91.919707192214,339.681050002202
10,Résidence,LE BELEM 1/2,76,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,447.615879116522,10638.4278500079
11,SHLMR,LES BENJOINS,39 LLTS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,198.5512465473,1916.90429997375
12,SIDR,FELIX GUYON 1/2/3,76 LLS + 44 LLS + 11 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,1490.48419405753,49624.0851499991
13,Résidence,RAMASSAMY RAYMOND (SCI),32,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,195.428324526503,1959.39299999421
14,Résidence,RAMASSAMY RAYMOND 2,61,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,306.049646741973,4555.68139998822
15,Résidence,RAMASSAMY Sophie,6,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,122.491904195152,929.249999978589
16,Résidence,L' OISEAU DE PARADIS,291,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,196.479331413537,2089.70319997166
17,SIDR,BAILLY DE MONTHYON,59 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,247.023454750859,3294.03980001056
18,LES,CLOTILDA (TERRAIN CHATEL), ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,162.489339888842,1236.81214998459
19,LES,CLOTILDA (LES MANGUIERS), ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,169.040056683425,1500.59399999698
20,SEDRE,BOIS DE PAPANGUE,14 LLTS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,127.200278529388,598.975417498225
21,SEMADER,EUDOXIE NONGE,19 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,138.482622789713,1072.31254997379
22,Résidence,TARTAROLI, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,103.56424508267,660.268649988023
23,Résidence,AUDE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,242.016179848902,3107.01145903026
24,Résidence,LEA, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,229.225514315344,3228.47430950807
25,SHLMR,LE MOUFIA,30,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,202.84767593954,2130.05029998456
26,Promoteur SCCV,LONGOZE,27,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,118.0927431302,822.540350003644
27,SIDR,CHAUDRON 006,196 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,1074.04049873018,40229.4475500224
28,Résidence,KELLER,30,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,211.780918017232,2741.81140000705
29,SHLMR,DAMASKIN,36 LLTS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,252.663469578281,2461.8635499826
30,SHLMR,ALIZES,51 ILM,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,217.162708049628,2900.69969997809
31,SEDRE,GLOXINIAS,32 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,316.107185216359,3499.56120007131
32,SEMADER,DRAGON,12 LES + 61 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,293.718592216737,3789.80905
33,SEMADER,MONTREUIL,15 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,107.07696319604,672.952499995707
34,SHLMR,VODISSE,26 LLTS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,214.226420467887,1326.33215001716
35,SIDR,DEUX CANONS 2,90 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,1837.05446827356,13536.1209999778
36,Résidence,SANGLIER / LALLEMAND, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,180.940135804593,1635.2401999894
37,Résidence,DODU,56 logts + 2 commerces,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,166.084757099474,1558.19625001509
38,SIDR,HONORE DE CREMONT 1,16 LLS + 14 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,427.058782361841,10512.9733000099
39,SODIAC,LA FONTAINE,75 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,801.202512179796,8424.38274999915
40,Résidence,LES JASMINS, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,111.493304518044,545.725850007063
41,SHLMR,MONTREUIL,55 LLS + 38 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,292.433738303327,3519.70455001852
42,Résidence,HORIZONS, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,202.31215045366,2450.99135000846
43,SHLMR,LES FOUCHEROLLES,148 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,749.975781394442,28076.5451999842
44,LTS,LES FRAMBOISES 3,13 LTS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,397.841166931305,3585.50949998173
45,LTS,LES JUJUBES,9 LTS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,482.110359345419,11829.9934499889
46,LTS,LES SAPOTIS,23 LTS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,282.615189061343,3690.60584999621
47,Résidence,LES PRALINES,4,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,66.3283114643556,276.864200000962
