POSTES;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;CUMUL;% consommation
Presse;0,00;299,00;4 917,29;974,00;0,00;0,00;3 128,30;1 118,60;333,26;209,90;60,00;480,44;11 520,79;
Ouvrages;889,53;0,00;0,00;72,70;0,00;621,00;153,79;30,85;0,00;535,95;0,00;0,00;2 303,82;
Documentation;889,53;299,00;4 917,29;1 046,70;0,00;621,00;3 282,09;1 149,45;333,26;745,85;60,00;480,44;13 824,61;26,40
Affranchissements;475,38;502,03;603,27;488,55;507,22;960,57;689,30;336,57;550,01;1 062,80;412,71;233,03;6 821,44;
Enveloppes;29,91;0,00;0,00;0,00;9,97;29,91;111,42;0,00;92,85;17,94;107,64;0,00;399,64;
Courrier;505,29;502,03;603,27;488,55;517,19;990,48;800,72;336,57;642,86;1 080,74;520,35;233,03;7 221,08;13,79
Téléphone;0,88;0,54;0,90;0,00;2,08;0,00;1,01;0,88;0,00;0,00;0,60;0,96;7,85;
Informatique;0,00;0,00;0,00;1 464,29;0,00;0,00;1 124,66;0,00;0,00;462,68;1 396,87;0,00;4 448,50;
Télécommunications;0,88;0,54;0,90;1 464,29;2,08;0,00;1 125,67;0,88;0,00;462,68;1 397,47;0,96;4 456,35;8,51
Reprographie;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Fournitures de bureau;0,00;0,00;0,00;161,20;0,00;0,00;196,24;119,96;97,71;105,85;980,66;0,00;1 661,62;
Papier vierge;454,00;0,00;5,80;5,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;371,10;836,70;
Papier imprimé;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;984,00;0,00;1 008,00;
Outillage quincaillerie;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Divers;454,00;24,00;5,80;167,00;0,00;0,00;196,24;119,96;97,71;105,85;1 964,66;371,10;3 506,32;6,70
TOTAUX;1 849,70;825,57;5 527,26;3 166,54;519,27;1 611,48;5 404,72;1 606,86;1 073,83;2 395,12;3 942,48;1 085,53;29 008,36;
;;;;;;;;;;;;Budget 2018;52 359,51;
;;;;;;;;;;;;SOLDE;23 351,15;
;;;;;;;;;;;;% consommé;55,40;
;;;;;;;;;;;;;;
01/10/2019;;;;;;;;;;;;;;
