NOM DE LA VARIABLE;FICHE MENAGE;LIbellé
EMD;PERIMETRE;Libellé
;1;BETHUNE
;2;BOULOGNE SUR MER
;3;CALAIS
;4;DOUAI
;5;DUNKERQUE
;6;LENS
;7;LILLE GRAND TERRITOIRE
;8;LILLE LMCU
;9;MAUBEUGE
;10;VALENCIENNES
;11;ENQUETE RURALE
M1;TYPE D'HABITAT;
;1;INDIVIDUEL ISOLE
;2;INDIVIDUEL ACCOLE
;3;PETIT COLLECTIF (R+1 à R+3)
;4;GRAND COLLECTIF (R+4 ET PLUS)
;5;AUTRE
;autre;INDETERMINE
M2;TYPE D'OCCUPATION;
;1;PROPRIETAIRE OU ACCEDANT
;2;LOCATAIRE HLM
;3;AUTRE LOCATAIRE
;4;LOGE GRATUITEMENT
;5;AUTRE
;autre;INDETERMINE
M3D;POSSESSION D'UNE CONNEXION INTERNET;
;1;OUI
;2;NON
M6A;GENRE DU VEHICULE N°1;
M6B;GENRE DU VEHICULE N°2;
M6C;GENRE DU VEHICULE N°3;
M6D;GENRE DU VEHICULE N°4;
;1;VEHICULE DE TOURISME
;2;VEHICULE UTILITAIRE DE 800 A 1000KG
;3;VOITURE SANS PERMIS
;4;CAMPING-CAR
;5;VOITURE ELECTRIQUE
;autre;INDETERMINE
M7A;TYPE DE POSSESSION DU VEHICULE N°1;
M7B;TYPE DE POSSESSION DU VEHICULE N°2;
M7C;TYPE DE POSSESSION DU VEHICULE N°3;
M7D;TYPE DE POSSESSION DU VEHICULE N°4;
;1;LE MENAGE
;2;L'EMPLOYEUR,DISPOSITION TOTALE
;3;L'EMPLOYEUR,DISPOSITION LIMITEE
;4;AUTRE
;autre;INDETERMINE
M8A;LIEU STATIONNEMENT NUIT VEHICULE N°1;
M8B;LIEU STATIONNEMENT NUIT VEHICULE N°2;
M8C;LIEU STATIONNEMENT NUIT DU VEHICULE N°3;
M8D;LIEU STATIONNEMENT NUIT DU VEHICULE N°4;
;1;GARAGE, BOX, AUTRE EMPLACEMENT RESERVE
;2;DANS LA RUE
