Code région;Population INSEE;Recettes totales;Exercice
01;397 990;23801474,5;2018
02;380 877;24304451,5;2018
03;259 865;10510847;2018
04;850 727;36984794,5;2018
11;12 082 144;883360430,5;2018
24;2 578 592;231219265,5;2018
27;2 820 940;253631115;2018
28;3 339 131;378491503,5;2018
32;6 009 976;591949535,5;2018
44;5 559 051;449524413;2018
52;3 718 512;277964096;2018
53;3 293 850;246514777;2018
75;5 911 482;497360544;2018
76;5 774 185;583855053,5;2018
84;7 877 698;687371086,5;2018
93;5 007 977;456184083;2018
94;327 283;19370149,5;2018
