"ID",Client,Région,region_climatique,Technologie,Année pose,Nombre de logements dans résidence,Nombre de RFC dans la residence,Nombre de CET dans la residence,Nombre de RTH dans la residence,Nombre moyen de RTH par logement,Nombre moyen de RFC par logement,RFC_REDEVANCE annuelle_TTC_par RFC,RFC_REDEVANCE annuelle_TTC_par LOG,RFC_Redevance sur 10 ans_TTC_par logement,CET_REDEVANCE_annuelle_TTC_par LOG,CET_redevenance sur 10 ans_TTC_par log,RTH_cout Total_TTC_par RTh,RTH_cout Total_TTC_par log,RFC_abonnement_TTC_par RFC,RFC_abonnement_TTC_par LOG,CET_LER_abonnement_TTC_log_an_actualise,RFC_investissement_TTC_par RFC_unité,RFC_investissement_TTC_par LOG,RFC_investissement_offert,CET_Investissement_TTC_par log
1,1,IdF,1,1,2017,42,189, ,189,4.5,4.5,7.93,35.7,410.1,,,68.6,308.6,7.9,35.6, ,0,0,0, 
3,1,PACA,3,1,2017,65,325, ,325,5,5,8.85,44.2,508.1,,,54.9,274.3,8.6,43.1, ,2.1,10.7,1, 
4,1,PACA,3,1,2017,58,261, ,261,4.5,4.5,7.78,35,401.9,,,54.9,246.9,7.8,34.9, ,0,0,0, 
5,1,PACA,3,1,2017,46,207, ,207,4.5,4.5,7.78,35,401.9,,,54.9,246.9,7.8,34.9, ,0,0,0, 
7,1,Occitanie,3,1,2017,40,250, ,250,6.3,6.3,8.68,54.2,623.1,,,69.1,431.9,8.7,54.1, ,0,0,0, 
8,1,IdF,1,1,2017,55,248, ,248,4.5,4.5,7.59,34.2,393.1,,,71.7,323.5,7.6,34.2, ,0,0,0, 
10,1,IdF,1,1,2017,41,171, ,171,4.2,4.2,8.16,34,391,,,79.1,330,8.1,34, ,0,0,0, 
12,1,ARA,1,1,2016,32,160, ,160,5,5,7.67,38.4,440.8,,,63.3,316.5,7.7,38.3, ,0,0,0, 
14,1,Normandie,1,1,2017,60,260, , , ,4.3,7.76,33.6,385.8,,,, ,7.7,33.5, ,0,0,0, 
16,1,Grand Est,1,1,2017,58,261, , , ,4.5,7.99,36,413.1,,,, ,7.8,34.9, ,2.1,9.7,1, 
17,1,Pays de la Loire,2,1,2016,78,389, , , ,5,7.87,39.2,450.9,,,, ,7.9,39.2, ,0,0,0, 
20,1,IdF,1,1,2017,60,270, ,270,4.5,4.5,8.17,36.8,422.4,,,79.1,356.1,8.2,36.7, ,0,0,0, 
38,1,Nouvelle Aquitaine,2,1,2017,7,30, ,30,4.5,4.5,7.78,,401.8,,,68.6,308.6,7.8,34.9, ,0,0,0, 
39,1,PACA,3,1,2017,16,72, , , ,4.5,7.49,,387.2,,,, ,7.5,33.6, ,0,0,0, 
40,1,ARA,1,1,2017,11,50, , , ,4.5,7.63,34.7,398.5,,,, ,7.6,34.6, ,0,0,0, 
41,1,ARA,1,1,2017,4,20, , , ,5,8.06,40.3,462.8,,,, ,8,40.2, ,0,0,0, 
42,1,Normandie,1,1,2017,28,168, , , ,6,7.84,47,540.2,,,, ,7.8,46.9, ,0,0,0, 
43,1,Centre Val de Loire,2,1,2017,27,135, , , ,5,7.43,37.1,426.5,,,, ,7.4,37.1, ,0,0,0, 
44,1,Grand Est,1,1,2017,3,23, , , ,7.7,9.07,69.5,798.9,,,, ,9.1,69.4, ,0,0,0, 
45,1,IdF,1,1,2017,74,202, ,202,2.7,2.7,7.49,20.5,234.9,,,68.6,187.2,7.5,20.4, ,0,0,0, 
46,1,IdF,1,1,2017,13,41, , , ,3.2,8.35,26.3,302.2,,,, ,8.3,26.3, ,0,0,0, 
47,1,ARA,1,1,2017,6,30, , , ,5,8.35,41.7,479.1,,,68.6, ,8.3,41.6, ,0,0,0, 
48,1,PACA,3,1,2017,49,220, , , ,4.5,8.01,36,412.9,,,, ,8,35.9, ,0,0,0, 
49,1,ARA,1,1,2017,29,225, , , ,7.8,8.69,67.5,774.5,,,, ,8.7,67.3, ,0,0,0, 
50,1,PACA,3,1,2017,25,104, , , ,4.2,7.99,33.2,381.9,,,, ,8,33.2, ,0,0,0, 
51,1,ARA,1,1,2017,12,60, , , ,5,7.13,35.7,409.7,,,, ,7.1,35.6, ,0,0,0, 
53,1,IdF,1,1,2017,23,115, , , ,5,9.23,46.2,530,,,, ,8.7,43.4, ,5.4,26.8,1, 
57,1,Grand Est,1,1,2017,4,26, , , ,6.5,10.42,67.7,777.6,,,, ,10.4,67.6, ,0,0,0, 
58,1,Grand Est,1,1,2017,2,14, , , ,7,11.45,80.1,920.1,,,, ,10.9,76.2, ,5.4,37.6,1, 
59,1,Grand Est,1,1,2017,4,21, , , ,5.3,9.79,51.4,590.4,,,, ,9.8,51.3, ,0,0,0, 
60,1,Grand Est,1,1,2017,2,10, , , ,5,10.89,54.4,625,,,, ,10.9,54.3, ,0,0,0, 
61,1,Grand Est,1,1,2017,3,21, , , ,7,9.77,68.5,786.2,,,, ,9.8,68.3, ,0,0,0, 
62,1,Grand Est,1,1,2017,2,10, , , ,5,12.66,63.3,726.8,,,, ,12.2,61, ,4.3,21.5,1, 
65,1,IdF,1,1,2017,14,60, , , ,4.3,9.52,40.8,468.5,,,, ,8.7,37.5, ,7.5,32.2,1, 
72,1,IdF,1,1,2017,40,180, ,180,4.5,4.5,8.35,,431.2,,,, ,8.3,37.5, ,0,0,0, 
73,1,IdF,1,1,2017,7,78, , , ,11.1,9.09,101.3,1164,,,, ,8.3,92.8, ,7.5,83.7,1, 
76,1,ARA,1,1,2007,74,308, , , ,4.2,10.25,42.7,489.9,,,, ,9.3,38.6, ,9.4,39.3,1, 
77,1,IdF,1,1,2015,19,64, , , ,3.4,,,,,,, , , , , , , , 
78,1,Grand Est,1,1,2014,67,276, , , ,4.1,13.01,53.6,615.4,,,, ,13,53.5, ,0,0,0, 
84,1,IdF,1,1,2008,52,148, , , ,2.8,12.9,,421.7,,,, ,11.9,33.9, ,9.4,26.9,1, 
85,1,IdF,1,1, ,64,309, , , ,4.8,7.62,,423,,,, ,7.6,36.7, ,0,0,0, 
