coll_nom,coll_siret,année,nombre de demandes d'avis formés par les services,nombre d'avis rendus,nombre de nouveaux recours contentieux enregistrés,nombre de mémoires produits,nombre de décisions de justice rendues et exécutées,nombre de sinistres déclarés au service
Antibes,21060004500012,2008,82,85,72,49,11,322
Antibes,21060004500012,2009,106,105,80,65,107,275
Antibes,21060004500012,2010,87,79,71,84,79,240
Antibes,21060004500012,2011,92,94,85,67,59,254
Antibes,21060004500012,2012,76,82,53,60,72,273
Antibes,21060004500012,2013,84,86,49,81,71,223
Antibes,21060004500012,2014,130,130,62,44,65,274
Antibes,21060004500012,2015,80,80,80,70,54,285
Antibes,21060004500012,2016,102,89,86,70,79,297
Antibes,21060004500012,2017,113,104,106,63,89,293
Antibes,21060004500012,2018,139,151,78,95,103,320
Antibes,21060004500012,2019,128,127,72,57,68,306
